age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30,Private,153039,HS-grad,8,Never-married,Craft-repair,Not-in-family,White,Male,1401,67,45,Mexico,<=50K
39,Private,125389,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,624,24,37,United-States,<=50K
18, Private,367397, Some-college,9, Never-married, Other-service, Not-in-family, White, Female,397,7,51, United-States, <=50K
62,Self-emp-not-inc,118900,Bachelors,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,928,95,59,United-States,<=50K
36,Self-emp-not-inc,133969,Bachelors,10,Divorced,Exec-managerial,Not-in-family,White,Male,407,26,23,United-States,<=50K
39,Private,212174,Some-college,12,Divorced,Exec-managerial,Not-in-family,White,Female,618,28,54,United-States,<=50K
39, Private,283575, HS-grad,11, Married-civ-spouse,Sales, Husband, White, Male,581,32,63, United-States, <=50K
41,Private,136380,HS-grad,6,Never-married,Craft-repair,Not-in-family,White,Female,767,39,25,United-States,<=50K
29, Private,230179, HS-grad,10, Never-married, Craft-repair, Not-in-family, White, Male,868,25,58, United-States, <=50K
21,Private,117879,HS-grad,8,Divorced,Craft-repair,Husband,White,Male,803,37,62,United-States,<=50K
26,Private,194277,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,714,47,39,United-States,<=50K
46,Self-emp-not-inc,119595,Some-college,6,Married-civ-spouse,Craft-repair,Husband,White,Male,668,46,51,United-States,<=50K
25, Private,96615, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,1672,214,61, United-States, >50K
38, Private,270660, HS-grad,12, Married-civ-spouse, Craft-repair, Husband, White, Male,1607,189,59, United-States, >50K
28,Local-gov,325066,Some-college,9,Married-civ-spouse,Prof-specialty,Husband,White,Female,735,63,29,United-States,<=50K
28,Private,147106,Some-college,7,Never-married,Other-service,Not-in-family,White,Female,881,32,21,United-States,<=50K
54,Self-emp-not-inc,168460,Masters,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,454,15,39,United-States,<=50K
68,Private,102020,HS-grad,11,Married-civ-spouse,Exec-managerial,Husband,White,Female,833,60,22,United-States,>50K
26, Private,219006, HS-grad,11, Married-civ-spouse, Craft-repair, Husband, White, Male,722,16,44, United-States, <=50K
28, Private,323262, Some-college,7, Never-married, ?, Unmarried, White, Female,817,19,40, United-States, <=50K
69,Private,382666,Some-college,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,939,75,32,United-States,<=50K
53,Private,159029,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,1096,79,42,United-States,<=50K
71,Private,165916,HS-grad,7,Married-civ-spouse,Craft-repair,Husband,White,Male,483,14,26,Mexico,<=50K
32, ?,123984, Some-college,6, Married-civ-spouse, ?, Husband, White, Male,867,46,46, United-States, <=50K
29,Private,224569,HS-grad,3,Divorced,Other-service,Unmarried,Black,Female,391,9,28,El-Salvador,<=50K
47,Self-emp-not-inc,242813,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,1413,76,51,United-States,<=50K
48,Private,178010,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Female,493,66,61,United-States,>50K
19, ?,69371, Some-college,9, Never-married, ?, Own-child, White, Male,263,6,44, United-States, <=50K
27, Private,145041, HS-grad,8, Never-married, Adm-clerical, Not-in-family, White, Female,401,4,57, United-States, <=50K
25,Self-emp-not-inc,142687,Some-college,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,672,127,62,United-States,>50K
47,Private,237486,HS-grad,10,Never-married,Craft-repair,Not-in-family,White,Male,1746,116,60,United-States,>50K
56,Private,125925,Some-college,6,Divorced,Adm-clerical,Unmarried,Black,Female,92,1,33,Jamaica,<=50K
48, Private,79395, HS-grad,7, Divorced, Adm-clerical, Not-in-family, White, Female,745,13,53, United-States, <=50K
37,Private,183802,Some-college,6,Married-civ-spouse,Sales,Husband,White,Male,425,16,33,United-States,>50K
25, Private,75786, HS-grad,11, Never-married, Other-service, Unmarried, White, Female,446,23,61, United-States,>50K
44,Private,349856,Some-college,7,Divorced,Adm-clerical,Not-in-family,White,Female,643,21,51,United-States,<=50K
67,Self-emp-not-inc,128581,HS-grad,6,Married-civ-spouse,Craft-repair,Husband,White,Male,1116,62,44,United-States,>50K
21,Private,157318,HS-grad,12,Divorced,Craft-repair,Not-in-family,White,Male,1213,92,73,United-States,<=50K
35,Private,152452,Bachelors,12,Married-civ-spouse,Craft-repair,Husband,White,Male,674,48,49,United-States,<=50K
36,Private,129193,HS-grad,7,Never-married,Other-service,Own-child,White,Male,580,32,18,United-States,<=50K
59,Private,132599,Some-college,10, Divorced,Exec-managerial,Husband,White,Male,368,11,62,United-States,>50K
46, Private,208815, HS-grad,11, Never-married, Adm-clerical, Not-in-family, White, Female,554,12,42, United-States, <=50K
49,Private,71785,HS-grad,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,1049,260,46,United-States,>50K
75,Private,283895,HS-grad,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,936,35,46,United-States,<=50K
30,Private,346544,Some-college,7,Married-civ-spouse,Adm-clerical,Unmarried,Black,Female,426,13,35,Mexico,<=50K
41, Self-emp-not-inc,239628, Some-college,8, Married-civ-spouse, Craft-repair, Husband, White, Male,757,56,51, United-States, <=50K
33,Private,205882,HS-grad,11,Married-civ-spouse,Craft-repair,Husband,White,Male,699,51,28,United-States,<=50K
25,Private,176782,HS-grad,8, Never-married,Adm-clerical,Own-child,Black,Male,430,17,28,Mexico,<=50K
36,Private,88305,HS-grad,12,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,880,75,47,England,>50K
41,Private,132998,Bachelors,12,Married-civ-spouse,Sales,Husband,White,Male,536,101,31,United-States,>50K
25, Private,284141,HS-grad,5, Married-civ-spouse,Craft-repair, Husband, White, Male,843,29,47,United-States, <=50K
27,Private,129957,HS-grad,7,Divorced,Craft-repair,Not-in-family,White,Female,1019,35,54,United-States,<=50K
49,Private,781452,HS-grad,10,Divorced,Adm-clerical,Unmarried,White,Female,786,33,37,United-States,<=50K
69, Private,908722, HS-grad,9, Divorced,Exec-managerial, Unmarried,Black, Female,502,3,49, Mexico, <=50K
27,Private,220696,Some-college,8,Divorced,Craft-repair,Not-in-family,White,Male,757,49,36,United-States,<=50K
30, Private,219356, HS-grad,8, Never-married, Craft-repair, Not-in-family, White, Male,765,39,41, United-States, <=50K
42, Private,170014, HS-grad,12, Married-civ-spouse, Craft-repair, Husband, White, Male,710,94,62, United-States, >50K
66,Self-emp-not-inc,97727,HS-grad,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,961,50,35,United-States,>50K
35,Local-gov,321420,Bachelors,13,Divorced,Prof-specialty,Husband,White,Male,379,20,32,United-States,<=50K
71,Private,436320, HS-grad,9,Never-married,Prof-specialty, Unmarried,Black,Male,673,21,26,Mexico,<=50K
36, ?,13958, 11th,8, Never-married, Sales, Own-child, White, Male,1921,74,40, Mexico, <=50K
22, Private,457878, HS-grad,8, Married-civ-spouse, Exec-managerial, Husband, White, Male,1863,121,48, United-States, <=50K
43, Private,58071, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Female,435,23,31, United-States, <=50K
26, Private,59686, HS-grad,9, Never-married, Sales, Husband, White, Male,869,131,34, United-States, <=50K
38,Private,97039,Some-college,11,Never-married,Exec-managerial,Husband,White,Male,284,10,18,United-States,<=50K
62,Self-emp-not-inc,131474,Some-college,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,868,63,49,United-States,<=50K
43, Local-gov,15260, Assoc-voc,8, Divorced, ?, Not-in-family, White, Female,900,6,41, United-States, <=50K
44,Self-emp-inc,146991, Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,481,29,42,United-States,>50K
25,Private,82417,HS-grad,11,Married-civ-spouse,Craft-repair,Husband,White,Male,672,79,42,United-States,<=50K
32,Self-emp-not-inc,136372,Some-college,8,Married-civ-spouse,Sales,Husband,White,Male,694,72,61,United-States,>50K
44,Private,79020,HS-grad,8,Never-married,Craft-repair,Not-in-family,White,Male,574,70,36,United-States,<=50K
25,Private,101607,HS-grad,5,Married-civ-spouse,Craft-repair,Husband,White,Male,677,43,52,United-States,<=50K
40, Private,369257, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,1633,61,36, United-States, <=50K
28,Private,135328,Some-college,7,Never-married,Other-service,Not-in-family,White,Female,817,36,26,United-States,<=50K
36, Private,154078,Some-college,11, Never-married, Prof-specialty, Not-in-family, White, Female,550,21,34, United-States, <=50K
42,Private,127000,HS-grad,7,Divorced,Adm-clerical,Unmarried,White,Female,274,10,30,United-States,<=50K
30, Local-gov,13627, Masters,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,1057,10,34, United-States, >50K
25, Private,229270, HS-grad,9, Divorced, Other-service,Not-in-family, White, Female,739,17,32, United-States, <=50K
45,Self-emp-not-inc,281931,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,594,29,47,United-States,>50K
40,Local-gov,111269,HS-grad,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,323,52,42,United-States,>50K
66, Self-emp-not-inc,13492, Masters,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,103,3,63, United-States, >50K
24,Private,239193,Some-college,7, Never-married,Adm-clerical, Own-child,Black,Male,380,14,42,Mexico,<=50K
23,Private,121037,HS-grad,8,Never-married,Other-service,Own-child,White,Male,520,14,22,Mexico,<=50K
31,Private,61029,Bachelors,11,Never-married,Sales,Unmarried,White,Female,1152,47,29,United-States,<=50K
54,Self-emp-not-inc,273485,Bachelors,9,Divorced,Exec-managerial, Husband,White,Male,301,9,38,United-States,<=50K
32, Private,176866, HS-grad,9,Never-married, Craft-repair, Husband, White, Male,853,60,30, United-States, <=50K
37, Local-gov,31865, Masters,11, Divorced, ?, Not-in-family, White, Female,492,2,42, United-States, <=50K
49,Self-emp-not-inc,175769,HS-grad,9,Divorced,Craft-repair,Husband,White,Male,378,22,33,United-States,<=50K
18,Private,168069,11th,8,Never-married,Prof-specialty,Own-child,White,Male,578,23,10,Mexico,<=50K
46,Private,294950,Bachelors,10,Married-civ-spouse,Sales,Husband,White, Male,818,84,62,United-States,>50K
38,Self-emp-not-inc,133932,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,640,88,52,United-States,<=50K
21,Private,119437,Some-college,10,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,591,39,12,United-States,<=50K
37, Private,180744, HS-grad,10, Never-married, Adm-clerical, Wife, White, Female,705,27,37, United-States, <=50K
35, Private,81990, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,1919,273,70, United-States, >50K
47, Private,297919, HS-grad,8, Never-married, Craft-repair, Not-in-family, White, Male,823,20,33, United-States, <=50K
44,Local-gov,1490195,Prof-school,10,Married-spouse-absent,Transport-moving,Wife,Asian-Pac-Islander, Male,99999,3900,43, Cuba,>50K
28,Private,162040,Some-college,13,Never-married,Adm-clerical,Not-in-family,White,Female,830,51,44,United-States,<=50K
24, Private,310926,HS-grad,2,Married-civ-spouse,Craft-repair,Husband,White,Male,1002,26,37, United-States,<=50K
24,Private,335030, HS-grad,8,Never-married, Other-service, Unmarried,White,Male,969,15,19, United-States, <=50K
31, Private,281630, HS-grad,11, Never-married, Craft-repair, Not-in-family, White, Male,1122,47,28, United-States, <=50K
17,State-gov,736064,Some-college,6, Never-married,Prof-specialty,Unmarried,Black,Female,27,0,13,Philippines,<=50K
47,Private,95412,Bachelors,8,Married-civ-spouse,Craft-repair,Husband,White,Male,643,110,41,United-States,<=50K
30,Private,155997,Some-college,6,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,418,20,36,Mexico,<=50K
31, Private,445914, HS-grad,13, Married-civ-spouse, Craft-repair, Husband, White, Male,875,48,56, United-States, <=50K
45,Self-emp-not-inc,282547,Bachelors,12,Never-married,Exec-managerial,Not-in-family,White,Male,511,36,75,United-States,<=50K
29, Private,170430, HS-grad,12, Married-civ-spouse,Sales, Husband,White, Male,633,56,36, United-States,>50K
31,Private,137362,HS-grad,7,Married-civ-spouse,Craft-repair,Husband,White,Male,898,58,36,Mexico,<=50K
57, Self-emp-not-inc,80988, Masters,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,1643,50,34, United-States, >50K
27,State-gov,346472,Bachelors,14,Never-married,Prof-specialty,Not-in-family,White,Male,1159,147,41,United-States,<=50K
26, Private,432185, HS-grad,11, Never-married, Adm-clerical, Not-in-family, White, Female,1002,34,43, United-States, <=50K
27,Private,229562,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,644,30,22,United-States,<=50K
36,Private,183639,Some-college,12,Married-civ-spouse,Exec-managerial,Husband,Black,Male,303,9,53,Philippines,<=50K
43, Private,438004, HS-grad,9, Never-married, Other-service, Own-child, White, Female,902,10,45, Mexico, <=50K
33, Private,293224,Bachelors,13,Married-civ-spouse,Sales,Husband, White, Male,1349,102,38, United-States,>50K
46,Self-emp-not-inc,135353,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,682,68,34,United-States,<=50K
31,Self-emp-not-inc,102557,HS-grad,5,Divorced,Craft-repair,Husband,White,Male,368,9,26,United-States,<=50K
33,Private,239409,Some-college,12,Never-married,Adm-clerical,Not-in-family,White,Male,671,46,41,United-States,<=50K
23, ?,610216, Some-college,8, Married-civ-spouse, ?, Husband, White, Male,542,16,36, United-States, <=50K
23,Private,37081,Some-college,9,Never-married,Exec-managerial,Not-in-family,White,Male,301,15,30,United-States,<=50K
29, Private,101305, HS-grad,4, Never-married, Craft-repair, Not-in-family, White, Male,1603,46,46, United-States, <=50K
26, Private,207677, HS-grad,6,Never-married,Handlers-cleaners,Own-child,White,Male,614,28,25,United-States,<=50K
31,Private,126605,HS-grad,12,Married-civ-spouse,Craft-repair,Husband,White,Male,1223,73,39,India,>50K
62,Self-emp-not-inc,212713,HS-grad,7, Married-civ-spouse,Craft-repair, Husband,White,Male,850,23,34,United-States, <=50K
28,Private,217876,Bachelors,10,Married-civ-spouse,Exec-managerial, Unmarried, White,Male,362,12,43,Mexico,<=50K
19,Private,181677,Some-college,10,Never-married,Other-service,Own-child,Black,Male,569,21,32,Mexico,<=50K
43,Private,71380,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,783,83,39,United-States,>50K
39,Private,176565, HS-grad,8,Never-married,Craft-repair,Own-child,White,Male,554,16,22,Mexico,<=50K
60,Private,108982,HS-grad,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,388,13,44,Jamaica,<=50K
24,Private,104801,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1335,82,28,United-States,<=50K
25, Private,156534, HS-grad,13, Never-married, Adm-clerical, Not-in-family, White, Male,1255,59,36, United-States, <=50K
49,Private,194654,Some-college,11,Never-married,Exec-managerial,Not-in-family,White,Male,396,18,35,United-States,>50K
59,Private,33887,Bachelors,12,Divorced,Prof-specialty,Not-in-family,White,Female,294,13,23,United-States,<=50K
47,Self-emp-not-inc,186882,Bachelors,11,Married-civ-spouse,Sales,Husband,White,Male,1373,197,67,United-States,<=50K
48, Self-emp-not-inc,28272, Assoc-voc,12, Married-civ-spouse, Craft-repair, Husband, White, Male,1406,65,54, United-States, <=50K
42,Self-emp-not-inc,454176,HS-grad,5,Married-civ-spouse,Craft-repair,Husband,White,Male,647,28,34,United-States,<=50K
33,Private,94734,HS-grad,8,Divorced,Craft-repair,Husband,White,Male,484,30,32,United-States,<=50K
47, Self-emp-not-inc,258252, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,476,51,54, United-States, <=50K
32,Self-emp-not-inc,68116,Some-college,12,Married-civ-spouse,Adm-clerical,Own-child,White,Male,492,56,64,United-States,<=50K
68, Self-emp-not-inc,13615, Masters,11, Married-civ-spouse, ?, Husband, White, Male,689,8,35, United-States, <=50K
33, Private,520531, Some-college,5, Never-married, Other-service, Own-child, White, Female,799,12,28,Mexico, <=50K
37,Private,123210,HS-grad,12,Married-civ-spouse,Craft-repair,Husband,White,Male,1411,188,39,United-States,>50K
37,Self-emp-not-inc,180353,Bachelors,12,Never-married,Prof-specialty,Husband,White,Male,503,47,56,United-States,<=50K
39, Self-emp-not-inc,88421, 7th-8th,4, Divorced, ?, Not-in-family, White, Male,98722,3837,62, United-States, <=50K
21,Private,214906,Some-college,10,Never-married,Prof-specialty,Own-child,Black,Male,336,10,32,Philippines,<=50K
54,Private,398564, HS-grad,11,Married-civ-spouse,Craft-repair,Husband,White,Male,750,38,37, ?,<=50K
48,Self-emp-not-inc,371015,Some-college,11,Married-civ-spouse,Exec-managerial,Husband,White, Female,606,16,54,United-States,>50K
24,Private,94246,Bachelors,14,Never-married,Craft-repair,Not-in-family,White,Male,460,68,62,United-States,<=50K
18,Private,87138,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,377,17,32,United-States,<=50K
68,Self-emp-not-inc,93475,HS-grad,9,Divorced,Craft-repair,Husband,White,Male,394,12,30,United-States,<=50K
51,Private,397571,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,1315,132,50,United-States,<=50K
21,Private,127537,HS-grad,8,Never-married,Craft-repair,Own-child,White,Male,622,19,39,Mexico,<=50K
36, Private,571262, HS-grad,12, Never-married, Adm-clerical, Not-in-family, White, Female,1220,32,26, United-States, <=50K
40,Private,91660,Some-college,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,562,37,33,United-States,>50K
47,Private,99318,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,507,9,43,England,>50K
33, Self-emp-not-inc,78673, Masters,10, Married-civ-spouse, Craft-repair, Husband, White, Male,1623,141,48, United-States, <=50K
69,Private,87713,HS-grad,7,Married-civ-spouse,Adm-clerical,Husband,White,Female,736,43,19,United-States,<=50K
44,Private,366277, HS-grad,6,Married-civ-spouse,Craft-repair, Not-in-family,White, Male,1560,69,60, United-States,<=50K
33, Private,71023, HS-grad,11, Married-civ-spouse, Craft-repair, Husband, White, Male,814,41,58, United-States, <=50K
50,Private,42125,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,338,18,26,United-States,<=50K
