balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
3995,8,250,1,63,1,management,divorced,tertiary,no,yes,no,cellular,may,other,1,unpref
-7919,30,0,1,0,0,technician,single,secondary,yes,no,yes,unknown,jul,unknown,unpriv,yes
2073,23,61,1,609,0,retired,married,primary,no,no,no,telephone,mar,success,unpriv,yes
-633,12,124,1,292,6,blue-collar,single,unknown,no,yes,yes,telephone,oct,failure,1,yes
21255,26,0,1,853,0,admin.,divorced,secondary,yes,yes,no,telephone,sep,failure,unpriv,unpref
-5552,3,56,20,0,0,blue-collar,married,primary,yes,yes,no,unknown,jun,unknown,1,unpref
-2254,8,11,2,336,0,student,married,unknown,yes,no,yes,cellular,apr,other,1,unpref
3291,1,0,1,157,58,unemployed,single,primary,yes,no,no,cellular,may,failure,unpriv,unpref
216,30,164,44,1,0,services,divorced,tertiary,no,no,yes,telephone,feb,unknown,1,unpref
993,19,342,1,8,0,retired,married,secondary,no,yes,yes,cellular,nov,unknown,unpriv,unpref
-5234,15,0,1,0,0,self-employed,divorced,secondary,no,no,no,unknown,jan,failure,1,yes
-4006,3,47,1,617,1,entrepreneur,single,tertiary,no,no,yes,cellular,sep,success,unpriv,unpref
6852,29,488,1,0,0,unknown,single,unknown,no,no,no,cellular,jun,unknown,1,unpref
-1835,29,11,1,84,1,self-employed,single,tertiary,yes,no,no,telephone,oct,other,1,yes
-7923,30,104,1,3,0,services,divorced,unknown,yes,yes,no,cellular,aug,success,unpriv,yes
6266,2,26,1,0,57,self-employed,single,primary,no,yes,yes,unknown,nov,other,1,unpref
-993,6,228,1,144,1,entrepreneur,divorced,primary,yes,yes,yes,cellular,feb,failure,1,unpref
-3900,25,1,1,712,0,housemaid,married,primary,no,no,yes,unknown,dec,failure,1,unpref
2030,22,105,1,559,2,services,single,tertiary,no,yes,no,unknown,aug,failure,unpriv,unpref
1990,29,77,1,4,0,entrepreneur,married,tertiary,no,yes,no,telephone,jan,unknown,1,yes
-444,3,4047,1,2,0,housemaid,single,tertiary,yes,yes,no,cellular,jul,failure,1,yes
-520,24,85,1,444,1,technician,single,secondary,no,yes,no,cellular,apr,success,1,yes
13139,2,237,1,0,0,housemaid,divorced,primary,no,yes,yes,telephone,aug,unknown,unpriv,yes
-4396,14,113,2,0,0,management,married,secondary,yes,no,no,cellular,aug,unknown,1,yes
-6763,25,0,1,22,2,technician,divorced,secondary,yes,yes,yes,telephone,may,other,1,yes
-2961,1,506,2,0,0,services,single,secondary,no,no,no,telephone,nov,unknown,unpriv,yes
861,1,182,1,149,0,technician,married,unknown,no,no,no,telephone,feb,failure,1,unpref
-3710,30,223,1,94,1,admin.,single,primary,no,no,yes,cellular,jan,other,1,yes
11854,2,0,1,6,0,admin.,married,tertiary,no,no,no,unknown,may,unknown,unpriv,unpref
-5696,11,38,1,188,46,blue-collar,married,secondary,no,yes,no,telephone,apr,other,unpriv,unpref
12217,15,4371,1,0,0,student,single,unknown,no,yes,yes,unknown,dec,unknown,unpriv,unpref
-6832,1,0,1,836,0,unknown,married,secondary,no,no,yes,telephone,jul,failure,unpriv,yes
-4212,8,0,13,575,0,self-employed,married,tertiary,yes,yes,yes,unknown,jul,other,unpriv,unpref
1369,26,238,2,0,0,retired,divorced,primary,yes,no,no,telephone,jul,unknown,1,unpref
-2952,26,696,1,11,13,management,divorced,tertiary,yes,no,yes,cellular,jun,other,unpriv,yes
-3436,24,4,1,257,10,admin.,married,primary,no,yes,no,cellular,oct,failure,1,unpref
3219,3,394,1,20,0,unemployed,married,tertiary,no,yes,yes,cellular,jun,success,1,yes
9591,18,91,1,386,0,unemployed,divorced,unknown,no,no,no,cellular,sep,other,unpriv,yes
301,2,184,2,14,0,management,single,tertiary,yes,yes,yes,telephone,feb,unknown,1,yes
-574,22,1104,10,266,1,admin.,divorced,tertiary,yes,no,no,cellular,nov,success,1,unpref
-145,17,265,2,14,0,blue-collar,single,secondary,yes,no,yes,cellular,nov,failure,1,unpref
-2176,24,203,6,74,3,blue-collar,single,unknown,yes,yes,no,cellular,mar,other,1,unpref
4570,29,126,11,0,0,admin.,divorced,unknown,no,yes,no,unknown,apr,unknown,1,yes
-5163,1,30,1,0,0,housemaid,married,secondary,yes,no,no,unknown,nov,other,unpriv,unpref
-251,27,332,1,85,1,housemaid,divorced,secondary,no,no,yes,cellular,oct,success,1,yes
-2285,27,34,1,0,1,blue-collar,married,primary,yes,no,yes,telephone,jan,unknown,unpriv,yes
334,10,288,1,267,20,unemployed,divorced,primary,no,yes,no,telephone,sep,success,1,unpref
4677,27,1899,2,333,0,technician,married,tertiary,yes,no,no,unknown,sep,failure,1,yes
1229,10,655,1,53,0,entrepreneur,married,unknown,no,no,yes,unknown,may,success,1,yes
33305,18,75,28,303,35,retired,divorced,primary,no,no,yes,telephone,may,failure,unpriv,unpref
80,1,31,6,0,1,management,single,secondary,no,yes,no,unknown,jul,unknown,1,unpref
555,3,228,1,0,0,entrepreneur,divorced,secondary,no,no,yes,unknown,jun,unknown,unpriv,unpref
-713,6,413,1,49,4,retired,married,tertiary,no,no,yes,telephone,aug,other,1,yes
2587,25,87,1,85,47,admin.,single,secondary,no,yes,yes,telephone,feb,success,1,unpref
9986,28,219,2,137,43,management,married,tertiary,no,no,no,cellular,jul,failure,unpriv,yes
2619,5,0,1,9,0,student,married,primary,no,yes,no,unknown,dec,other,unpriv,yes
3324,4,688,1,0,0,blue-collar,single,primary,no,yes,no,cellular,feb,unknown,unpriv,yes
-1835,4,216,3,2,0,retired,divorced,tertiary,no,yes,no,telephone,nov,failure,unpriv,yes
-693,1,25,1,0,0,unknown,divorced,unknown,yes,no,no,unknown,mar,unknown,unpriv,unpref
6590,30,86,1,9,0,services,married,secondary,no,no,no,cellular,jan,success,unpriv,unpref
1242,2,65,1,2,58,entrepreneur,single,secondary,no,no,no,cellular,jul,other,unpriv,unpref
-6907,30,7,1,34,10,self-employed,single,tertiary,no,yes,yes,cellular,may,failure,unpriv,yes
-2326,4,1,1,809,0,housemaid,single,primary,no,no,no,cellular,mar,failure,1,yes
-6719,29,273,2,0,0,unemployed,single,secondary,yes,yes,no,unknown,may,success,unpriv,yes
-3524,1,111,1,0,0,services,married,primary,no,no,yes,cellular,jul,unknown,1,unpref
444,4,835,16,408,2,unknown,married,primary,no,yes,yes,telephone,feb,other,1,unpref
4669,17,2,4,292,10,blue-collar,single,primary,no,no,no,telephone,may,other,1,unpref
1256,8,169,1,473,2,services,divorced,secondary,no,yes,yes,unknown,may,failure,1,unpref
