previous,duration,pdays,day,campaign,balance,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,207,0,6,2,1052,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,149,0,10,3,1645,management,married,tertiary,no,no,no,unknown,jun,unknown,1,unpref
0,28,0,9,1,-4643,self-employed,married,primary,no,yes,no,cellular,apr,unknown,1,unpref
0,499,0,30,1,1318,retired,married,secondary,no,no,no,unknown,apr,unknown,1,unpref
0,158,0,6,2,1472,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
0,82,0,30,1,1669,student,married,primary,no,yes,no,unknown,may,unknown,1,unpref
0,112,0,1,1,-1184,management,married,tertiary,no,yes,no,unknown,jun,unknown,1,unpref
1,44,254,6,1,-1206,technician,single,tertiary,no,yes,no,cellular,feb,failure,1,unpref
0,51,0,17,1,1101,services,divorced,secondary,no,yes,no,cellular,jul,unknown,1,unpref
2,631,376,22,1,-1174,blue-collar,married,secondary,no,yes,no,cellular,jan,failure,1,yes
0,719,268,9,4,1022,management,single,tertiary,yes,yes,no,cellular,may,failure,1,unpref
0,198,24,1,1,-157,admin.,divorced,secondary,no,yes,no,cellular,feb,other,1,unpref
0,304,0,14,1,2729,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,1025,0,12,1,2856,entrepreneur,married,secondary,no,no,no,cellular,aug,unknown,1,yes
1,169,148,7,1,964,management,married,secondary,no,no,no,cellular,aug,failure,1,unpref
1,280,239,15,1,-2856,services,single,secondary,no,yes,no,cellular,apr,failure,1,unpref
0,244,0,14,1,1122,services,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
0,136,0,11,1,3835,admin.,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
0,160,0,21,1,-2929,blue-collar,divorced,secondary,yes,yes,no,unknown,may,unknown,1,unpref
0,74,3,8,1,1935,management,married,tertiary,no,yes,no,cellular,aug,unknown,1,unpref
0,191,0,30,1,422,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,332,0,15,2,-35,services,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
3,105,205,10,1,1270,admin.,single,secondary,no,no,no,cellular,feb,failure,1,unpref
0,282,0,28,1,8282,services,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,734,0,18,2,1620,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
2,129,159,12,1,4177,management,divorced,tertiary,no,no,no,cellular,may,success,1,unpref
0,68,2,17,1,-2198,retired,divorced,primary,no,no,no,cellular,jul,unknown,unpriv,unpref
0,207,9,15,1,4085,housemaid,married,primary,no,no,no,telephone,aug,unknown,unpriv,unpref
3,327,178,15,9,6957,technician,married,secondary,no,no,yes,cellular,nov,other,1,yes
0,221,0,9,1,1889,management,single,secondary,no,no,no,unknown,may,unknown,1,unpref
0,60,0,29,1,-136,admin.,single,secondary,no,no,no,unknown,may,unknown,1,unpref
0,249,1,15,1,24,services,single,secondary,no,yes,no,unknown,jun,unknown,1,unpref
0,83,2,27,2,-356,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
1,55,0,27,1,812,blue-collar,married,primary,no,no,no,unknown,jun,unknown,1,unpref
0,56,0,16,2,1086,technician,single,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,90,0,16,1,249,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
0,270,0,2,2,584,blue-collar,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
0,1154,0,14,1,240,services,married,secondary,no,no,no,unknown,jan,unknown,1,yes
0,181,1,10,1,2924,blue-collar,married,primary,no,yes,no,cellular,may,unknown,1,unpref
0,25,0,9,1,1620,blue-collar,married,secondary,no,yes,no,telephone,apr,unknown,1,unpref
0,751,0,9,1,1335,housemaid,single,tertiary,no,no,no,cellular,sep,unknown,1,yes
0,192,0,16,1,4513,admin.,married,secondary,no,no,no,cellular,nov,unknown,1,yes
0,226,244,16,7,-436,technician,married,secondary,no,yes,no,cellular,may,other,1,unpref
0,18,288,10,2,-341,technician,married,secondary,no,yes,yes,telephone,jul,failure,1,unpref
0,152,0,9,1,-651,admin.,married,secondary,no,yes,no,cellular,nov,unknown,1,unpref
2,204,224,16,1,1082,blue-collar,married,secondary,no,yes,yes,cellular,may,failure,1,unpref
0,364,0,5,2,1836,admin.,single,secondary,no,yes,no,unknown,jun,unknown,1,unpref
0,392,0,17,3,-62,management,single,tertiary,no,no,no,cellular,apr,unknown,1,unpref
0,448,0,16,1,-3425,student,single,unknown,no,yes,no,unknown,jun,unknown,unpriv,unpref
0,91,0,25,1,1955,admin.,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
1,379,21,3,1,11272,admin.,single,tertiary,no,no,no,unknown,feb,success,1,yes
0,137,0,24,3,1238,technician,single,tertiary,no,no,yes,cellular,jul,unknown,1,unpref
0,184,0,28,1,1547,technician,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
0,690,0,27,1,1173,admin.,single,tertiary,no,yes,no,unknown,may,unknown,1,unpref
0,349,0,16,4,917,admin.,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,28,0,14,17,-1291,management,single,unknown,no,yes,no,cellular,jun,unknown,1,unpref
0,217,0,29,13,1221,admin.,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,300,332,8,2,-150,retired,divorced,secondary,no,yes,no,cellular,apr,failure,1,unpref
0,583,0,5,1,-1000,technician,single,primary,no,yes,no,unknown,may,unknown,1,unpref
0,424,0,9,4,-25,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,401,0,5,3,662,blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
0,153,0,27,3,2285,technician,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
0,224,0,28,1,1149,technician,married,secondary,no,no,yes,unknown,jul,unknown,1,unpref
3,332,200,29,1,2810,technician,married,tertiary,no,no,no,cellular,may,failure,1,yes
0,220,0,6,4,2518,services,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,144,0,29,8,1880,services,married,secondary,no,no,yes,cellular,jul,unknown,1,unpref
0,95,0,17,1,-858,technician,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
0,107,0,26,7,-1577,blue-collar,married,primary,no,yes,no,cellular,jul,unknown,1,unpref
0,399,1,16,1,1529,blue-collar,single,unknown,no,no,no,cellular,nov,unknown,1,unpref
0,95,0,23,5,804,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,520,0,3,2,-425,blue-collar,married,primary,no,no,no,unknown,aug,unknown,1,unpref
0,94,0,27,2,1259,technician,single,secondary,no,no,yes,cellular,jul,unknown,1,unpref
0,486,0,18,1,4004,services,single,secondary,no,yes,no,cellular,nov,unknown,1,unpref
3,81,262,10,3,3026,services,married,secondary,no,yes,no,cellular,may,failure,1,unpref
0,52,0,9,2,3168,blue-collar,married,primary,no,yes,no,unknown,jun,unknown,1,unpref
0,520,0,7,5,-214,management,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,335,1,3,1,2141,self-employed,married,secondary,no,yes,no,cellular,may,unknown,1,yes
0,598,0,3,1,2501,retired,married,unknown,no,yes,no,cellular,feb,unknown,unpriv,unpref
0,375,0,5,1,1575,technician,single,secondary,no,no,no,cellular,jun,unknown,1,unpref
0,430,0,14,1,1635,admin.,divorced,secondary,no,yes,yes,cellular,nov,unknown,1,unpref
0,148,0,28,1,700,blue-collar,married,primary,no,yes,no,cellular,apr,unknown,1,unpref
0,165,0,27,1,1816,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,78,0,13,2,4471,entrepreneur,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,99,0,22,2,2817,technician,single,tertiary,no,no,no,cellular,aug,unknown,unpriv,unpref
0,428,0,29,2,7557,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
