previous,duration,pdays,day,campaign,balance,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
1,113,276,9,1,-4804,admin.,divorced,secondary,no,yes,no,cellular,apr,failure,1,unpref
0,53,0,17,1,-538,admin.,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,817,0,17,1,5065,blue-collar,married,secondary,no,yes,no,cellular,nov,unknown,1,unpref
0,85,0,28,1,332,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,191,0,4,2,1065,technician,divorced,secondary,no,no,no,unknown,jun,unknown,1,unpref
0,167,0,27,1,1137,technician,divorced,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,324,0,22,2,4388,technician,divorced,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,49,0,5,1,2891,entrepreneur,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
0,194,1,24,1,-303,management,married,tertiary,no,yes,no,cellular,apr,unknown,1,unpref
0,93,0,23,3,1803,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,179,1,17,2,545,technician,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
0,38,1,16,3,-2182,technician,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
0,150,0,14,1,787,blue-collar,married,primary,no,yes,no,cellular,may,unknown,1,unpref
0,146,0,9,1,681,admin.,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
1,155,104,18,1,468,management,married,tertiary,no,yes,no,cellular,sep,failure,1,unpref
0,188,0,22,6,1504,admin.,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,788,0,27,1,23145,housemaid,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
0,0,0,24,1,1144,entrepreneur,divorced,secondary,no,no,yes,cellular,jul,unknown,1,unpref
0,677,1,16,1,1119,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
0,255,0,26,4,-384,management,single,tertiary,no,yes,no,cellular,aug,unknown,1,unpref
13,440,203,8,1,1363,management,divorced,secondary,no,yes,no,cellular,jun,failure,1,unpref
0,35,0,21,1,-928,retired,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
7,179,224,10,2,2967,management,single,secondary,no,yes,no,cellular,may,failure,1,unpref
0,184,0,11,1,-497,technician,single,secondary,no,no,no,cellular,aug,unknown,1,yes
0,775,0,29,1,9316,services,single,unknown,no,no,yes,cellular,jan,unknown,1,unpref
6,134,195,12,3,542,management,single,tertiary,no,yes,no,cellular,may,other,1,unpref
0,200,0,3,2,1321,technician,single,secondary,no,yes,yes,cellular,aug,unknown,1,unpref
