previous,duration,pdays,day,campaign,balance,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,187,0,23,1,-398,services,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
0,513,0,22,2,-1144,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,253,0,13,1,211,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
0,30,229,18,1,2408,blue-collar,married,primary,no,yes,yes,telephone,nov,failure,1,unpref
0,230,0,28,5,1413,management,divorced,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,31,0,17,1,-885,entrepreneur,single,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,134,0,2,1,580,blue-collar,married,primary,no,no,no,unknown,jun,unknown,1,unpref
0,65,0,11,1,-3653,entrepreneur,married,primary,no,no,no,cellular,jul,unknown,1,unpref
0,223,0,15,1,2469,management,married,tertiary,no,yes,no,cellular,may,unknown,1,unpref
0,125,0,10,2,-95,technician,married,secondary,no,no,yes,unknown,jun,unknown,1,unpref
0,81,0,16,1,1133,technician,divorced,primary,no,no,no,unknown,may,unknown,1,unpref
1,192,421,17,1,2840,blue-collar,married,primary,no,yes,no,cellular,may,failure,1,unpref
0,236,0,13,2,2077,entrepreneur,single,tertiary,no,no,no,unknown,jun,unknown,1,unpref
0,119,0,21,1,1164,admin.,married,tertiary,no,yes,yes,unknown,may,unknown,1,unpref
0,44,0,24,1,-2006,housemaid,married,primary,no,no,no,cellular,sep,unknown,unpriv,unpref
0,82,0,11,2,384,management,divorced,tertiary,no,yes,no,cellular,aug,unknown,1,unpref
0,183,2,18,1,-153,blue-collar,divorced,primary,no,yes,no,cellular,apr,unknown,1,yes
6,156,224,7,1,1921,admin.,married,tertiary,no,no,no,cellular,jun,failure,1,yes
0,139,0,29,1,-966,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
0,81,0,20,7,1793,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,unpriv,unpref
0,153,0,19,2,-2269,technician,single,secondary,no,no,no,telephone,aug,unknown,1,yes
0,104,0,8,1,1392,blue-collar,married,primary,no,yes,no,unknown,jun,unknown,1,unpref
0,213,0,7,1,-3904,housemaid,married,unknown,no,no,no,cellular,may,unknown,unpriv,unpref
0,399,94,8,1,1159,blue-collar,married,secondary,no,yes,yes,cellular,apr,failure,1,unpref
0,155,1,9,1,-3458,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,99,0,17,1,185,management,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
1,1,108,2,9,-2660,blue-collar,single,tertiary,no,no,no,cellular,feb,other,1,unpref
0,168,0,2,1,254,technician,married,primary,no,no,no,unknown,jun,unknown,1,unpref
0,95,0,20,7,-179,technician,single,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,454,0,23,1,-2097,blue-collar,divorced,secondary,no,no,no,cellular,jul,unknown,1,unpref
0,126,0,14,1,-645,unknown,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
0,51,0,12,1,-103,retired,divorced,primary,no,no,no,cellular,aug,unknown,unpriv,unpref
0,469,0,8,8,5907,management,single,secondary,no,no,yes,cellular,jul,unknown,1,yes
2,340,124,17,1,1013,technician,single,secondary,no,yes,no,cellular,nov,failure,1,unpref
0,268,0,27,1,535,admin.,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,320,0,13,1,736,admin.,married,secondary,no,yes,no,cellular,apr,unknown,1,yes
0,665,90,10,1,856,management,single,tertiary,no,yes,no,cellular,may,failure,1,unpref
0,256,0,1,1,1457,services,married,primary,no,yes,no,cellular,jun,unknown,1,unpref
0,289,0,1,1,-750,blue-collar,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
0,190,0,6,4,102,technician,single,tertiary,no,no,no,cellular,aug,unknown,unpriv,unpref
0,243,0,23,3,-1373,admin.,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
0,212,0,2,1,-1187,technician,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
3,49,205,2,1,3549,services,married,secondary,no,yes,no,cellular,apr,failure,1,unpref
0,734,0,8,1,-783,blue-collar,married,primary,no,no,no,cellular,feb,unknown,unpriv,unpref
0,156,5,11,3,4280,technician,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,41,0,20,3,-3655,technician,married,secondary,no,yes,no,unknown,may,unknown,1,yes
0,86,0,11,3,-372,management,divorced,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,360,0,12,4,-862,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,126,0,13,1,-2538,management,married,tertiary,no,no,yes,cellular,aug,unknown,1,unpref
0,300,0,16,1,-98,retired,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
