previous,duration,pdays,day,campaign,balance,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,168,0,21,3,2642,blue-collar,married,secondary,no,yes,no,cellular,jun,unknown,1,unpref
0,352,0,18,9,4950,technician,single,secondary,no,yes,no,cellular,nov,unknown,1,unpref
0,104,0,23,2,1973,management,married,tertiary,no,no,no,cellular,jun,unknown,1,unpref
0,71,0,19,2,-18,services,single,secondary,no,yes,no,cellular,nov,unknown,1,unpref
0,0,0,2,1,9573,admin.,divorced,secondary,no,no,no,cellular,jul,unknown,1,unpref
0,42,94,19,11,2958,self-employed,married,tertiary,no,no,no,cellular,nov,other,1,unpref
3,655,184,10,2,1895,blue-collar,married,primary,no,yes,no,cellular,apr,failure,1,unpref
0,159,0,7,1,177,admin.,divorced,primary,no,yes,no,unknown,may,unknown,1,unpref
0,161,0,3,1,-6,services,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
0,304,0,19,1,487,blue-collar,married,secondary,no,yes,no,cellular,nov,unknown,1,unpref
0,11,0,30,29,-4282,technician,married,secondary,no,yes,yes,telephone,feb,unknown,1,unpref
0,0,0,14,1,14835,blue-collar,single,secondary,no,no,no,cellular,mar,unknown,1,unpref
0,72,0,8,3,209,blue-collar,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,212,0,7,1,2642,blue-collar,single,primary,no,yes,no,unknown,may,unknown,1,unpref
0,314,0,23,2,195,blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,233,0,11,2,245,blue-collar,married,primary,no,yes,yes,unknown,may,unknown,1,unpref
0,6,0,27,7,-166,blue-collar,single,secondary,no,yes,no,cellular,jul,unknown,unpriv,unpref
0,155,0,12,1,1679,blue-collar,married,unknown,no,yes,no,cellular,feb,unknown,1,unpref
0,139,0,29,5,770,technician,single,secondary,no,yes,yes,cellular,aug,unknown,1,unpref
0,162,0,26,6,1310,blue-collar,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,227,0,10,1,-532,blue-collar,divorced,secondary,no,no,no,cellular,jun,unknown,1,unpref
1,253,124,8,4,1312,blue-collar,single,secondary,no,yes,no,cellular,may,failure,1,unpref
0,40,0,26,2,3424,technician,divorced,secondary,no,yes,no,cellular,aug,unknown,1,unpref
0,299,0,24,1,807,technician,divorced,tertiary,no,yes,yes,cellular,apr,unknown,1,yes
0,217,0,28,1,1405,services,married,secondary,no,no,no,cellular,jul,unknown,unpriv,unpref
0,137,2,16,2,-1093,blue-collar,single,primary,no,yes,no,unknown,may,unknown,1,unpref
0,87,0,3,6,7061,services,married,primary,no,no,no,telephone,feb,unknown,1,unpref
0,241,0,6,1,3145,management,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
0,122,0,14,1,-213,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,200,0,9,1,84,services,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
0,182,0,22,2,4184,management,single,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,140,0,28,1,-61,technician,single,tertiary,no,yes,no,cellular,jan,unknown,1,unpref
0,113,11,15,1,-3519,blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,48,237,24,8,-6549,housemaid,divorced,secondary,no,no,no,telephone,apr,failure,1,yes
0,289,0,21,1,1357,management,married,tertiary,no,yes,yes,cellular,jul,unknown,1,unpref
0,186,0,24,2,735,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
3,157,270,10,4,2417,management,married,tertiary,no,yes,no,cellular,may,failure,1,unpref
3,255,253,16,1,1654,management,single,tertiary,no,no,no,cellular,oct,other,unpriv,yes
0,213,1,21,11,952,management,married,tertiary,no,no,yes,cellular,jul,unknown,unpriv,unpref
0,131,1,13,2,-1336,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,856,0,17,2,714,blue-collar,single,secondary,no,yes,no,cellular,jul,unknown,1,unpref
