age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,sex,age_cat,c_charge_degree,race,two_year_recid
45,0,3,0,0,6,-4.0623779296875,0.7279684543609619,25.63995361328125,0.7997308969497681,Male,25 - 45,M,Caucasian,unpref
25,0,4,0,0,2,0.670806884765625,0.3017654418945312,-32.1112060546875,0.9005753993988037,Male,Less than 25,F,unpriv,unpref
26,0,1,0,0,0,-3.863922119140625,0.476868987083435,-8.987548828125,0.5404812097549438,Male,25 - 45,F,unpriv,0
34,0,6,0,0,6,-2.415435791015625,-0.9859854578971864,21.116180419921875,0.0097445249557495,Male,25 - 45,F,unpriv,unpref
33,0,2,0,0,0,-3.130645751953125,-0.4959905743598938,16.518218994140625,1.2735867500305176,Male,25 - 45,M,unpriv,0
70,0,1,0,0,6,82.95169067382812,10.191987037658691,-76.63278198242188,22.03780937194824,Male,Greater than 45,F,unpriv,0
27,0,8,0,0,8,-2.168060302734375,6.692776679992676,-6.48602294921875,2.7395710945129395,Male,25 - 45,F,unpriv,unpref
37,0,1,0,0,0,1.653717041015625,-0.8970702290534973,7.074493408203125,2.8895914554595947,Female,25 - 45,M,unpriv,0
44,0,1,0,0,0,-60.9437255859375,7.959986686706543,-21.26702880859375,0.8581980466842651,Male,Greater than 45,F,unpriv,0
32,0,3,0,0,1,18.838531494140625,54.53411102294922,-2.10662841796875,0.09449923038482662,Male,25 - 45,F,unpriv,unpref
38,0,1,0,0,1,-4.653289794921875,4.322396755218506,-8.42913818359375,0.7661916017532349,Male,25 - 45,M,unpriv,0
24,0,1,0,0,0,-2.87335205078125,-0.9996647238731384,10.8876953125,1.644105315208435,Male,Less than 25,F,unpriv,0
23,0,7,0,0,6,1.120208740234375,1.050548791885376,-13.11871337890625,0.0072517395019531,Male,25 - 45,F,unpriv,unpref
38,0,2,0,0,0,13.108306884765623,-0.3940889835357666,65.86080932617188,3.3561956882476807,Male,25 - 45,F,unpriv,0
36,0,2,0,0,5,0.501861572265625,5.201602458953858,34.201385498046875,1.48320734500885,Male,25 - 45,M,unpriv,0
29,0,7,0,0,7,7.468994140625,-0.0363046526908874,-19.320861816406254,3.98437762260437,Male,25 - 45,F,Caucasian,unpref
21,0,9,0,0,0,8.878326416015625,16.348974227905273,55.46530151367188,0.0009064674377440999,Male,Less than 25,F,unpriv,unpref
44,0,1,0,0,2,1.57891845703125,3.382662296295166,-0.852203369140625,3.1817007064819336,Male,25 - 45,F,unpriv,0
31,0,2,0,0,7,-0.18890380859375,-0.8668059706687927,5.655426025390625,0.4611653089523315,Male,25 - 45,F,Caucasian,unpref
