age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,sex,age_cat,c_charge_degree,race,two_year_recid
56,0,1,0,0,0,-1.364837646484375,0.2389347553253173,8.697052001953125,2.755434274673462,Male,Greater than 45,F,Caucasian,0
26,0,3,0,0,0,-15.4671630859375,-0.9645724892616272,8.97589111328125,1.0669121742248535,Female,25 - 45,M,unpriv,0
27,0,4,0,0,4,-1.65057373046875,-0.9495521187782288,50.5609130859375,0.023794770240783598,Male,25 - 45,F,unpriv,unpref
22,0,2,0,0,0,-0.45733642578125,0.4042258262634277,23.977600097656246,2.133371114730835,Male,Less than 25,F,Caucasian,0
36,0,1,0,0,0,7.727996826171875,20.44269752502441,-15.007415771484377,0.0185825824737548,Male,25 - 45,F,unpriv,0
62,0,1,0,0,2,-4.315185546875,-0.95364248752594,84.46066284179688,0.7029654979705809,Male,Greater than 45,F,unpriv,0
21,0,8,0,0,1,-4.191497802734375,51.86571502685547,1.65216064453125,1.4664376974105835,Male,Less than 25,F,unpriv,unpref
30,0,6,0,0,7,-7.023193359375,-0.35747683048248285,-18.040313720703125,11.057995796203612,Male,25 - 45,M,unpriv,0
56,0,4,0,0,0,2.29052734375,-0.5594918727874756,106.64382934570312,8.253159523010254,Male,Greater than 45,F,unpriv,0
22,0,7,0,0,0,-7.146209716796875,5.2909202575683585,-81.09744262695312,0.0009064674377440999,Male,Less than 25,F,unpriv,unpref
38,0,7,0,0,6,-3.88616943359375,3.608370304107666,-44.23263549804688,7.349184513092041,Male,25 - 45,F,unpriv,unpref
19,0,8,0,0,0,-1.863739013671875,97.82730865478516,-8.400146484375,0.0011330842971801003,Male,Less than 25,M,unpriv,unpref
49,0,1,0,0,1,-1.20867919921875,10.681333541870115,8.677947998046875,0.2277499437332153,Male,Greater than 45,F,Caucasian,0
31,0,4,0,0,1,30.960968017578125,3.1459126472473145,-44.15043640136719,0.9114530086517334,Female,25 - 45,M,Caucasian,0
54,0,1,0,0,0,49.774017333984375,6.780306339263916,38.413330078125,0.3081989288330078,Male,25 - 45,F,unpriv,unpref
30,0,5,0,0,1,9.703887939453123,32.8790283203125,-38.5074462890625,43.29356384277344,Male,25 - 45,F,Caucasian,0
36,0,4,0,0,3,-0.065399169921875,1.3486764430999756,6.51275634765625,4.538228988647461,Male,25 - 45,F,Caucasian,unpref
27,0,5,0,0,3,-2.700714111328125,-0.9257028102874756,-1.122100830078125,0.5436538457870483,Male,25 - 45,M,Caucasian,0
33,0,1,0,0,1,-3.15631103515625,-0.3803203105926513,-48.29573059082032,0.0,Male,25 - 45,M,unpriv,0
21,0,6,0,0,1,5.85028076171875,20.90012550354004,5.101226806640625,0.2689942121505737,Male,Less than 25,F,unpriv,unpref
23,0,1,0,0,0,-4.075286865234375,-0.926060438156128,17.96881103515625,1.315510869026184,Male,Less than 25,M,unpriv,0
28,0,3,0,0,0,-0.996002197265625,-0.9962672591209412,26.903808593749996,0.5443336963653564,Male,25 - 45,M,unpriv,0
33,0,1,0,0,0,-1.64080810546875,-0.386511743068695,25.802001953125,0.2995874881744385,Male,25 - 45,F,unpriv,0
25,0,2,0,0,2,14.838836669921877,-0.9766424298286438,-22.29086303710937,7.094014167785645,Male,25 - 45,M,Caucasian,unpref
43,0,1,0,0,0,-21.95684814453125,-0.9146163463592528,866.3348388671875,655.3049926757812,Male,25 - 45,M,unpriv,0
29,0,4,0,0,0,-80.23617553710938,5.004013061523437,-7.52728271484375,1.933948278427124,Female,25 - 45,M,Caucasian,unpref
54,0,1,0,0,1,2.987823486328125,1.2863149642944336,-74.40751647949219,21.69176483154297,Male,Greater than 45,M,Caucasian,0
48,0,1,0,0,0,-2.60650634765625,-0.4124174118041992,17.34490966796875,0.3947665691375732,Male,25 - 45,M,Caucasian,unpref
29,0,4,0,0,3,-2.246856689453125,-0.7597411274909973,31.33172607421875,0.895363211631775,Male,25 - 45,F,unpriv,unpref
56,0,6,0,0,16,-15.894775390625,50.779441833496094,26.75213623046875,10.964403152465819,Male,Greater than 45,F,unpriv,unpref
33,0,6,0,0,4,-1.37066650390625,10.200658798217772,-7.644805908203125,2.5428676605224605,Male,25 - 45,M,Caucasian,unpref
30,0,1,0,0,0,-7.491424560546875,-0.9587833881378174,43.757232666015625,0.863183617591858,Male,25 - 45,M,Caucasian,0
62,0,1,0,0,1,-16.129486083984375,-0.9172985553741456,-51.455810546875,3.5213992595672607,Male,Greater than 45,M,unpriv,0
45,0,1,0,0,3,-0.9185791015625,-0.211922287940979,71.19784545898438,0.4140290021896362,Male,25 - 45,F,Caucasian,unpref
