age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,sex,age_cat,c_charge_degree,race,two_year_recid
49,0,5,0,0,0,-24.252593994140625,37.00015258789063,49.398345947265625,4.377104759216309,Female,Greater than 45,F,Caucasian,0
33,0,3,0,0,1,47.20895385742188,2.86635971069336,-1.7978515625,0.850719690322876,Male,25 - 45,F,Caucasian,0
25,0,7,0,0,2,-44.433441162109375,1.7499125003814695,-116.66990661621094,0.7278933525085449,Female,25 - 45,F,unpriv,unpref
25,0,1,0,0,0,-3.947509765625,0.3028830289840698,12.006683349609377,1.5509657859802246,Male,25 - 45,F,unpriv,0
31,0,2,0,0,3,-0.623199462890625,-0.9979659914970397,-41.22894287109374,0.0206221342086792,Male,25 - 45,F,unpriv,0
24,0,8,0,0,0,2.863037109375,-0.7441843152046204,79.00747680664062,29.36433219909668,Male,25 - 45,F,unpriv,0
19,0,7,0,0,0,16.259124755859375,-0.973781406879425,-102.14633178710938,0.0,Female,Less than 25,M,unpriv,unpref
26,0,7,0,0,6,-18.685028076171875,5.816856861114502,-8.407470703125,11.875176429748535,Male,Less than 25,M,unpriv,unpref
22,0,1,0,0,0,24.84246826171875,0.0330080986022949,55.73382568359375,19.45301818847656,Male,25 - 45,M,unpriv,0
24,0,5,0,0,0,-1.24127197265625,43.669376373291016,-19.69113159179687,0.0020395517349243,Male,Less than 25,F,unpriv,unpref
34,0,7,0,0,4,-3.354949951171875,-0.8277798295021057,-2.3829040527343754,2.0515623092651367,Male,25 - 45,F,Caucasian,unpref
32,0,4,0,0,1,-52.41720581054688,8.114995956420898,147.22479248046875,1.0066320896148682,Male,25 - 45,F,Caucasian,unpref
30,0,3,0,0,0,4.286407470703125,22.140645980834964,-5.549560546875,121.80248260498048,Male,25 - 45,F,unpriv,0
22,0,8,0,0,0,-4.673095703125,6.613204479217529,3.407806396484375,1.785740852355957,Female,Less than 25,F,unpriv,unpref
31,1,7,0,0,18,2.3857421875,1.2727699279785156,-10.540618896484377,8.188119888305664,Male,25 - 45,F,unpriv,0
60,0,2,0,0,4,-100.98809814453124,11.281007766723635,31.733306884765625,3.4062778949737544,Male,Greater than 45,M,Caucasian,0
43,0,2,0,0,0,7.328399658203125,-0.7894912958145142,38.197113037109375,4.621170997619629,Male,25 - 45,F,Caucasian,0
35,0,4,0,0,0,-0.524139404296875,-0.2051050066947937,23.264434814453125,1.8772940635681152,Male,25 - 45,M,unpriv,unpref
18,0,9,0,0,1,0.6220703125,-0.3821755051612854,8.657470703125,0.0106509923934936,Male,Less than 25,F,unpriv,0
35,0,1,0,0,0,-0.946685791015625,0.5755966901779175,13.466949462890623,0.6170777082443237,Male,25 - 45,F,Caucasian,0
30,0,7,0,1,2,2.85125732421875,-0.3276596069335937,-28.3924560546875,2.5541985034942627,Male,25 - 45,F,unpriv,0
54,0,1,0,0,0,29.928924560546875,6.767431735992432,-31.786163330078125,3.062500238418579,Male,Greater than 45,F,Caucasian,0
28,0,9,0,0,4,-1.162261962890625,0.2159124612808227,-8.4239501953125,1.185659408569336,Male,25 - 45,F,unpriv,unpref
33,0,5,0,0,13,-3.89141845703125,0.1029467582702636,7.191558837890625,3.035306215286255,Male,25 - 45,F,unpriv,unpref
21,0,6,0,0,0,2.3370361328125,0.9637793302536012,-35.991058349609375,0.4296655654907226,Female,Less than 25,F,unpriv,0
32,0,8,0,0,12,0.081512451171875,0.5093014240264893,6.079376220703125,1.2148929834365845,Male,25 - 45,F,unpriv,unpref
55,0,4,0,0,8,-56.1810302734375,38.730690002441406,-49.30873107910157,25.449525833129883,Male,Greater than 45,M,unpriv,0
45,0,4,0,0,4,5.4808349609375,-0.7458383440971375,41.70553588867188,2.1170547008514404,Male,25 - 45,F,Caucasian,unpref
32,0,4,0,0,3,7.847686767578125,-0.5348379015922546,50.53076171875,8.403633117675781,Male,25 - 45,F,unpriv,0
49,0,1,0,0,4,0.91009521484375,4.672626495361329,6.66278076171875,6.63874101638794,Male,Greater than 45,M,unpriv,unpref
50,0,1,0,0,3,3.735992431640625,2.021150827407837,11.650543212890623,0.0881539583206176,Male,Greater than 45,F,unpriv,unpref
49,0,1,0,0,0,1.502197265625,2.0956716537475586,-4.697906494140625,0.021301984786987298,Male,Greater than 45,M,Caucasian,0
26,0,2,0,0,0,-1.175537109375,13.956064224243164,28.4658203125,2.3935272693634038,Female,Less than 25,F,unpriv,0
36,0,1,0,0,2,-3.776885986328125,-0.596327543258667,12.557342529296877,2.3763043880462646,Male,25 - 45,M,Caucasian,unpref
31,0,2,0,0,1,0.49005126953125,-0.07723069190979,-55.59309387207031,1.8922507762908936,Male,25 - 45,F,unpriv,0
35,0,4,0,0,4,32.233001708984375,4.000218868255615,-31.4302978515625,0.04962909221649169,Female,25 - 45,F,Caucasian,unpref
19,0,6,0,0,0,-2.065460205078125,-0.6235296130180359,22.887359619140625,0.40292477607727045,Male,Less than 25,F,unpriv,unpref
51,0,1,0,0,0,-13.262939453125,8.451769828796387,84.28543090820312,2.160111904144287,Male,Greater than 45,F,unpriv,0
54,0,1,0,0,0,13.38641357421875,8.952605247497559,-15.845672607421875,5.226011276245116,Male,Greater than 45,M,Caucasian,0
29,0,8,0,0,2,7.887237548828125,0.3202279806137085,22.249298095703125,11.508057594299316,Male,25 - 45,F,Caucasian,0
58,0,1,0,0,1,0.95672607421875,2.162704467773437,37.932861328125,7.978046417236328,Female,Greater than 45,M,Caucasian,unpref
31,0,5,0,0,2,6.339813232421875,0.2170076370239257,11.29443359375,0.1350636482238769,Female,25 - 45,F,unpriv,unpref
26,0,9,0,0,2,-14.411956787109377,30.69693756103516,-187.2738342285156,0.0013597011566162,Male,Less than 25,F,unpriv,unpref
55,0,5,0,0,17,0.57098388671875,21.279880523681644,-63.75341796875,1.1824867725372314,Male,Greater than 45,F,unpriv,unpref
22,0,5,0,0,1,-1.48486328125,0.1275112628936767,11.303863525390623,0.000226616859436,Male,Less than 25,F,unpriv,unpref
31,0,1,0,0,1,17.213958740234375,-0.94727224111557,85.72357177734375,1.1648106575012207,Male,25 - 45,F,Caucasian,unpref
22,0,1,0,0,3,-7.723114013671875,11.62339210510254,-93.16000366210938,2.4796416759490967,Male,Less than 25,F,unpriv,unpref
26,0,7,0,0,2,1.7181396484375,-0.7300580143928528,7.055877685546874,3.590517520904541,Female,25 - 45,M,Caucasian,unpref
29,0,3,0,0,0,-5.80670166015625,6.020413875579834,10.37164306640625,1.1521201133728027,Female,25 - 45,F,unpriv,0
32,0,1,0,0,0,-2.14044189453125,-0.6998384594917297,-29.90853881835937,1.857125163078308,Male,Less than 25,F,unpriv,0
30,0,3,0,0,0,-13.779754638671877,-0.6869191527366638,2.292816162109375,1.3717118501663208,Male,25 - 45,F,Caucasian,unpref
42,0,3,0,0,0,-1.81622314453125,-0.007157981395721401,9.444610595703125,0.45119416713714594,Male,25 - 45,F,Caucasian,unpref
