age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,sex,age_cat,c_charge_degree,race,two_year_recid
32,0,9,1,0,17,8.799102783203125,14.963233947753906,3.574066162109375,3.623603582382202,Male,25 - 45,F,unpriv,unpref
29,0,2,0,0,2,3.760284423828125,-0.521203339099884,0.813232421875,17.70489501953125,Male,25 - 45,M,unpriv,0
44,0,1,0,0,0,-0.08221435546875,1.2513344287872314,-23.300598144531254,10.908656120300291,Female,Greater than 45,F,Caucasian,0
38,0,2,0,0,3,-3.904754638671875,0.6349629163742065,25.501007080078125,0.5744737386703491,Male,25 - 45,F,Caucasian,0
54,0,1,0,0,0,-23.845733642578125,-0.15693700313568107,-29.540649414062504,1.6717525720596311,Male,Greater than 45,F,unpriv,0
37,0,2,0,0,0,-3.4871826171875,-0.9133870005607604,6.1234130859375,2.423667192459107,Male,25 - 45,F,unpriv,0
38,0,9,0,0,19,-2.021484375,-0.956369400024414,22.665496826171875,0.0009064674377440999,Male,25 - 45,F,unpriv,unpref
33,0,1,0,0,2,-116.1510009765625,-0.0413784980773925,64.056884765625,522.946044921875,Male,25 - 45,M,unpriv,0
24,0,5,0,0,3,-10.273040771484377,-0.9302178621292114,3.040130615234375,1.6966804265975952,Male,25 - 45,F,unpriv,unpref
27,0,8,0,0,3,-128.46878051757812,2.4079477787017822,-24.190887451171875,0.0351256132125854,Female,25 - 45,F,Caucasian,unpref
39,0,2,0,0,0,1.921234130859375,1.7437434196472168,9.302825927734377,0.1434484720230102,Male,25 - 45,F,unpriv,unpref
48,0,2,0,0,2,-5.0426025390625,-0.9849125742912292,-12.011749267578121,0.0020395517349243,Female,Greater than 45,M,Caucasian,unpref
30,0,6,0,0,1,13.859222412109377,1.89390230178833,47.566192626953125,0.8178602457046509,Male,25 - 45,M,Caucasian,0
29,0,9,0,0,11,3.857330322265625,95.3129425048828,65.09249877929688,71.02897644042969,Male,25 - 45,F,unpriv,unpref
32,0,9,3,0,7,21.73333740234375,13.395997047424316,161.52322387695312,15.919381141662598,Male,25 - 45,F,unpriv,unpref
31,0,7,0,1,9,39.55712890625,-0.9100565910339355,-20.213043212890625,0.0022661685943603,Male,25 - 45,F,Caucasian,unpref
28,0,4,0,0,0,1.54376220703125,-0.6720552444458008,-21.540710449218746,1.2996476888656616,Male,25 - 45,F,unpriv,unpref
25,0,2,0,0,2,-1.6280517578125,-0.9737590551376344,47.79583740234375,1.6710727214813232,Male,25 - 45,F,unpriv,unpref
24,0,4,0,0,0,-2.96636962890625,-0.9987706542015076,14.08709716796875,0.31884992122650135,Male,Less than 25,M,Caucasian,unpref
25,0,4,0,0,1,-0.53399658203125,-0.8593181371688843,14.359832763671877,0.6476709842681885,Male,25 - 45,F,Caucasian,0
29,1,9,3,0,15,5.4483642578125,5.355963706970215,8.553131103515625,0.0045323371887207005,Male,25 - 45,M,unpriv,unpref
22,0,4,0,0,2,9.68267822265625,57.91107940673828,3.639801025390625,1.2527379989624023,Male,Less than 25,F,unpriv,0
31,0,1,0,0,1,2.796875,-0.9001994729042052,2.77423095703125,8.880661010742188,Male,25 - 45,F,unpriv,0
22,0,4,0,0,0,-0.56390380859375,-0.6722564101219177,29.857086181640625,1.3651399612426756,Male,Less than 25,M,unpriv,unpref
29,0,4,0,0,5,-34.45404052734375,-0.97769296169281,26.009735107421875,2.666147232055664,Male,25 - 45,M,unpriv,0
50,0,1,0,0,0,-5.7313232421875,9.039441108703612,-0.234893798828125,0.0568808317184448,Male,Greater than 45,F,Caucasian,0
32,0,1,0,0,0,-2.4530029296875,-0.992959201335907,66.333740234375,0.0158631801605224,Male,25 - 45,M,unpriv,0
53,0,1,0,0,0,-27.30404663085937,-1.0,-12.89849853515625,0.0,Female,Greater than 45,M,Caucasian,0
60,0,5,0,0,6,-68.1097412109375,0.6181991100311278,30.383270263671875,52.77929306030274,Male,Greater than 45,M,unpriv,0
28,0,4,0,0,2,-5.768585205078125,54.95260238647461,21.049774169921875,18.406726837158203,Male,25 - 45,F,unpriv,0
22,3,9,0,0,2,125.403076171875,64.61599731445312,-31.63803100585937,0.0,Male,Less than 25,F,unpriv,unpref
41,0,3,0,0,1,93.54208374023438,5.5574870109558105,35.448760986328125,0.1028840541839599,Male,25 - 45,F,Caucasian,unpref
53,0,9,0,0,0,60.042022705078125,43.66177749633789,-60.338729858398445,0.167696475982666,Male,Greater than 45,F,unpriv,unpref
22,0,6,0,0,0,-13.587188720703123,-0.4592219591140747,-73.01577758789062,0.0056654214859008,Female,Less than 25,F,unpriv,0
53,0,1,0,0,0,-12.94622802734375,0.0139421224594116,-57.38922119140625,111.90272521972656,Male,Greater than 45,M,Caucasian,0
26,0,1,0,0,0,-5.1737060546875,-0.9090954661369323,15.6842041015625,3.5592443943023677,Male,25 - 45,M,Caucasian,0
26,0,6,0,0,7,-4.123626708984375,13.109067916870115,6.873809814453125,4.241814136505127,Male,25 - 45,F,unpriv,0
38,0,8,0,0,13,4.6220703125,11.051568031311035,7.323211669921875,3.646491765975952,Male,25 - 45,F,unpriv,unpref
38,0,7,0,0,8,-1.713653564453125,-0.2922991514205932,-29.34210205078125,4.629555702209473,Male,25 - 45,F,unpriv,0
38,0,1,0,0,0,-80.25506591796875,-0.9989941716194152,-207.92514038085935,1.507681965827942,Male,25 - 45,M,unpriv,unpref
53,0,4,0,0,2,0.640869140625,9.411262512207031,7.158111572265625,0.103563904762268,Male,Greater than 45,M,unpriv,unpref
35,0,1,0,0,1,3.123260498046875,31.948524475097656,-28.29449462890625,2.7064850330352783,Male,25 - 45,F,Caucasian,0
32,0,4,0,0,1,3.77716064453125,1.6426241397857666,37.6622314453125,0.6111856698989869,Male,25 - 45,F,unpriv,0
27,0,5,0,0,3,0.22796630859375,13.838762283325195,1.2972412109375,3.2320096492767334,Male,25 - 45,F,unpriv,unpref
41,0,1,0,0,0,-1.10516357421875,4.9362874031066895,-6.11859130859375,0.5080749988555908,Male,25 - 45,F,unpriv,0
44,0,1,0,0,0,1.70703125,31.52920532226562,-15.524169921874998,0.6021209955215454,Female,25 - 45,F,unpriv,0
57,0,7,0,0,5,1.6788330078125,2.8285627365112305,82.3399658203125,17.353866577148438,Male,Greater than 45,M,unpriv,0
29,0,1,0,0,0,-4.261962890625,2.452606439590454,13.30535888671875,0.6610413789749146,Female,25 - 45,F,Caucasian,0
25,0,4,0,0,4,42.73980712890625,2.5091564655303955,-10.16802978515625,0.4430359601974487,Male,Less than 25,M,Caucasian,unpref
37,0,1,0,0,0,-2.7454833984375,-0.945417046546936,4.45635986328125,2.249852180480957,Male,25 - 45,M,Caucasian,0
28,0,9,0,0,4,-7.309967041015625,-0.958224594593048,44.148193359375,0.0188091993331909,Male,25 - 45,F,unpriv,unpref
73,0,1,0,0,1,-3.870391845703125,4.1784515380859375,0.945587158203125,7.31836462020874,Female,Greater than 45,M,Caucasian,0
19,0,6,0,0,0,158.208740234375,0.8152743577957154,58.968780517578125,3.4241807460784908,Male,Less than 25,F,unpriv,unpref
43,0,2,0,0,0,3.212158203125,1.1642968654632568,65.1285400390625,1.906074404716492,Male,25 - 45,F,unpriv,unpref
32,0,3,0,0,1,-30.33819580078125,-0.9999776482582092,1.74591064453125,0.0,Female,25 - 45,M,unpriv,unpref
27,0,2,0,0,0,15.187164306640623,-0.7600540518760681,39.484283447265625,9.744751930236816,Male,25 - 45,M,unpriv,0
38,0,7,0,0,6,-1.33184814453125,0.0937378406524658,32.79058837890625,0.2433865070343017,Male,25 - 45,F,unpriv,unpref
64,0,1,0,0,0,8.527099609375,9.293245315551758,-72.7230224609375,20.68354797363281,Female,Greater than 45,M,unpriv,0
29,0,2,0,0,1,3.37603759765625,-0.5468854904174805,158.04165649414062,6.660042762756348,Male,25 - 45,M,unpriv,0
18,0,8,0,0,0,-2.353729248046875,42.90740585327149,340.0716552734375,0.000453233718872,Male,Less than 25,F,unpriv,unpref
28,0,5,0,0,4,-1.25164794921875,0.970440149307251,-0.810760498046875,2.308319330215454,Male,25 - 45,M,unpriv,0
32,0,8,0,0,2,-49.49166870117188,24.825851440429688,-99.50912475585938,1.5654692649841309,Male,25 - 45,F,unpriv,unpref
26,0,4,0,0,16,-11.406890869140623,3.923910140991211,-48.517120361328125,0.4423561096191406,Male,25 - 45,F,unpriv,unpref
31,0,4,0,0,2,0.840423583984375,34.05698776245117,-15.975677490234377,2.8410954475402828,Male,25 - 45,F,unpriv,0
37,0,5,0,0,2,-3.054290771484375,3.7590436935424805,16.696502685546875,0.37618398666381836,Female,25 - 45,M,Caucasian,0
27,0,7,0,0,1,181.7618408203125,0.3154671192169189,65.18035888671875,0.0652656555175781,Male,25 - 45,F,Caucasian,0
67,0,1,0,0,1,9.197906494140623,2.6813766956329346,-87.10858154296875,0.128944993019104,Male,Greater than 45,F,Caucasian,unpref
24,0,6,0,1,3,8.363006591796875,-0.7213631868362427,-34.47332763671875,1.6291486024856567,Male,25 - 45,M,Caucasian,unpref
34,0,1,0,0,0,-2.791748046875,-0.990411102771759,18.41632080078125,0.5774197578430176,Male,25 - 45,M,Caucasian,0
52,0,2,0,0,1,14.60211181640625,-0.2137104272842407,64.79879760742188,1.1711559295654297,Male,Greater than 45,F,unpriv,unpref
23,0,4,0,0,0,5.287689208984375,73.07447814941406,-34.426666259765625,0.026967406272888104,Male,Less than 25,F,unpriv,0
26,0,5,0,0,1,-17.433013916015625,2.6936254501342773,-13.9185791015625,5.017977237701416,Female,Less than 25,F,unpriv,unpref
38,0,9,0,0,13,5.2745361328125,2.129892110824585,16.9193115234375,7.758681297302246,Male,25 - 45,F,unpriv,unpref
56,0,1,0,0,0,11.900665283203123,-0.9995082616806029,-24.533111572265625,0.1860524415969848,Male,Greater than 45,M,Caucasian,unpref
31,0,6,0,0,1,-6.475128173828125,-0.1856366395950317,51.99435424804688,1.6622346639633183,Male,25 - 45,F,Caucasian,unpref
34,0,2,0,0,0,14.0731201171875,0.7582327127456665,72.14373779296875,20.01366806030273,Male,25 - 45,M,unpriv,0
53,0,1,0,0,2,-2.555816650390625,-0.1155862808227539,116.36007690429688,2.9423933029174805,Male,Greater than 45,F,unpriv,0
26,0,6,0,0,1,-2.266693115234375,3.5206398963928223,8.91748046875,3.460892677307129,Female,25 - 45,F,Caucasian,unpref
26,0,4,0,0,0,-13.3272705078125,-0.975256621837616,9.43682861328125,2.6006550788879395,Male,Less than 25,F,unpriv,0
41,0,2,0,0,6,2.097991943359375,15.20112419128418,10.98541259765625,0.8242055177688599,Male,25 - 45,F,unpriv,0
53,0,1,0,0,0,-31.541473388671875,11.924850463867188,0.57720947265625,2.4719367027282715,Male,Greater than 45,M,Caucasian,0
36,0,1,0,0,3,0.2244873046875,3.572183132171631,16.9058837890625,1.3173238039016724,Male,25 - 45,F,unpriv,0
35,0,1,0,0,2,3.966217041015625,-0.4678720831871032,-1.798553466796875,1.3422516584396362,Male,25 - 45,F,unpriv,0
38,0,1,0,0,0,13.6558837890625,4.579843997955322,9.25006103515625,5.048797130584718,Male,25 - 45,F,Caucasian,0
34,0,1,0,0,0,3.060760498046875,-0.4653016328811645,68.08560180664062,0.0770497322082519,Male,25 - 45,M,unpriv,0
26,5,7,0,0,4,44.98992919921875,10.876643180847168,254.671630859375,312.57647705078125,Male,Less than 25,M,unpriv,unpref
37,0,4,0,0,0,-1.02923583984375,-0.44762140512466436,21.35946655273437,1.0209089517593384,Male,25 - 45,M,unpriv,0
38,0,5,0,0,6,-2.305267333984375,21.969097137451172,6.485443115234375,3.328321695327759,Male,25 - 45,F,unpriv,unpref
27,0,2,0,0,0,-7.506378173828125,-0.9545812606811525,12.695831298828123,1.1444151401519775,Female,25 - 45,M,unpriv,unpref
30,0,3,0,0,0,-11.31060791015625,-0.8397156596183777,-36.4776611328125,64.27896881103516,Male,25 - 45,F,unpriv,0
27,0,7,0,0,9,-7.055389404296875,0.4059245586395263,31.43063354492188,29.60046768188477,Male,25 - 45,F,unpriv,unpref
60,0,8,0,0,0,-1.88250732421875,2.298848867416382,158.8311462402344,26.47270202636719,Male,Greater than 45,F,unpriv,0
19,0,6,0,0,1,38.60610961914063,-0.2511495947837829,-31.02471923828125,0.0908733606338501,Male,Less than 25,F,Caucasian,unpref
58,0,1,0,0,0,1.5941162109375,5.869338512420655,-15.48529052734375,0.0598268508911132,Female,Greater than 45,F,Caucasian,unpref
21,0,3,0,0,0,27.25091552734375,24.2092342376709,89.15002441406251,0.0006798505783081,Male,Less than 25,F,Caucasian,unpref
48,0,4,0,0,0,5.344879150390625,-0.9996870756149291,60.584991455078125,0.3988456726074219,Male,Greater than 45,F,Caucasian,0
21,0,6,0,0,0,1.70233154296875,0.6987994909286499,-124.72590637207031,0.006571888923645,Male,Less than 25,F,unpriv,0
23,0,7,0,0,0,-94.50347900390624,0.5718415975570679,-112.68124389648438,3.8984897136688232,Female,25 - 45,F,unpriv,0
51,0,1,0,0,0,-2.147613525390625,0.3239607810974121,8.95660400390625,1.746309518814087,Male,Greater than 45,M,Caucasian,0
24,0,3,0,0,0,-161.96539306640625,-0.6184334158897399,117.8782958984375,586.56689453125,Female,Less than 25,M,unpriv,0
55,0,1,0,0,0,-0.724700927734375,3.0034427642822266,2.06622314453125,0.1214666366577148,Male,Greater than 45,F,unpriv,0
47,0,3,0,0,6,20.79574584960937,6.292903900146484,-14.66424560546875,4.377557754516602,Male,Greater than 45,F,Caucasian,0
31,0,6,0,0,4,5.644866943359375,10.62254810333252,-29.9945068359375,1.7220615148544312,Female,25 - 45,F,unpriv,0
