balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
-4155,1,64,1,815,1,retired,married,primary,no,no,yes,telephone,jul,other,unpriv,yes
-1485,27,28,28,95,4,housemaid,single,tertiary,no,yes,yes,unknown,may,failure,unpriv,unpref
1945,1,1,1,8,58,entrepreneur,single,secondary,no,no,no,cellular,may,other,unpriv,unpref
2811,17,301,8,0,0,management,divorced,tertiary,no,no,yes,cellular,aug,unknown,unpriv,yes
-5842,2,0,5,0,0,self-employed,married,tertiary,yes,yes,no,unknown,jul,other,unpriv,unpref
3180,8,778,1,356,0,blue-collar,married,unknown,no,yes,no,cellular,sep,failure,unpriv,unpref
4412,29,210,1,221,4,retired,divorced,primary,no,no,no,unknown,sep,success,unpriv,unpref
-5429,5,36,1,0,0,unknown,married,primary,yes,no,no,telephone,may,unknown,unpriv,unpref
2062,30,251,1,225,0,technician,single,secondary,yes,no,no,unknown,aug,failure,unpriv,unpref
1405,26,91,1,237,1,management,divorced,secondary,yes,yes,yes,telephone,may,other,unpriv,unpref
-681,25,669,1,0,0,retired,single,unknown,no,yes,no,telephone,aug,unknown,unpriv,yes
-6558,6,9,1,124,1,technician,divorced,primary,yes,no,no,cellular,apr,other,unpriv,yes
-3376,30,106,1,228,0,admin.,married,secondary,no,no,no,telephone,jun,failure,unpriv,yes
-5191,30,133,2,0,0,technician,single,tertiary,yes,yes,yes,cellular,jul,unknown,unpriv,unpref
-2960,15,1044,1,0,0,student,single,tertiary,no,no,no,unknown,jun,unknown,unpriv,unpref
10019,20,2,2,0,0,technician,married,secondary,no,yes,no,unknown,oct,unknown,unpriv,unpref
-4943,2,2,1,90,3,management,single,secondary,yes,no,yes,cellular,dec,success,unpriv,unpref
4869,16,149,1,69,10,blue-collar,married,primary,no,no,yes,cellular,nov,success,unpriv,unpref
1665,29,200,1,0,3,housemaid,divorced,unknown,yes,yes,no,telephone,dec,success,unpriv,yes
11667,2,2002,1,14,0,retired,divorced,primary,no,yes,yes,unknown,jan,unknown,unpriv,yes
563,27,412,1,109,4,self-employed,married,tertiary,no,no,no,cellular,jan,other,unpriv,yes
1650,1,0,1,811,0,admin.,single,secondary,no,yes,yes,telephone,feb,failure,unpriv,unpref
1892,27,164,4,413,1,unknown,married,primary,no,yes,no,cellular,aug,success,unpriv,yes
1686,24,0,6,0,0,housemaid,married,unknown,no,no,yes,telephone,mar,unknown,unpriv,unpref
-379,17,534,1,334,0,management,divorced,secondary,no,no,no,cellular,jan,failure,unpriv,unpref
-1879,7,749,1,158,14,student,single,tertiary,no,yes,no,cellular,jul,failure,unpriv,yes
-5294,13,89,1,0,0,management,married,secondary,yes,no,no,cellular,sep,unknown,unpriv,yes
3555,11,462,1,235,1,blue-collar,single,primary,no,no,no,telephone,feb,other,unpriv,unpref
-4279,20,275,1,5,0,self-employed,divorced,secondary,no,no,no,unknown,may,unknown,unpriv,yes
