age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,management,married,secondary,no,-249,no,no,cellular,30,nov,226,0,0,0,unknown,no
1,management,married,secondary,no,94,yes,no,cellular,30,may,222,0,-1,0,unknown,no
1,admin.,single,secondary,no,497,no,no,cellular,30,jun,256,1,0,0,unknown,no
1,admin.,single,secondary,no,-189,no,no,cellular,30,jun,261,1,0,0,unknown,no
1,technician,single,secondary,no,2155,no,yes,unknown,13,aug,111,0,-1,0,unknown,no
1,management,married,secondary,no,252,yes,no,cellular,5,may,122,1,-1,0,unknown,no
0,blue-collar,married,tertiary,no,248,yes,no,cellular,5,apr,703,3,74,0,failure,no
1,management,married,secondary,no,323,yes,no,cellular,2,may,131,2,-1,0,unknown,no
1,management,married,secondary,no,0,yes,no,cellular,4,may,77,0,-1,0,unknown,no
1,entrepreneur,married,tertiary,yes,8220,yes,no,unknown,11,nov,657,2,462,4,failure,yes
1,management,married,secondary,no,449,yes,no,cellular,5,jul,168,2,0,0,unknown,no
1,admin.,single,secondary,no,-253,no,no,cellular,30,jun,247,1,0,0,unknown,no
1,admin.,single,secondary,no,1322,no,no,cellular,29,jun,262,1,0,0,unknown,no
1,management,married,secondary,no,68,yes,no,cellular,6,may,105,1,-1,0,unknown,no
1,technician,single,secondary,no,2415,no,yes,unknown,16,aug,231,0,0,0,unknown,no
1,technician,single,secondary,no,2384,no,no,cellular,28,jun,262,1,0,0,unknown,no
1,admin.,single,secondary,no,2176,no,no,cellular,28,nov,294,0,0,0,unknown,no
1,services,married,tertiary,no,469,yes,no,cellular,8,nov,651,2,369,3,failure,no
1,management,married,secondary,no,73,yes,no,cellular,29,may,73,0,-1,0,unknown,no
1,admin.,married,secondary,no,370,yes,no,cellular,1,may,135,2,-1,0,unknown,no
1,housemaid,married,primary,yes,-581,no,no,telephone,15,may,0,4,60,7,other,yes
1,retired,married,primary,yes,-213,yes,no,telephone,14,may,4,4,390,6,other,yes
1,management,married,secondary,no,-134,yes,no,cellular,30,may,73,0,-1,0,unknown,no
1,management,married,secondary,no,265,yes,no,cellular,5,may,122,2,-1,0,unknown,no
1,management,married,secondary,no,17,yes,no,cellular,5,may,84,0,-1,0,unknown,no
1,management,married,secondary,no,22,yes,no,cellular,7,may,93,0,0,0,unknown,no
0,blue-collar,married,tertiary,no,258,yes,no,cellular,1,jul,194,1,302,0,failure,no
1,management,married,secondary,no,432,yes,no,cellular,5,jul,164,2,0,0,unknown,no
1,blue-collar,married,tertiary,no,442,yes,no,cellular,1,jul,172,2,-1,0,unknown,no
1,admin.,married,tertiary,no,8436,yes,no,unknown,8,may,193,2,-1,0,unknown,no
1,admin.,single,secondary,no,1353,no,no,cellular,29,jun,266,1,0,0,unknown,no
1,blue-collar,married,tertiary,no,377,yes,no,cellular,3,jul,200,2,-1,0,unknown,no
0,blue-collar,married,tertiary,no,315,yes,no,cellular,3,apr,695,1,300,0,failure,no
