age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
39,technician,married,secondary,no,63,no,no,cellular,28,jul,19,0,-1,0,unknown,no
35,management,married,secondary,no,58,yes,no,cellular,10,may,55,1,0,0,unknown,no
30,blue-collar,single,secondary,no,-261,yes,no,cellular,3,may,128,0,-1,0,unknown,no
61,blue-collar,single,tertiary,no,964,yes,no,unknown,7,nov,307,2,291,2,failure,yes
48,blue-collar,married,tertiary,no,2331,yes,no,cellular,8,jun,378,2,0,0,unknown,no
51,blue-collar,married,secondary,no,473,yes,no,unknown,8,aug,203,2,0,0,unknown,no
55,management,married,secondary,no,432,yes,no,unknown,2,jun,209,1,-1,0,unknown,no
36,management,married,secondary,no,129,yes,no,cellular,5,may,78,1,0,0,unknown,no
38,technician,married,secondary,no,488,no,no,cellular,29,may,131,0,0,0,unknown,no
29,management,married,secondary,no,554,no,no,cellular,6,may,173,0,0,0,unknown,no
59,blue-collar,married,secondary,no,383,yes,no,cellular,7,may,187,2,0,0,unknown,no
61,management,married,secondary,no,539,no,no,cellular,8,aug,145,2,0,0,unknown,no
61,blue-collar,single,tertiary,no,1824,yes,no,unknown,7,nov,156,2,310,2,failure,no
56,blue-collar,married,tertiary,no,-131,yes,no,cellular,2,nov,167,2,0,2,unknown,no
29,retired,single,tertiary,no,1817,yes,no,unknown,1,feb,327,2,356,1,failure,no
30,management,married,secondary,no,518,no,no,cellular,5,may,112,0,-1,0,unknown,no
55,blue-collar,married,tertiary,no,563,no,no,cellular,2,nov,212,1,0,0,unknown,no
57,blue-collar,married,tertiary,no,-89,yes,no,cellular,6,nov,214,2,0,0,unknown,no
36,management,married,secondary,no,560,yes,no,cellular,1,may,128,1,-1,0,unknown,no
38,technician,married,secondary,no,149,no,no,cellular,6,may,192,0,0,0,unknown,no
28,technician,married,secondary,no,165,no,no,cellular,31,may,69,1,0,0,unknown,no
35,management,married,secondary,no,-106,yes,no,cellular,4,may,161,0,-1,0,unknown,no
35,technician,married,secondary,no,596,no,no,cellular,31,may,121,0,-1,0,unknown,no
22,retired,single,primary,no,5013,yes,yes,unknown,14,jun,282,2,381,2,failure,yes
49,blue-collar,married,tertiary,no,2483,yes,no,cellular,3,jun,410,2,-1,0,unknown,no
41,services,married,tertiary,no,1797,yes,no,cellular,14,jun,329,2,-1,0,unknown,no
22,retired,single,primary,yes,3272,no,yes,unknown,22,apr,352,2,360,2,success,yes
46,blue-collar,married,tertiary,no,2513,no,no,cellular,2,aug,397,1,-1,0,unknown,no
47,admin.,married,secondary,no,657,yes,no,unknown,15,may,83,1,-1,0,unknown,no
33,technician,married,secondary,no,324,no,no,cellular,28,may,111,0,0,0,unknown,no
43,technician,married,secondary,no,-170,no,no,cellular,30,aug,54,2,-1,0,unknown,no
34,technician,married,secondary,no,-207,no,no,cellular,29,may,51,1,0,0,unknown,no
38,technician,married,tertiary,no,1526,yes,no,cellular,15,jun,421,2,0,0,unknown,no
55,blue-collar,married,tertiary,no,2395,yes,no,cellular,6,nov,294,2,332,2,failure,no
39,management,married,secondary,no,128,no,no,cellular,8,aug,191,0,0,0,unknown,no
33,technician,married,secondary,no,241,yes,no,unknown,15,may,78,1,-1,0,unknown,no
37,admin.,married,secondary,no,2668,no,no,cellular,27,aug,130,2,-1,0,unknown,no
38,management,married,secondary,no,-52,yes,no,cellular,12,may,168,1,0,0,unknown,no
36,admin.,married,tertiary,no,2785,yes,no,cellular,11,jun,404,2,0,0,unknown,no
29,admin.,married,secondary,no,189,yes,no,cellular,8,may,126,0,0,0,unknown,no
61,blue-collar,married,secondary,no,684,yes,no,unknown,7,may,106,1,-1,0,unknown,no
28,management,married,secondary,no,179,no,no,cellular,2,may,167,0,-1,0,unknown,no
45,technician,married,secondary,no,-244,no,no,cellular,9,jul,8,2,0,0,unknown,no
32,management,married,secondary,no,252,no,no,cellular,4,may,210,0,0,0,unknown,no
28,management,single,secondary,no,133,no,no,unknown,8,may,217,0,-1,0,failure,no
43,technician,married,tertiary,no,2559,no,no,cellular,30,jul,185,1,0,0,unknown,no
33,management,married,secondary,no,151,no,no,cellular,5,aug,3,0,-1,0,unknown,no
50,blue-collar,single,secondary,no,460,yes,no,unknown,8,nov,164,1,-1,0,unknown,no
58,blue-collar,married,tertiary,no,-461,yes,no,cellular,5,nov,165,1,330,1,failure,no
39,blue-collar,married,secondary,no,62,yes,no,cellular,9,may,129,2,0,0,unknown,no
