,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,321,7,96,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
1,71,6,82,2,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
2,677,25,751,2,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,0,no
3,52,10,378,2,0,0,technician,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
4,-400,28,184,2,-1,0,technician,married,tertiary,no,no,no,cellular,jul,unknown,0,no
5,2924,20,149,1,-1,0,blue-collar,married,tertiary,no,yes,no,unknown,may,unknown,0,no
6,-157,5,140,1,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
7,269,7,118,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
8,2599,29,114,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
9,163,4,243,2,0,0,blue-collar,married,tertiary,no,yes,no,cellular,nov,unknown,0,no
10,12,8,84,2,0,1,blue-collar,married,tertiary,no,no,no,cellular,jul,unknown,0,no
11,1682,25,416,2,99,1,management,single,tertiary,no,no,no,unknown,feb,failure,0,no
12,-641,20,416,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,0,no
13,-366,3,311,2,-1,0,management,married,tertiary,no,no,no,cellular,aug,unknown,0,no
14,934,18,309,0,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
15,434,6,129,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
16,2816,18,605,2,-1,0,management,married,tertiary,no,no,no,cellular,aug,unknown,0,no
17,2624,7,279,2,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
18,238,3,208,0,-1,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
19,383,1,158,0,-1,0,blue-collar,single,secondary,no,yes,no,cellular,may,unknown,0,no
20,342,7,144,0,0,0,management,divorced,tertiary,no,no,no,cellular,nov,unknown,0,yes
21,-38,3,151,1,-1,0,management,married,secondary,no,yes,no,cellular,aug,unknown,0,no
22,247,11,4,1,0,0,technician,married,secondary,no,yes,no,cellular,may,unknown,0,no
23,2820,28,549,2,-1,0,technician,married,secondary,no,no,no,cellular,may,unknown,0,no
24,239,6,129,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
25,-309,8,218,3,-1,0,services,single,secondary,no,no,no,unknown,jul,unknown,0,yes
26,663,28,50,2,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,0,no
27,677,20,155,2,0,0,management,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
28,778,13,208,0,256,2,management,single,tertiary,no,yes,yes,cellular,nov,failure,0,no
29,546,15,664,1,-1,0,blue-collar,married,primary,no,no,no,unknown,may,unknown,0,no
30,20,5,175,1,0,0,blue-collar,single,secondary,no,yes,no,cellular,may,unknown,0,no
31,-243,12,16,2,380,1,management,married,tertiary,no,no,no,cellular,aug,failure,0,no
32,2626,29,113,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
33,1994,9,119,3,371,6,retired,married,primary,yes,yes,no,unknown,may,failure,0,yes
34,309,6,157,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
35,469,5,95,0,-1,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
36,7562,1,401,3,297,0,services,married,tertiary,no,yes,no,cellular,nov,failure,0,no
37,822,29,254,2,0,1,admin.,married,tertiary,no,no,no,cellular,aug,unknown,0,no
38,889,5,71,0,0,0,management,married,tertiary,no,no,no,cellular,jul,unknown,0,no
39,377,26,183,2,0,0,technician,married,secondary,no,no,no,unknown,may,unknown,0,no
40,1560,15,742,8,137,6,self-employed,single,primary,yes,yes,yes,unknown,apr,failure,0,yes
41,-262,14,92,1,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
42,-154,3,132,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
43,884,16,131,1,0,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
44,1899,13,216,0,0,0,technician,married,secondary,no,no,no,unknown,jun,unknown,0,no
45,407,3,175,2,376,2,admin.,single,tertiary,no,yes,no,unknown,feb,failure,0,no
46,1159,26,326,0,-1,0,admin.,single,secondary,no,no,no,cellular,jun,unknown,0,no
47,592,7,2,1,0,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
48,1389,19,473,5,57,5,retired,single,primary,yes,yes,yes,unknown,apr,failure,0,yes
49,2742,10,305,1,0,0,blue-collar,married,secondary,no,no,no,unknown,may,unknown,0,no
50,-87,4,75,3,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
51,1425,27,300,3,260,1,services,single,primary,no,no,no,unknown,jul,other,0,no
52,391,3,186,0,-1,0,management,married,secondary,no,no,no,cellular,aug,unknown,0,no
53,46,6,82,3,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
54,131,3,376,5,40,0,blue-collar,married,tertiary,no,yes,no,cellular,apr,failure,0,no
55,603,8,117,1,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
