,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,-67,8,110,0,-1,0,technician,married,secondary,no,no,no,cellular,jul,unknown,0,no
1,-475,4,392,1,-1,0,management,married,secondary,no,yes,no,cellular,may,failure,0,no
2,-147,24,179,1,-1,0,admin.,single,secondary,no,yes,no,cellular,may,unknown,0,no
3,313,6,81,1,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
4,-280,12,29,1,0,2,admin.,single,secondary,no,yes,no,unknown,may,failure,0,no
5,102,6,196,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
6,1896,1,370,2,-1,2,blue-collar,married,tertiary,no,yes,no,cellular,nov,unknown,0,no
7,-20,5,205,1,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
8,-264,1,211,1,-1,0,blue-collar,married,secondary,no,no,no,unknown,jun,unknown,0,no
9,-180,1,102,2,0,1,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
10,117,5,194,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
11,440,28,124,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
12,1471,4,301,1,-1,1,admin.,married,tertiary,no,no,no,cellular,jun,unknown,0,no
13,8067,16,203,2,400,2,admin.,married,primary,no,yes,no,unknown,may,failure,0,yes
14,175,1,174,2,82,2,blue-collar,married,tertiary,no,yes,no,cellular,nov,failure,0,no
15,222,6,374,3,125,2,management,married,tertiary,no,yes,yes,cellular,nov,failure,0,no
16,197,30,423,1,0,0,admin.,married,secondary,no,yes,no,cellular,jul,unknown,0,no
17,119,2,392,5,38,0,blue-collar,married,tertiary,no,yes,no,cellular,apr,failure,0,no
18,531,28,291,1,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
19,679,29,57,3,0,0,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,0,no
20,-313,2,218,0,-1,0,services,single,secondary,no,no,no,unknown,feb,unknown,0,yes
21,233,28,296,1,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
22,135,4,24,4,-1,0,management,married,primary,no,no,no,cellular,aug,unknown,0,no
23,796,26,148,1,-1,0,technician,married,secondary,no,no,no,cellular,jul,unknown,0,no
24,290,1,77,1,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
25,-271,26,155,2,-1,0,technician,single,secondary,no,no,no,cellular,aug,unknown,0,no
26,337,7,146,1,0,0,technician,married,secondary,no,no,no,cellular,may,unknown,0,no
27,-272,9,115,3,0,0,blue-collar,married,tertiary,no,yes,no,unknown,may,unknown,0,no
28,2923,4,47,0,-1,0,management,single,tertiary,no,no,no,unknown,jun,unknown,0,no
29,564,8,36,1,-1,0,student,single,tertiary,no,yes,no,cellular,feb,unknown,0,yes
30,-222,1,159,2,-1,0,admin.,married,tertiary,no,yes,no,cellular,may,unknown,0,no
31,-87,4,188,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
32,769,21,72,1,-1,0,technician,married,secondary,no,no,no,cellular,aug,unknown,0,no
33,465,9,202,1,0,0,technician,married,secondary,no,yes,no,cellular,may,unknown,0,no
34,-33,25,134,1,-1,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
35,-274,1,155,1,-1,0,blue-collar,single,secondary,no,yes,no,unknown,nov,unknown,0,no
36,651,8,145,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
37,43,26,194,1,-1,0,technician,married,secondary,no,no,no,cellular,jul,unknown,0,no
38,1690,16,356,0,0,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
39,1887,8,352,2,169,1,blue-collar,married,tertiary,no,yes,no,cellular,nov,failure,0,no
40,873,14,110,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
41,890,3,232,1,312,1,blue-collar,married,tertiary,no,yes,no,cellular,nov,failure,0,no
42,390,15,122,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
43,454,18,471,3,99,1,entrepreneur,single,primary,yes,no,yes,unknown,apr,success,0,yes
44,3072,27,98,2,0,0,technician,married,secondary,no,yes,no,cellular,may,unknown,0,no
45,-292,31,44,2,-1,0,technician,married,secondary,no,no,no,unknown,may,unknown,0,no
46,8651,15,184,1,0,2,admin.,married,primary,no,yes,no,cellular,may,failure,0,no
47,577,9,159,1,0,2,blue-collar,married,tertiary,no,yes,no,cellular,jul,failure,0,no
48,261,5,73,1,-1,0,management,married,secondary,no,no,no,cellular,aug,unknown,0,no
49,578,7,371,0,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
50,1204,12,182,2,350,1,blue-collar,married,secondary,no,yes,no,cellular,may,failure,0,no
51,-260,24,105,1,0,0,technician,married,secondary,no,yes,no,cellular,jul,unknown,0,no
52,1427,15,193,2,-1,0,admin.,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
53,525,8,398,3,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,failure,0,no
54,340,5,107,1,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
55,-727,1,364,2,0,0,management,single,tertiary,no,no,no,cellular,aug,failure,0,no
56,402,28,128,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
57,174,2,182,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
58,-441,1,159,2,74,1,blue-collar,married,tertiary,no,yes,no,cellular,nov,failure,0,no
59,226,2,96,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
60,1398,25,311,1,-1,0,technician,single,secondary,no,no,no,cellular,jun,unknown,0,no
61,-695,24,70,1,-1,0,management,married,tertiary,no,no,no,cellular,nov,unknown,0,no
62,161,12,145,1,0,0,technician,married,secondary,no,yes,no,cellular,may,unknown,0,no
63,3079,19,15,1,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
64,2934,25,159,1,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,0,no
65,293,6,159,2,-1,0,blue-collar,married,tertiary,no,no,no,cellular,jul,unknown,0,no
66,240,26,290,1,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
67,823,22,620,7,164,6,entrepreneur,single,primary,yes,yes,yes,unknown,apr,success,0,yes
68,-651,9,4,0,0,0,services,single,tertiary,no,no,no,cellular,jul,unknown,0,no
69,549,7,155,0,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
70,1486,9,368,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
71,1083,16,412,1,0,0,technician,married,secondary,no,yes,no,cellular,may,failure,0,no
72,2421,29,119,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
73,319,30,145,2,71,2,retired,single,tertiary,no,no,no,unknown,feb,failure,0,no
74,1153,26,352,1,-1,0,technician,single,secondary,no,no,no,unknown,jun,unknown,0,no
75,25,15,421,1,0,0,retired,single,primary,no,yes,no,cellular,may,unknown,0,no
76,273,30,234,2,-1,0,services,married,tertiary,no,no,no,cellular,jul,unknown,0,no
77,50,5,77,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
78,1403,26,336,1,-1,0,technician,single,secondary,no,no,no,unknown,jun,unknown,0,no
79,2523,8,207,2,-1,0,admin.,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
80,388,6,126,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
81,2886,5,275,2,0,0,blue-collar,married,tertiary,no,yes,no,cellular,nov,unknown,0,no
82,1875,29,277,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
83,550,13,50,1,0,0,technician,married,secondary,no,no,no,cellular,may,unknown,0,no
84,267,8,165,2,-1,0,blue-collar,married,tertiary,no,no,no,cellular,jul,unknown,0,no
85,646,8,174,4,150,7,retired,married,primary,yes,no,no,telephone,may,other,0,yes
86,753,15,222,0,0,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
87,12,17,392,1,0,0,technician,married,tertiary,no,no,no,cellular,jul,unknown,0,no
88,194,8,404,1,0,0,admin.,single,secondary,no,no,no,cellular,may,unknown,0,yes
89,272,27,311,1,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
90,688,13,180,2,0,0,technician,married,secondary,no,no,no,cellular,may,unknown,0,no
91,408,5,174,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
92,1570,9,209,1,-1,0,blue-collar,married,secondary,no,no,no,cellular,jul,unknown,0,no
93,159,6,81,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
94,480,7,136,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
95,1557,14,362,0,0,0,technician,single,secondary,no,no,yes,unknown,jun,unknown,0,no
96,3071,7,220,2,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
97,309,5,179,0,0,0,management,married,secondary,no,no,no,cellular,aug,unknown,0,no
98,357,16,17,1,0,0,technician,married,secondary,no,yes,no,unknown,may,unknown,0,no
99,416,14,159,0,0,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,0,no
100,527,28,273,2,-1,0,management,married,tertiary,no,no,no,cellular,aug,unknown,0,no
101,639,17,101,3,0,0,blue-collar,married,tertiary,no,yes,no,unknown,nov,unknown,0,no
102,289,6,112,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
103,536,15,43,0,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
104,96,16,419,1,-1,0,management,married,tertiary,no,no,no,cellular,aug,unknown,0,no
105,-184,8,67,1,-1,0,technician,married,secondary,no,yes,no,cellular,may,unknown,0,no
106,222,29,308,0,0,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
107,-495,9,4,3,0,0,housemaid,married,secondary,no,no,no,cellular,aug,unknown,0,no
108,263,7,96,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
109,2870,20,159,3,-1,0,management,married,tertiary,no,no,no,cellular,aug,unknown,0,no
110,733,16,205,0,0,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
111,292,7,98,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
112,2646,21,181,1,-1,0,management,married,tertiary,no,no,no,unknown,nov,unknown,0,no
113,2666,29,111,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
114,2987,9,318,2,332,1,technician,married,tertiary,no,no,no,cellular,may,failure,0,no
115,303,27,33,1,-1,0,management,married,secondary,no,no,no,cellular,aug,unknown,0,no
116,442,7,191,0,0,0,management,married,secondary,no,no,no,cellular,aug,unknown,0,no
117,1597,11,125,2,142,6,retired,married,primary,yes,yes,no,unknown,may,failure,0,yes
118,2636,12,131,0,291,2,technician,married,secondary,no,no,no,cellular,may,failure,0,no
119,316,3,185,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
120,200,7,88,3,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
121,220,1,204,1,-1,0,blue-collar,married,secondary,no,no,no,cellular,may,unknown,0,no
122,1821,28,290,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
123,184,7,125,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
124,3056,26,184,2,-1,0,technician,married,secondary,no,yes,no,cellular,may,unknown,0,no
125,-84,8,302,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
126,1557,1,425,8,347,7,blue-collar,single,tertiary,yes,yes,yes,unknown,nov,failure,0,yes
