,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,208,14,305,2,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
1,603,26,319,1,-1,0,admin.,single,secondary,no,no,no,cellular,jun,unknown,0,no
2,-335,6,224,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,nov,unknown,0,no
3,183,4,73,0,0,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
4,330,7,84,1,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
5,742,27,329,1,-1,0,admin.,single,secondary,no,no,no,cellular,jun,unknown,0,no
6,-284,31,219,2,-1,0,technician,single,secondary,no,no,no,cellular,aug,unknown,0,no
7,312,27,338,1,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
8,-57,5,368,6,34,0,blue-collar,married,tertiary,no,yes,no,cellular,apr,failure,0,no
9,136,1,336,6,50,0,blue-collar,married,tertiary,no,yes,no,cellular,apr,failure,0,no
10,348,7,106,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
11,523,13,356,1,-1,0,management,single,tertiary,no,no,no,cellular,may,unknown,0,no
12,319,28,287,1,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
13,709,2,356,2,-1,0,management,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
14,348,6,86,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
15,-257,31,137,2,0,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,0,no
16,368,8,232,2,0,1,blue-collar,married,secondary,no,yes,no,cellular,may,failure,0,no
17,355,27,307,1,0,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
18,2047,16,544,3,88,1,retired,single,tertiary,no,no,no,unknown,feb,failure,0,no
19,-569,27,0,3,0,0,technician,single,tertiary,no,no,no,cellular,aug,unknown,0,no
20,2550,20,177,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
21,2462,14,74,1,-1,0,technician,married,secondary,no,yes,no,cellular,jun,unknown,0,no
22,178,8,129,2,-1,0,blue-collar,married,tertiary,no,no,no,cellular,jul,unknown,0,no
23,323,29,23,3,0,0,management,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
24,2593,20,331,1,0,0,blue-collar,married,tertiary,no,yes,no,cellular,may,unknown,0,no
25,-110,17,11,1,0,0,technician,married,secondary,no,yes,no,cellular,may,unknown,0,no
26,5893,10,293,3,142,4,services,married,primary,yes,yes,no,unknown,may,failure,0,yes
27,-76,28,49,1,0,0,technician,married,secondary,no,no,no,cellular,may,unknown,0,no
28,-310,9,196,0,0,0,services,single,secondary,no,no,no,cellular,jul,unknown,0,yes
29,57,1,161,1,-1,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
30,267,7,93,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
31,77,8,179,4,152,7,retired,married,primary,yes,no,no,telephone,may,other,0,yes
32,513,26,216,1,-1,0,management,single,tertiary,no,yes,no,cellular,jul,unknown,0,no
33,740,15,381,1,273,2,management,married,secondary,no,yes,no,cellular,apr,failure,0,no
34,587,8,191,0,0,0,technician,single,secondary,no,yes,no,cellular,may,unknown,0,no
35,944,8,404,0,-1,0,management,single,tertiary,no,no,no,cellular,jul,unknown,0,no
36,549,5,416,1,329,2,blue-collar,married,tertiary,no,yes,no,cellular,feb,failure,0,no
37,791,16,159,0,0,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
38,-265,4,13,0,0,0,retired,married,secondary,no,no,no,cellular,jul,unknown,0,no
