,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,77,14,14,1,0,0,technician,married,secondary,no,no,no,cellular,may,unknown,0,no
1,447,2,195,0,-1,0,management,married,secondary,no,no,no,cellular,aug,unknown,0,no
2,2948,14,292,5,274,3,self-employed,single,primary,yes,no,yes,unknown,apr,failure,0,yes
3,-360,9,27,0,0,0,management,married,tertiary,no,no,no,cellular,jul,unknown,0,no
4,1611,16,368,0,0,0,technician,single,secondary,no,no,yes,unknown,jun,unknown,0,no
5,57,7,113,1,-1,0,blue-collar,single,secondary,no,yes,no,cellular,may,unknown,0,no
6,3072,17,181,1,-1,0,blue-collar,married,tertiary,no,yes,no,unknown,may,unknown,0,no
7,472,16,330,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
8,283,12,310,2,120,0,management,single,secondary,no,yes,no,cellular,may,failure,0,no
9,-229,1,126,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,may,unknown,0,no
10,0,5,98,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
11,458,25,27,1,0,0,technician,married,secondary,no,yes,no,cellular,jul,unknown,0,no
12,205,19,168,8,333,2,retired,single,tertiary,no,yes,no,unknown,feb,failure,0,no
13,182,2,175,1,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
14,337,7,115,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
15,237,8,212,3,365,7,retired,married,primary,yes,no,no,telephone,may,other,0,yes
16,2031,8,414,2,-1,0,admin.,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
17,1957,26,173,8,357,1,retired,single,tertiary,no,yes,yes,unknown,apr,failure,0,yes
18,900,15,116,1,0,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
19,28,8,163,1,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
20,8026,28,269,4,261,2,services,married,primary,no,yes,no,unknown,nov,success,0,yes
21,275,2,211,0,-1,0,management,married,secondary,no,no,no,cellular,may,failure,0,no
22,2498,10,417,2,-1,0,admin.,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
23,1495,29,290,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
24,2981,6,107,0,-1,0,blue-collar,married,secondary,no,no,no,cellular,jul,unknown,0,no
25,2506,29,121,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
26,1543,25,331,0,-1,0,technician,single,secondary,no,no,no,cellular,jun,unknown,0,no
27,567,23,38,3,-1,0,technician,married,secondary,no,no,no,cellular,aug,unknown,0,no
28,2302,23,368,2,-1,0,technician,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
29,500,26,304,1,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
30,280,4,205,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,aug,unknown,0,no
31,1007,16,306,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
32,595,6,19,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
33,372,7,99,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
34,644,9,618,1,334,2,blue-collar,married,tertiary,no,yes,no,cellular,feb,failure,0,no
35,486,6,207,0,-1,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
36,168,4,215,2,-1,0,management,married,secondary,no,no,no,cellular,aug,unknown,0,no
37,1626,22,575,3,361,5,retired,single,primary,yes,yes,yes,unknown,apr,success,0,yes
38,362,2,17,0,0,0,management,married,tertiary,no,no,no,telephone,jun,unknown,0,no
39,433,15,159,0,0,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
40,365,6,253,2,-1,0,technician,married,tertiary,no,yes,no,cellular,nov,unknown,0,no
41,310,7,106,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
42,902,16,344,0,0,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
43,22900,26,481,4,7,1,services,married,primary,yes,no,no,telephone,nov,other,0,yes
44,673,2,212,1,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
45,864,15,383,2,-1,1,services,single,tertiary,no,no,no,unknown,jul,unknown,0,no
46,168,5,138,1,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
47,1321,31,83,2,-1,0,technician,married,secondary,no,no,no,cellular,aug,unknown,0,no
48,655,24,158,2,-1,0,technician,married,tertiary,no,no,no,cellular,aug,unknown,0,no
49,1565,7,346,2,-1,2,blue-collar,married,tertiary,no,yes,no,cellular,nov,unknown,0,no
50,1389,1,155,2,-1,0,management,married,secondary,no,yes,no,cellular,jun,unknown,0,no
51,1516,29,302,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
52,26,6,85,3,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
53,18,5,101,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
54,2567,8,293,2,62,2,blue-collar,married,tertiary,no,yes,no,cellular,nov,failure,0,no
55,597,9,155,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
56,584,31,154,4,-1,0,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,0,no
57,2504,16,159,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
58,345,6,105,0,0,0,admin.,married,secondary,no,yes,no,cellular,may,unknown,0,no
59,4854,20,88,0,-1,0,management,married,secondary,no,no,no,cellular,aug,unknown,0,no
60,767,1,454,7,24,0,services,married,tertiary,no,yes,no,cellular,apr,other,0,no
61,106,6,74,1,0,0,technician,married,secondary,no,no,no,cellular,may,unknown,0,no
62,1326,9,203,3,0,0,services,single,secondary,no,yes,no,unknown,jul,unknown,0,no
63,-20,3,341,6,51,0,blue-collar,married,tertiary,no,yes,no,cellular,apr,failure,0,no
64,472,29,135,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
65,343,15,114,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
66,251,27,120,1,-1,0,technician,married,secondary,no,no,no,cellular,may,unknown,0,no
67,533,9,53,1,0,2,blue-collar,married,tertiary,no,yes,no,cellular,jul,failure,0,no
68,-157,1,87,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,may,unknown,0,no
69,2961,20,69,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
70,21968,25,483,4,24,2,services,married,primary,yes,no,no,unknown,nov,other,0,yes
71,-606,16,215,1,369,1,technician,single,secondary,no,no,no,cellular,aug,failure,0,no
72,88,25,39,1,0,0,technician,married,secondary,no,no,no,unknown,may,unknown,0,no
73,149,9,79,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
74,2124,25,143,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
75,297,6,89,1,0,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
76,243,2,114,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
77,550,6,101,0,0,0,technician,married,secondary,no,no,no,cellular,may,unknown,0,no
78,327,29,172,1,0,0,admin.,single,secondary,no,yes,no,cellular,aug,unknown,0,no
79,5485,14,251,2,260,2,blue-collar,single,tertiary,no,yes,no,unknown,nov,failure,0,no
80,2543,31,401,1,0,0,technician,married,tertiary,no,no,no,cellular,aug,unknown,0,no
81,-626,21,204,3,0,0,management,married,tertiary,no,no,no,cellular,nov,unknown,0,no
82,2946,25,121,1,-1,0,technician,married,secondary,no,no,no,cellular,aug,unknown,0,no
83,2715,29,119,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
84,-585,9,57,0,-1,0,management,married,secondary,no,no,no,cellular,jul,unknown,0,no
85,3731,14,498,5,362,1,retired,single,primary,yes,yes,yes,unknown,apr,failure,0,yes
86,-177,1,109,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
87,694,29,306,0,-1,0,management,married,secondary,no,yes,no,cellular,jun,unknown,0,no
88,2401,2,311,1,-1,0,management,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
89,303,28,301,0,0,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
90,1060,6,193,1,0,0,management,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
91,1180,13,408,7,70,4,student,single,primary,yes,yes,yes,unknown,apr,failure,0,yes
92,-508,15,129,1,0,0,technician,married,tertiary,no,yes,no,unknown,may,unknown,0,no
93,-57,1,14,1,0,0,management,single,secondary,no,no,no,cellular,aug,unknown,0,yes
94,329,7,96,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
95,6795,5,693,0,89,3,services,divorced,primary,no,no,yes,telephone,nov,success,0,yes
96,2609,9,133,2,-1,0,technician,married,secondary,no,yes,no,unknown,jun,unknown,0,no
97,3036,15,280,1,64,1,admin.,married,tertiary,no,yes,no,cellular,nov,failure,0,no
98,-115,3,201,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
99,709,26,287,1,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
100,1508,20,412,0,-1,0,management,married,tertiary,no,no,no,cellular,jun,unknown,0,no
101,216,5,79,2,-1,0,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
102,180,7,71,1,0,0,blue-collar,married,secondary,no,no,no,cellular,aug,unknown,0,no
103,-7,11,54,1,-1,0,technician,married,secondary,no,yes,no,cellular,may,unknown,0,no
104,2706,29,135,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
105,-15,1,60,1,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
106,3080,13,13,1,-1,0,technician,married,secondary,no,yes,no,unknown,jun,unknown,0,no
107,495,12,281,3,-1,0,technician,married,tertiary,no,no,no,cellular,jul,unknown,0,no
108,-203,31,1,1,-1,0,technician,married,secondary,no,no,no,cellular,aug,unknown,0,no
109,309,6,109,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
110,573,26,323,1,-1,0,admin.,single,secondary,no,no,no,cellular,jun,unknown,0,no
111,669,25,15,1,-1,0,technician,married,secondary,no,no,no,cellular,aug,unknown,0,no
112,-76,5,124,1,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
113,515,15,138,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
114,576,15,311,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
115,283,7,109,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
116,4315,24,171,2,0,0,management,married,tertiary,no,yes,no,cellular,aug,unknown,0,no
117,3057,26,619,1,-1,0,technician,married,tertiary,no,no,no,cellular,aug,unknown,0,no
118,-143,3,82,2,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
119,595,15,13,1,-1,0,technician,married,secondary,no,yes,no,unknown,may,unknown,0,no
120,905,17,228,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
121,637,14,196,1,0,0,management,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
122,-268,2,250,2,261,2,blue-collar,married,tertiary,no,yes,no,cellular,nov,failure,0,no
123,-314,9,415,0,0,0,retired,single,primary,no,no,no,cellular,aug,unknown,0,yes
124,1961,22,123,0,-1,0,management,single,secondary,no,no,no,cellular,jun,unknown,0,no
125,141,10,145,1,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
