,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,-17,3,145,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
1,1170,16,354,0,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
2,3065,31,228,1,-1,0,technician,married,tertiary,no,no,no,cellular,jun,unknown,0,no
3,3004,6,421,1,-1,2,blue-collar,married,tertiary,no,yes,no,cellular,may,failure,0,no
4,368,2,65,1,0,0,admin.,married,secondary,no,no,no,cellular,may,unknown,0,no
5,661,3,2,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
6,800,2,26,0,-1,0,blue-collar,married,secondary,no,no,no,cellular,jul,unknown,0,no
7,307,26,63,1,0,0,technician,married,secondary,no,no,no,cellular,may,unknown,0,no
8,611,29,314,1,-1,0,management,married,secondary,no,yes,no,cellular,jun,unknown,0,no
9,-293,13,47,1,-1,0,technician,married,secondary,no,no,no,cellular,jul,unknown,0,no
10,663,16,39,0,0,0,admin.,married,secondary,no,yes,no,cellular,may,unknown,0,no
11,1993,19,170,2,257,1,services,single,tertiary,no,yes,no,unknown,feb,failure,0,no
12,3068,3,29,0,0,0,services,single,secondary,no,yes,no,unknown,jun,unknown,0,no
13,-550,3,392,1,0,0,blue-collar,married,tertiary,no,yes,no,unknown,nov,unknown,0,no
14,657,24,26,2,-1,0,management,single,tertiary,no,yes,no,cellular,nov,unknown,0,no
15,-284,10,166,1,0,0,technician,married,secondary,no,yes,no,unknown,may,unknown,0,no
16,3094,7,7,1,-1,0,retired,married,primary,no,no,no,telephone,jun,unknown,0,no
17,1876,31,278,2,-1,0,admin.,married,tertiary,no,no,no,cellular,jul,unknown,0,no
18,2131,29,281,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
19,500,31,136,3,-1,0,management,married,tertiary,no,no,no,cellular,jul,unknown,0,no
20,767,15,272,1,-1,0,technician,single,secondary,no,no,yes,unknown,aug,unknown,0,no
21,953,8,117,2,358,1,technician,married,secondary,no,yes,no,cellular,may,failure,0,no
22,8384,12,166,2,0,1,admin.,married,primary,no,yes,no,cellular,may,unknown,0,no
23,639,11,192,2,-1,0,admin.,married,secondary,no,yes,no,cellular,jun,unknown,0,no
24,5615,16,549,2,313,2,retired,single,primary,no,yes,yes,unknown,apr,failure,0,yes
25,-178,1,59,1,-1,2,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
26,3870,19,555,6,61,5,retired,single,primary,yes,yes,yes,unknown,apr,failure,0,yes
27,8381,9,282,3,340,1,services,married,primary,no,yes,no,unknown,nov,failure,0,yes
28,-311,21,104,1,-1,0,management,single,tertiary,no,yes,no,cellular,may,unknown,0,no
29,548,24,136,0,0,0,management,divorced,tertiary,no,no,no,cellular,nov,unknown,0,no
30,382,6,101,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
31,367,6,118,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
32,358,4,34,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,nov,unknown,0,no
33,276,7,110,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
34,348,6,101,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
35,125,6,147,1,-1,0,management,married,secondary,no,no,no,cellular,may,unknown,0,no
