balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
1480,13,99,1,0,0,admin.,married,secondary,no,no,no,cellular,may,unknown,1,unpref
1264,10,88,1,5,0,self-employed,married,tertiary,no,yes,no,cellular,feb,unknown,1,unpref
-248,12,0,10,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
651,20,98,1,2,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
-676,12,169,1,109,3,management,single,tertiary,no,no,no,cellular,feb,success,1,yes
2764,24,253,1,0,0,management,single,secondary,no,yes,no,cellular,jul,unknown,1,unpref
3127,26,43,1,4,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
2379,15,361,1,0,0,services,married,primary,no,yes,no,telephone,jul,unknown,1,unpref
2370,28,165,1,0,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
-721,29,1444,2,0,0,management,married,tertiary,no,no,no,cellular,jul,unknown,1,yes
-4900,30,105,1,0,0,technician,married,secondary,no,no,no,cellular,may,success,1,yes
2382,25,136,1,0,0,technician,married,tertiary,no,yes,no,cellular,apr,unknown,1,unpref
779,15,388,1,353,2,services,married,secondary,no,yes,yes,cellular,may,failure,1,unpref
1005,27,424,2,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,1,yes
-2855,4,84,1,0,0,blue-collar,married,primary,no,no,no,unknown,jun,unknown,1,unpref
26,7,134,1,0,0,technician,single,secondary,no,no,no,cellular,aug,unknown,1,unpref
4131,30,263,8,0,0,management,single,tertiary,no,no,no,cellular,apr,unknown,1,yes
-1131,26,134,2,0,0,technician,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
718,10,264,3,0,0,admin.,married,primary,no,no,no,cellular,aug,unknown,1,unpref
1738,30,307,1,215,2,management,married,tertiary,no,no,no,cellular,jan,failure,unpriv,yes
1322,10,353,1,0,0,admin.,married,primary,no,yes,no,unknown,may,unknown,1,unpref
1405,22,112,4,1,0,blue-collar,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
-2465,21,103,1,0,0,management,married,tertiary,no,no,no,unknown,may,unknown,1,unpref
-4951,5,177,7,0,0,management,married,tertiary,yes,no,yes,cellular,jul,unknown,1,unpref
6751,24,184,1,29,1,retired,married,secondary,no,no,no,cellular,oct,success,unpriv,yes
-478,15,729,1,0,0,management,married,primary,no,yes,no,unknown,may,unknown,1,unpref
962,23,352,4,1,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,yes
739,5,5,1,0,0,self-employed,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-2104,15,162,2,1,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
0,14,209,1,0,0,blue-collar,married,primary,no,yes,yes,unknown,may,unknown,1,unpref
1977,28,211,2,0,0,technician,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
615,26,449,2,0,0,blue-collar,single,primary,no,yes,no,unknown,may,unknown,1,unpref
-3862,27,116,4,366,0,technician,single,secondary,no,yes,no,unknown,jul,failure,1,unpref
-171,20,272,2,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
2184,5,371,1,0,0,blue-collar,married,primary,no,no,yes,cellular,feb,unknown,1,yes
918,7,308,1,0,0,management,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
3168,13,133,1,0,0,admin.,divorced,secondary,no,yes,yes,unknown,jul,unknown,1,unpref
-189,2,286,1,0,0,retired,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
965,13,1377,1,0,0,admin.,married,secondary,no,no,no,cellular,jul,unknown,1,yes
608,9,476,3,0,0,management,single,tertiary,no,yes,no,unknown,may,unknown,1,unpref
792,16,163,1,206,24,blue-collar,married,primary,no,yes,no,cellular,may,other,unpriv,unpref
3560,17,361,2,0,0,management,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-1455,26,98,2,0,0,blue-collar,married,tertiary,no,yes,yes,cellular,jul,unknown,1,unpref
1882,13,26,1,0,0,services,single,secondary,no,yes,yes,cellular,may,unknown,1,unpref
1102,6,265,1,322,6,blue-collar,single,secondary,no,yes,no,cellular,may,other,1,unpref
-444,17,193,1,0,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
385,22,224,1,0,0,technician,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
1453,18,349,4,246,1,management,single,tertiary,no,yes,no,telephone,may,other,1,unpref
871,17,395,1,0,0,technician,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
492,3,5,1,0,0,self-employed,single,tertiary,no,no,no,unknown,jun,unknown,1,unpref
-274,17,220,1,0,0,services,married,secondary,no,no,yes,telephone,jul,unknown,1,unpref
2116,2,44,5,0,0,technician,single,secondary,no,no,no,unknown,jun,unknown,1,unpref
-929,6,308,2,1,0,technician,married,secondary,no,no,no,cellular,oct,unknown,1,yes
667,27,244,2,0,0,management,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
2732,17,198,11,0,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
-1010,5,720,1,0,0,services,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
350,18,489,1,0,0,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
-2362,30,196,3,0,0,management,divorced,tertiary,no,yes,no,cellular,jul,unknown,1,unpref
3241,6,98,1,274,3,blue-collar,married,primary,no,yes,no,cellular,apr,failure,1,unpref
3099,20,372,1,0,0,technician,divorced,secondary,no,no,no,cellular,aug,unknown,1,unpref
-1644,19,3,3,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
4317,10,260,1,0,0,blue-collar,married,secondary,no,no,no,unknown,may,unknown,1,unpref
2978,19,548,1,0,0,technician,divorced,tertiary,no,yes,no,telephone,nov,unknown,1,yes
-623,10,64,2,0,0,self-employed,married,tertiary,yes,no,yes,telephone,nov,unknown,1,unpref
1576,11,626,1,0,0,management,married,tertiary,no,yes,yes,cellular,jul,unknown,1,unpref
763,12,176,2,29,0,management,married,tertiary,no,yes,no,cellular,may,unknown,1,unpref
-981,13,302,2,0,0,self-employed,married,secondary,yes,yes,no,cellular,jul,unknown,1,unpref
681,15,49,1,0,0,management,married,primary,no,no,no,unknown,jun,unknown,1,unpref
1942,10,47,2,0,0,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
-349,16,200,2,0,0,management,married,secondary,no,no,no,cellular,nov,unknown,1,unpref
4299,27,422,2,0,0,admin.,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
-1853,5,97,1,237,0,housemaid,married,secondary,no,yes,no,cellular,apr,failure,1,unpref
333,14,197,1,298,2,blue-collar,married,secondary,no,yes,no,cellular,may,failure,1,unpref
534,4,148,7,0,0,technician,divorced,secondary,no,no,no,unknown,jun,unknown,1,unpref
10974,14,294,1,0,0,unemployed,single,tertiary,no,no,no,cellular,jan,unknown,unpriv,yes
-599,16,206,1,0,0,management,single,tertiary,no,no,no,cellular,mar,unknown,1,unpref
4010,6,177,1,316,2,management,married,tertiary,no,yes,no,cellular,jul,other,1,yes
3256,17,131,2,0,0,housemaid,single,secondary,no,no,no,telephone,nov,unknown,1,unpref
2707,7,440,11,0,0,technician,married,tertiary,no,yes,yes,unknown,jun,unknown,1,unpref
-1622,23,381,3,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
9008,26,631,2,6,0,technician,single,tertiary,no,no,no,cellular,apr,unknown,1,yes
-3252,9,275,1,132,2,technician,married,secondary,no,yes,yes,cellular,feb,failure,1,unpref
341,12,190,5,0,0,admin.,single,secondary,no,yes,no,unknown,jun,unknown,1,unpref
-4715,4,0,2,67,0,unemployed,single,tertiary,no,no,no,cellular,dec,other,1,unpref
697,12,290,2,0,0,blue-collar,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
1894,9,435,2,0,0,technician,single,secondary,no,yes,no,cellular,aug,unknown,1,unpref
3303,26,201,1,122,0,retired,divorced,secondary,no,no,no,cellular,jan,failure,unpriv,unpref
7739,29,300,1,0,0,technician,married,secondary,no,no,no,telephone,oct,unknown,1,unpref
-226,16,89,2,0,0,management,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
43675,5,283,1,0,0,retired,single,secondary,no,no,no,unknown,mar,unknown,1,unpref
3962,25,58,1,1,0,management,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
-47,25,87,4,0,0,blue-collar,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
1081,11,331,1,0,0,admin.,married,tertiary,no,yes,no,cellular,may,unknown,1,unpref
354,29,458,7,0,0,management,single,secondary,no,no,no,cellular,aug,unknown,1,yes
4257,17,236,28,5,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
3580,7,260,1,0,0,management,married,tertiary,no,yes,no,unknown,jun,unknown,1,unpref
99,13,247,1,0,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
2275,26,299,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
1755,19,235,1,0,0,admin.,single,secondary,no,yes,yes,unknown,may,unknown,1,unpref
-3002,30,60,3,0,0,blue-collar,single,primary,no,no,no,cellular,aug,unknown,1,unpref
800,7,151,2,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
-746,2,163,5,0,0,management,married,tertiary,no,yes,no,unknown,jun,unknown,1,unpref
-332,21,499,2,16,0,blue-collar,married,secondary,no,no,no,cellular,jan,unknown,1,unpref
1651,9,221,1,0,0,admin.,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
219,14,166,1,0,0,technician,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
-990,6,115,1,0,0,technician,single,tertiary,no,yes,no,cellular,may,unknown,unpriv,unpref
3430,16,322,5,0,0,management,married,tertiary,no,no,no,cellular,nov,unknown,1,unpref
2447,12,99,1,0,0,technician,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
1811,6,24,1,0,0,services,married,primary,no,yes,yes,cellular,may,unknown,1,unpref
-4806,27,53,1,263,0,admin.,single,secondary,no,no,no,telephone,may,failure,1,yes
457,22,90,4,0,0,admin.,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
4162,26,43,2,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
297,9,514,4,0,0,management,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
-507,2,546,1,0,0,technician,married,secondary,no,no,yes,cellular,jul,unknown,1,unpref
2259,16,1111,5,0,0,technician,single,secondary,no,no,no,cellular,aug,unknown,1,yes
3205,15,2,1,1,0,management,single,secondary,no,no,no,cellular,aug,unknown,1,unpref
-740,6,224,1,0,0,admin.,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
-644,21,61,2,0,0,admin.,married,secondary,no,no,yes,unknown,jul,unknown,1,unpref
339,7,578,5,0,0,management,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
-277,20,1130,2,0,0,management,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
3584,16,461,3,0,0,services,married,primary,no,no,no,cellular,aug,unknown,unpriv,unpref
-2451,29,10,1,310,0,blue-collar,single,primary,no,no,yes,cellular,jan,other,1,unpref
3208,2,139,2,0,0,retired,married,primary,no,yes,no,unknown,jun,unknown,1,unpref
113,8,134,6,0,0,blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
2683,2,112,1,0,0,blue-collar,single,secondary,no,no,no,cellular,jun,unknown,1,unpref
1827,25,865,2,0,0,management,single,tertiary,no,yes,no,cellular,aug,unknown,1,yes
-4816,2,106,1,2,0,unemployed,divorced,primary,yes,no,no,cellular,feb,unknown,1,unpref
1166,26,301,7,1,0,technician,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
729,28,226,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
13323,26,18,1,98,0,self-employed,married,tertiary,no,no,no,cellular,nov,success,1,yes
-19,25,217,1,1,0,technician,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
-160,7,14,6,1,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
-183,28,32,1,0,0,management,married,tertiary,no,yes,yes,unknown,may,unknown,1,unpref
1482,18,204,1,0,0,management,married,unknown,no,no,yes,unknown,may,success,1,unpref
2945,18,123,1,0,0,entrepreneur,married,tertiary,no,no,no,cellular,nov,unknown,1,unpref
-2094,10,149,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
2555,11,142,1,3,0,services,married,secondary,no,yes,yes,cellular,jul,unknown,1,unpref
-401,10,568,1,0,0,technician,single,secondary,no,no,yes,cellular,jul,unknown,1,yes
-1773,12,4,1,0,0,management,married,tertiary,no,yes,no,cellular,aug,unknown,1,unpref
510,16,289,1,0,0,technician,married,secondary,no,no,yes,cellular,jul,unknown,1,unpref
954,27,153,17,0,0,admin.,married,secondary,no,yes,yes,unknown,jun,unknown,1,unpref
225,14,309,1,0,0,management,married,tertiary,no,yes,no,cellular,aug,unknown,1,unpref
373,11,78,2,0,0,management,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
1334,28,232,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,apr,unknown,1,unpref
660,9,50,27,0,0,self-employed,married,unknown,no,no,no,cellular,aug,unknown,1,unpref
3095,14,86,1,119,4,blue-collar,married,primary,no,yes,yes,cellular,nov,failure,1,unpref
730,10,178,1,0,0,management,divorced,tertiary,no,yes,yes,cellular,apr,unknown,1,unpref
2623,23,392,1,101,1,blue-collar,single,secondary,no,no,no,cellular,apr,success,1,unpref
-3287,2,116,1,0,0,technician,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
4196,28,287,1,135,2,management,married,primary,no,yes,no,cellular,apr,failure,1,yes
5101,30,197,2,91,0,management,divorced,secondary,no,no,no,cellular,jul,unknown,1,yes
1370,8,78,1,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-1329,6,124,1,247,3,unemployed,married,secondary,no,yes,no,cellular,may,other,1,yes
7435,11,512,1,102,1,technician,married,secondary,no,no,no,cellular,feb,failure,1,unpref
267,14,249,2,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
14161,20,1280,2,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-1547,4,78,3,0,0,management,single,tertiary,no,no,no,unknown,jun,unknown,1,unpref
1145,15,37,1,178,3,technician,married,secondary,no,yes,yes,cellular,nov,failure,1,unpref
415,9,67,1,299,2,technician,married,tertiary,no,yes,no,cellular,may,failure,1,unpref
-3659,29,289,4,0,0,management,married,primary,no,no,yes,unknown,may,unknown,1,unpref
3055,18,458,1,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
804,19,272,10,0,0,blue-collar,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
1119,1,51,2,0,0,blue-collar,married,unknown,no,no,no,cellular,feb,unknown,1,unpref
1954,25,331,4,0,0,blue-collar,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
1178,19,316,3,2,0,management,divorced,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-2615,30,164,8,5,0,blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,1,unpref
110,30,232,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
3021,8,256,1,0,0,management,married,tertiary,no,no,no,telephone,jul,unknown,1,unpref
2294,11,182,1,0,0,management,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
-2376,5,85,5,50,0,blue-collar,married,primary,no,yes,no,cellular,feb,unknown,1,unpref
-937,21,141,1,0,0,services,married,secondary,no,yes,yes,cellular,nov,unknown,1,unpref
2145,24,203,1,0,0,blue-collar,married,primary,no,yes,yes,cellular,jan,unknown,1,unpref
2972,28,335,3,0,0,management,single,tertiary,no,yes,yes,cellular,jul,unknown,1,unpref
-1178,19,230,1,0,0,admin.,married,secondary,no,yes,no,telephone,jul,unknown,1,unpref
4120,19,33,3,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-458,16,224,2,0,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
2557,21,247,1,0,0,technician,single,tertiary,no,no,no,telephone,jan,unknown,1,unpref
1242,3,79,3,0,0,blue-collar,married,primary,yes,no,no,unknown,jun,unknown,1,unpref
3048,25,333,1,178,0,services,married,secondary,no,no,no,cellular,apr,failure,1,unpref
2799,16,56,2,0,0,management,married,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
2098,11,241,3,0,0,management,divorced,tertiary,no,no,no,unknown,may,unknown,1,unpref
1088,22,153,1,0,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
1800,28,44,1,0,0,management,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
-676,30,207,10,0,0,management,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
1891,16,64,2,183,10,technician,married,secondary,no,yes,no,cellular,may,other,1,unpref
1197,11,525,1,0,0,technician,married,secondary,no,yes,no,cellular,apr,unknown,1,unpref
3442,15,423,3,0,0,services,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
4194,26,131,1,1,0,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
3044,11,152,1,1,0,technician,divorced,secondary,no,yes,no,unknown,may,unknown,1,unpref
3251,11,124,1,0,0,services,married,secondary,no,yes,no,cellular,feb,unknown,1,unpref
-215,8,119,1,0,0,technician,single,tertiary,no,yes,no,cellular,may,unknown,1,unpref
1622,21,485,1,12,0,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
-1115,17,140,1,0,0,technician,single,secondary,no,no,yes,cellular,feb,unknown,1,yes
1618,15,11,2,0,0,entrepreneur,married,tertiary,no,no,no,unknown,jun,unknown,1,unpref
-1072,22,150,2,1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
2714,26,693,3,0,0,management,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
464,18,13,1,0,0,entrepreneur,married,primary,no,no,yes,cellular,nov,unknown,1,unpref
339,14,40,9,0,0,unemployed,married,unknown,no,yes,yes,cellular,aug,unknown,1,unpref
1760,9,218,1,0,0,management,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
591,15,16,1,0,0,blue-collar,married,primary,no,no,no,unknown,may,unknown,1,unpref
4451,24,88,1,0,0,management,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
-1662,20,51,1,0,0,blue-collar,married,secondary,no,yes,yes,cellular,sep,unknown,1,unpref
1020,11,374,2,0,0,blue-collar,married,primary,no,yes,no,cellular,may,unknown,1,unpref
-452,5,249,1,309,4,blue-collar,divorced,primary,no,yes,no,cellular,may,failure,1,unpref
-168,16,323,3,0,0,admin.,single,secondary,no,yes,no,cellular,nov,unknown,1,unpref
10194,21,334,3,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
4647,23,184,2,401,1,unemployed,single,secondary,no,yes,no,cellular,dec,other,1,unpref
1560,21,2357,1,0,0,management,married,tertiary,no,yes,no,cellular,nov,unknown,1,yes
-1746,8,180,3,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
3515,18,411,9,0,0,management,married,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
1489,8,0,1,5,0,student,divorced,primary,no,yes,no,unknown,sep,unknown,unpriv,yes
1361,1,362,2,0,0,management,married,tertiary,no,no,no,cellular,feb,unknown,1,unpref
2733,28,336,3,1,0,management,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
592,14,115,2,446,1,management,single,tertiary,no,yes,no,cellular,jul,failure,1,unpref
829,21,246,2,92,4,blue-collar,married,secondary,no,yes,yes,cellular,aug,failure,1,unpref
-3118,27,313,3,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
2563,10,91,4,208,2,self-employed,married,secondary,no,no,no,cellular,may,other,1,unpref
1189,16,116,4,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
1225,18,401,1,168,1,technician,married,secondary,no,no,no,telephone,jul,failure,1,unpref
-3525,14,199,1,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-410,11,8,1,0,0,student,single,tertiary,no,no,no,unknown,jun,unknown,1,unpref
986,16,510,1,0,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
2469,27,118,1,0,0,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
1894,12,1762,2,0,0,admin.,married,primary,no,yes,no,telephone,sep,unknown,1,unpref
367,13,513,4,0,0,self-employed,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
-1286,15,253,6,0,0,self-employed,married,secondary,no,yes,yes,cellular,jul,unknown,1,unpref
-6,16,211,1,0,0,management,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
-997,7,747,1,0,0,student,single,tertiary,no,no,no,cellular,apr,unknown,1,unpref
3446,11,1562,1,0,0,admin.,married,unknown,no,no,no,unknown,jun,unknown,1,yes
65,19,84,1,161,1,admin.,single,secondary,no,no,no,cellular,nov,success,1,unpref
