balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
655,21,576,14,0,0,technician,single,secondary,no,no,no,cellular,jul,unknown,1,unpref
1010,3,18,1,0,0,admin.,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
2648,22,76,25,0,0,self-employed,divorced,unknown,no,no,no,telephone,nov,unknown,1,unpref
2508,29,6,2,0,0,blue-collar,married,unknown,no,no,no,cellular,aug,unknown,1,unpref
1745,13,211,1,0,0,blue-collar,married,unknown,no,yes,no,unknown,jun,unknown,1,unpref
-569,29,248,1,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-2644,7,350,1,2,0,technician,single,secondary,no,yes,yes,cellular,jul,unknown,1,yes
1939,14,275,3,0,0,blue-collar,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
1415,23,154,1,0,0,admin.,married,primary,no,yes,no,unknown,may,unknown,1,unpref
-2360,13,15,2,0,0,retired,single,secondary,no,yes,no,unknown,jun,unknown,unpriv,unpref
3349,16,185,1,0,0,retired,married,tertiary,no,no,no,cellular,apr,unknown,1,unpref
2935,15,65,3,0,0,blue-collar,divorced,primary,no,no,no,unknown,jun,unknown,1,unpref
9319,4,38,1,111,0,management,single,tertiary,no,no,no,cellular,aug,failure,1,unpref
1449,20,102,4,0,0,blue-collar,married,primary,no,no,no,cellular,aug,unknown,1,unpref
-347,16,268,2,0,0,blue-collar,married,secondary,no,no,no,unknown,may,unknown,1,unpref
-275,11,138,4,0,0,technician,divorced,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-1996,9,155,2,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
-1747,21,1172,1,0,0,technician,divorced,secondary,yes,yes,no,cellular,jul,unknown,1,yes
1466,9,389,5,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
1955,25,40,2,178,2,management,single,tertiary,no,yes,no,cellular,feb,other,1,yes
-471,20,124,1,0,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
1808,26,110,1,119,1,admin.,single,primary,no,yes,yes,cellular,apr,failure,1,unpref
4162,3,97,2,0,0,blue-collar,married,primary,no,no,no,unknown,jun,unknown,1,unpref
-158,10,463,2,0,0,management,divorced,tertiary,no,yes,no,cellular,may,unknown,1,yes
8597,5,309,1,117,1,blue-collar,married,unknown,no,yes,yes,cellular,jun,other,1,unpref
-1846,30,126,11,0,0,self-employed,married,tertiary,no,yes,no,cellular,jul,unknown,1,unpref
2355,2,71,1,162,1,blue-collar,married,secondary,no,yes,no,cellular,nov,other,1,unpref
756,12,446,1,0,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
2830,15,390,1,0,0,services,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
-852,26,195,3,0,0,services,married,tertiary,no,yes,no,cellular,jul,unknown,1,unpref
1636,21,84,2,1,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
4987,8,230,1,0,0,retired,married,primary,no,no,no,unknown,aug,unknown,1,unpref
