balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
-720,30,123,1,0,0,management,single,tertiary,no,no,no,cellular,oct,unknown,1,unpref
-5,29,189,1,0,0,admin.,single,secondary,no,yes,no,cellular,jan,unknown,unpriv,unpref
4155,8,163,1,0,0,admin.,divorced,secondary,no,yes,no,unknown,jun,unknown,1,unpref
-595,10,495,2,280,0,retired,divorced,secondary,no,yes,no,cellular,may,failure,1,unpref
1384,29,271,1,0,0,retired,married,primary,no,no,no,unknown,may,unknown,1,unpref
515,22,184,1,0,0,management,married,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
5901,15,522,1,270,1,technician,single,secondary,no,no,no,cellular,apr,failure,1,unpref
-750,18,121,1,0,0,services,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
2872,20,162,17,0,0,admin.,married,secondary,no,no,yes,cellular,aug,unknown,1,unpref
-2230,5,176,1,4,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
-3809,23,235,1,0,0,management,single,tertiary,no,no,no,cellular,aug,unknown,1,yes
1077,23,535,5,0,0,technician,married,primary,no,yes,yes,unknown,may,unknown,1,unpref
1941,9,143,1,18,0,blue-collar,married,primary,no,yes,no,cellular,may,unknown,1,unpref
480,7,277,1,0,0,admin.,married,secondary,no,no,no,telephone,may,unknown,1,unpref
4703,17,602,1,135,1,technician,married,secondary,no,no,no,cellular,nov,failure,1,unpref
921,29,50,1,0,0,technician,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
-363,13,329,1,0,0,technician,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
763,23,136,1,0,0,self-employed,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
738,24,305,1,279,1,services,single,secondary,no,yes,no,cellular,apr,failure,1,unpref
898,12,92,1,0,0,management,single,secondary,no,yes,yes,cellular,may,unknown,1,unpref
1601,14,271,2,0,0,services,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
-1506,2,28,1,0,0,technician,married,tertiary,no,no,no,unknown,jul,unknown,1,unpref
3273,14,374,3,275,0,technician,single,secondary,no,yes,no,cellular,may,other,1,unpref
-75,27,223,3,0,0,blue-collar,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
