balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
1424,17,250,2,2,0,technician,divorced,tertiary,no,yes,no,unknown,may,unknown,1,unpref
388,17,0,6,0,0,housemaid,married,primary,no,no,no,cellular,nov,unknown,1,unpref
206,15,300,1,1,0,admin.,married,secondary,no,yes,no,cellular,apr,unknown,1,unpref
2748,19,163,1,0,0,admin.,married,secondary,no,yes,no,cellular,nov,unknown,1,unpref
256,5,126,4,0,0,blue-collar,married,primary,no,no,no,unknown,jun,unknown,1,unpref
2403,22,309,1,0,0,blue-collar,single,secondary,no,yes,no,cellular,apr,unknown,1,unpref
172,28,246,1,0,0,management,single,tertiary,no,yes,no,cellular,jul,unknown,1,unpref
88,22,160,1,0,0,management,single,tertiary,no,no,no,cellular,may,unknown,1,unpref
-261,12,439,1,0,0,services,divorced,secondary,no,no,no,cellular,nov,unknown,1,unpref
215,5,532,1,0,0,services,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-241,15,253,17,0,0,retired,married,primary,no,no,no,cellular,aug,unknown,unpriv,unpref
12777,8,165,1,0,0,management,single,tertiary,no,yes,no,unknown,jun,unknown,1,unpref
-48,5,62,1,0,0,blue-collar,single,primary,no,yes,yes,unknown,jun,unknown,1,unpref
-490,16,182,5,0,0,technician,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
-695,30,383,1,0,0,retired,married,primary,no,yes,no,unknown,may,unknown,1,unpref
5216,4,1070,11,0,0,admin.,married,secondary,no,yes,no,cellular,jul,unknown,1,yes
-122,7,387,2,0,0,blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
3232,1,401,1,0,0,admin.,single,secondary,no,yes,no,unknown,jun,unknown,1,unpref
1099,14,83,1,0,0,self-employed,single,tertiary,no,yes,no,unknown,may,unknown,1,unpref
321,13,268,1,0,0,retired,married,secondary,no,no,no,cellular,nov,unknown,unpriv,unpref
2632,28,177,9,0,0,services,divorced,secondary,no,no,no,cellular,aug,unknown,1,unpref
-409,23,52,10,0,0,blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,1,unpref
2813,15,239,1,0,0,technician,single,secondary,no,no,yes,cellular,nov,unknown,1,unpref
470,23,460,2,0,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
2096,15,96,1,0,0,blue-collar,married,primary,no,no,no,unknown,jun,unknown,1,unpref
-1871,13,288,1,0,0,admin.,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
-858,4,247,1,0,0,technician,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
2980,15,121,3,0,0,management,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
1235,8,173,2,0,0,admin.,single,primary,no,yes,no,unknown,may,unknown,1,unpref
-386,29,308,30,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
12136,6,131,1,232,1,technician,married,secondary,no,no,no,cellular,dec,success,1,yes
2760,26,223,2,0,0,blue-collar,married,secondary,no,no,no,unknown,may,unknown,1,unpref
