age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
53,blue-collar,married,primary,no,780,yes,no,cellular,15,jul,320,1,0,0,unknown,no
29,technician,single,tertiary,no,-61,no,no,cellular,21,may,275,1,0,0,unknown,no
41,technician,married,tertiary,no,1059,no,no,cellular,19,jul,314,4,0,0,unknown,no
31,management,single,tertiary,no,3420,no,no,cellular,21,may,23,1,42,4,failure,no
38,management,married,tertiary,no,-26,no,no,unknown,26,may,273,1,0,0,unknown,no
23,entrepreneur,married,secondary,no,-38,no,no,cellular,22,nov,1,11,78,0,success,no
36,management,divorced,tertiary,no,1266,yes,no,cellular,16,may,421,1,0,0,unknown,yes
31,management,divorced,tertiary,no,1983,yes,yes,cellular,15,apr,84,2,218,0,failure,no
34,technician,married,tertiary,no,-440,no,no,cellular,20,may,208,1,0,0,unknown,no
55,blue-collar,married,tertiary,no,2961,no,no,cellular,12,aug,0,7,0,0,unknown,no
37,technician,single,secondary,no,-320,yes,no,cellular,16,aug,288,1,0,0,unknown,no
28,blue-collar,divorced,secondary,no,-564,yes,no,unknown,1,feb,467,1,0,0,unknown,yes
34,housemaid,married,unknown,no,-1206,no,no,cellular,14,jul,223,2,0,0,unknown,no
25,blue-collar,single,secondary,no,6335,yes,no,cellular,5,may,301,1,0,0,unknown,no
52,blue-collar,married,primary,no,-170,yes,yes,cellular,20,jul,136,1,0,0,unknown,no
41,management,divorced,secondary,no,90,no,no,cellular,16,aug,423,1,0,0,unknown,no
30,blue-collar,single,primary,no,1241,yes,no,cellular,26,may,319,1,0,0,unknown,no
53,housemaid,divorced,unknown,no,2270,no,no,cellular,20,jul,316,2,0,0,unknown,no
42,technician,married,secondary,no,-57,no,yes,cellular,16,jul,20,1,0,0,unknown,no
42,admin.,single,tertiary,no,1945,no,no,cellular,21,nov,0,1,0,0,unknown,no
39,technician,married,secondary,no,-771,yes,no,unknown,29,may,156,2,0,0,unknown,no
48,technician,married,tertiary,no,1943,yes,no,cellular,26,jul,2,1,0,0,unknown,no
30,technician,married,secondary,no,-6742,yes,no,cellular,12,may,0,8,332,0,failure,no
59,management,married,secondary,no,208,yes,yes,cellular,16,aug,202,4,0,0,unknown,no
41,management,single,tertiary,no,134,no,no,cellular,20,aug,3,2,0,0,unknown,no
35,blue-collar,married,primary,no,-258,yes,no,unknown,15,may,303,2,0,0,unknown,no
44,management,married,tertiary,yes,15,no,yes,cellular,20,jul,345,1,0,0,unknown,no
35,technician,single,tertiary,no,3151,no,no,cellular,20,jul,12,1,0,0,unknown,no
38,management,married,tertiary,no,-3,no,no,unknown,15,may,275,1,0,0,unknown,no
25,technician,single,tertiary,no,1261,yes,no,cellular,9,may,2,6,322,0,failure,no
35,management,married,tertiary,no,3825,yes,no,cellular,20,nov,497,2,174,0,failure,no
44,technician,married,tertiary,no,1433,no,no,cellular,27,aug,97,8,0,0,unknown,no
24,management,single,tertiary,no,2458,yes,yes,cellular,17,may,91,2,257,6,failure,no
34,blue-collar,married,secondary,no,-8,yes,no,unknown,13,may,502,2,0,0,unknown,no
36,management,married,tertiary,no,4569,yes,no,cellular,12,may,47,2,185,6,other,no
43,management,single,tertiary,yes,-249,no,no,cellular,25,aug,6,10,0,0,unknown,no
37,blue-collar,married,primary,no,85,no,no,cellular,8,may,282,3,0,0,unknown,no
43,admin.,married,secondary,no,1924,yes,yes,cellular,21,nov,56,1,0,0,unknown,no
43,management,married,secondary,no,-212,yes,no,unknown,27,may,122,3,0,0,unknown,no
49,blue-collar,married,secondary,no,-379,yes,no,unknown,4,jun,360,1,0,0,unknown,no
34,blue-collar,divorced,secondary,no,603,yes,no,cellular,8,feb,236,3,219,2,other,no
39,blue-collar,married,primary,no,242,yes,no,unknown,29,may,441,2,0,0,unknown,no
26,technician,married,tertiary,no,318,yes,no,cellular,14,may,226,1,0,0,unknown,no
36,technician,married,secondary,no,-328,no,yes,unknown,6,jun,185,1,1,0,unknown,no
49,technician,married,secondary,no,2294,no,no,telephone,21,jul,2,14,0,0,unknown,no
36,management,married,secondary,no,2070,no,no,cellular,21,nov,269,2,224,1,failure,no
26,management,divorced,tertiary,no,7289,yes,no,cellular,14,may,4,1,0,0,unknown,no
38,management,married,tertiary,no,2951,yes,no,cellular,20,nov,331,3,0,0,unknown,no
38,management,married,tertiary,no,-148,no,no,unknown,8,jun,189,1,0,0,unknown,no
48,management,married,tertiary,no,2186,no,no,telephone,3,may,823,1,0,0,unknown,yes
49,management,married,primary,no,29,no,no,cellular,15,jul,71,1,0,0,unknown,no
46,management,married,secondary,no,-99,no,yes,cellular,14,jul,87,1,0,0,unknown,no
35,management,single,unknown,no,654,yes,no,unknown,11,may,281,3,0,0,unknown,no
36,self-employed,single,tertiary,no,1069,no,no,cellular,20,nov,268,1,10,0,unknown,no
24,student,single,secondary,no,-1608,no,no,cellular,5,jun,59,2,186,3,success,no
53,blue-collar,married,secondary,no,807,no,yes,cellular,14,aug,343,4,0,0,unknown,no
26,blue-collar,married,tertiary,no,1117,yes,no,unknown,25,may,729,1,0,0,unknown,no
46,management,married,tertiary,no,1159,no,no,unknown,9,may,528,2,0,0,unknown,yes
48,technician,married,secondary,no,652,no,no,cellular,20,aug,8,11,0,0,unknown,no
38,blue-collar,married,primary,no,2701,yes,no,unknown,10,may,526,1,1,0,unknown,no
22,blue-collar,married,secondary,no,10247,yes,no,cellular,7,may,59,1,4,0,unknown,no
30,blue-collar,single,tertiary,no,1030,yes,yes,cellular,5,jun,178,1,0,0,unknown,no
44,management,single,secondary,no,719,no,yes,cellular,14,aug,208,2,0,0,unknown,no
48,technician,married,secondary,no,434,yes,no,unknown,9,jun,512,3,0,0,unknown,no
50,blue-collar,married,secondary,no,916,no,no,unknown,22,jun,461,2,0,0,unknown,no
25,blue-collar,married,secondary,no,1296,yes,yes,unknown,12,may,477,2,1,0,unknown,no
47,services,married,secondary,no,757,yes,no,cellular,14,may,222,4,3,0,unknown,no
32,management,single,tertiary,no,1006,no,yes,cellular,10,jul,427,1,0,0,unknown,no
46,admin.,married,secondary,no,2619,yes,no,cellular,10,apr,29,1,1,0,unknown,no
43,management,divorced,secondary,no,605,no,no,unknown,7,jun,178,1,0,0,unknown,no
52,blue-collar,married,tertiary,no,873,no,no,cellular,9,aug,0,4,0,0,unknown,no
43,blue-collar,married,secondary,no,345,yes,no,unknown,7,may,5,1,0,0,unknown,no
51,management,married,secondary,no,-192,yes,no,unknown,6,jun,261,1,0,0,unknown,no
35,management,single,tertiary,no,1913,no,no,cellular,9,may,265,2,14,2,failure,no
46,management,single,secondary,no,-403,no,yes,cellular,9,jul,191,1,1,0,unknown,no
40,management,divorced,tertiary,no,-917,yes,yes,cellular,7,jul,340,1,0,0,unknown,no
54,management,married,tertiary,no,-954,no,no,cellular,10,aug,134,3,0,0,unknown,yes
32,blue-collar,married,primary,no,2041,yes,no,unknown,16,may,354,1,0,0,unknown,no
39,management,married,tertiary,no,698,no,yes,unknown,24,jun,144,1,1,0,unknown,no
50,admin.,married,tertiary,no,-434,yes,yes,unknown,5,jun,297,1,0,0,unknown,no
30,blue-collar,single,primary,no,1517,yes,no,unknown,20,may,622,1,1,0,unknown,no
44,student,married,secondary,no,199,no,no,unknown,21,jun,29,1,0,0,unknown,no
29,blue-collar,married,secondary,no,4568,yes,no,cellular,8,may,0,3,69,0,unknown,no
40,blue-collar,divorced,secondary,no,1445,yes,no,unknown,27,may,363,1,0,0,unknown,no
48,management,single,secondary,no,-276,no,no,cellular,11,aug,52,1,5,0,unknown,no
31,management,married,tertiary,no,5,yes,no,cellular,19,may,352,1,0,0,unknown,no
43,management,divorced,secondary,no,-289,yes,no,unknown,17,may,411,2,0,0,unknown,yes
53,management,married,secondary,no,-612,no,no,cellular,9,aug,264,4,0,0,unknown,no
45,technician,married,secondary,no,800,yes,no,cellular,22,nov,317,1,14,0,unknown,no
37,blue-collar,divorced,primary,no,-324,yes,yes,unknown,25,jun,267,2,0,0,unknown,no
37,blue-collar,married,secondary,no,2915,yes,yes,cellular,8,may,192,1,12,0,unknown,no
38,technician,married,secondary,no,55,no,no,cellular,24,jul,222,1,0,0,unknown,no
46,blue-collar,married,secondary,no,333,no,no,unknown,2,jun,32,1,0,0,unknown,no
50,technician,married,tertiary,no,-907,yes,no,unknown,3,jun,142,1,0,0,unknown,no
35,blue-collar,married,secondary,no,91,yes,no,cellular,15,nov,589,1,0,0,unknown,no
38,technician,married,secondary,no,6421,no,no,cellular,12,aug,1,2,110,4,failure,no
41,housemaid,married,secondary,no,2887,no,no,unknown,6,may,2,12,0,0,unknown,no
36,blue-collar,single,secondary,no,2176,yes,no,cellular,21,nov,0,1,0,0,unknown,no
47,blue-collar,married,secondary,no,-108,no,no,unknown,3,jun,200,1,0,0,unknown,no
44,management,single,tertiary,no,932,yes,no,unknown,16,may,173,1,1,0,unknown,no
46,blue-collar,married,primary,no,-192,yes,no,cellular,18,nov,14,1,0,0,unknown,no
25,student,single,secondary,no,-2374,no,no,cellular,17,may,171,1,228,0,success,yes
42,services,single,tertiary,no,1223,no,no,unknown,2,jun,326,2,0,0,unknown,no
46,technician,married,secondary,no,-456,no,yes,cellular,17,aug,32,1,0,0,unknown,no
38,blue-collar,married,primary,no,1784,yes,no,telephone,12,may,376,1,60,1,unknown,no
37,blue-collar,married,secondary,no,-1040,yes,no,unknown,5,may,230,2,0,0,unknown,no
35,management,single,tertiary,no,-77,yes,no,cellular,10,jul,486,1,0,0,unknown,no
33,unemployed,married,secondary,no,7523,yes,no,cellular,10,may,198,1,237,0,success,yes
58,blue-collar,married,primary,no,308,no,yes,telephone,11,jul,359,1,0,0,unknown,no
33,admin.,single,secondary,no,52,yes,yes,cellular,12,jul,368,1,0,0,unknown,no
29,admin.,married,secondary,no,530,yes,no,unknown,16,may,654,1,0,0,unknown,no
26,technician,single,tertiary,no,1160,yes,no,cellular,25,apr,250,1,27,0,failure,no
51,technician,single,tertiary,no,795,no,no,cellular,23,aug,16,3,0,0,unknown,no
42,technician,married,tertiary,no,2687,no,no,cellular,10,jun,150,1,124,4,failure,yes
39,housemaid,single,primary,no,763,no,no,cellular,10,apr,18,9,0,0,unknown,no
31,blue-collar,single,secondary,no,214,yes,no,cellular,20,jul,142,1,0,0,unknown,no
35,technician,married,tertiary,no,4715,yes,no,cellular,19,nov,162,1,122,2,success,no
53,management,married,tertiary,no,1590,no,no,cellular,29,aug,0,3,0,0,unknown,no
36,management,married,secondary,no,-441,yes,yes,unknown,12,may,480,4,0,0,unknown,no
40,management,married,tertiary,no,869,no,no,telephone,24,jul,251,1,0,0,unknown,no
47,admin.,married,tertiary,no,483,no,no,cellular,12,aug,214,5,0,0,unknown,yes
33,technician,married,tertiary,no,2960,yes,yes,cellular,16,apr,407,2,208,1,failure,no
44,blue-collar,married,unknown,no,-192,yes,no,cellular,11,may,422,2,0,0,unknown,no
34,technician,married,secondary,no,786,yes,no,unknown,22,may,422,1,1,0,unknown,no
29,technician,married,secondary,no,-270,no,no,cellular,26,may,327,1,0,0,unknown,no
22,admin.,single,secondary,no,427,no,yes,cellular,23,jul,719,1,0,0,unknown,yes
35,technician,married,secondary,no,2341,no,no,cellular,22,may,142,4,229,5,failure,no
34,technician,married,secondary,no,-4463,no,no,cellular,5,dec,367,3,327,0,other,yes
35,technician,single,secondary,no,628,no,no,cellular,14,jul,376,1,0,0,unknown,yes
30,blue-collar,married,secondary,no,-637,yes,no,unknown,5,jun,244,2,0,0,unknown,no
58,housemaid,divorced,secondary,no,789,no,no,cellular,13,aug,0,6,0,0,unknown,no
31,admin.,single,secondary,no,-297,yes,yes,unknown,2,jun,488,1,0,0,unknown,yes
33,blue-collar,married,secondary,no,538,no,yes,unknown,19,apr,274,1,0,0,unknown,no
37,blue-collar,divorced,secondary,no,165,yes,no,unknown,9,may,299,1,0,0,unknown,no
35,technician,single,secondary,no,1141,yes,no,cellular,21,nov,242,3,174,3,failure,no
45,technician,divorced,secondary,no,-916,yes,yes,telephone,25,jun,312,1,0,0,unknown,no
40,services,married,secondary,no,543,no,no,cellular,23,nov,381,3,0,0,unknown,no
55,management,married,tertiary,no,2541,no,no,telephone,22,nov,910,3,0,0,unknown,yes
36,blue-collar,married,primary,no,480,yes,no,unknown,11,may,423,1,0,0,unknown,no
41,technician,married,secondary,no,4154,no,no,cellular,6,aug,0,1,97,0,unknown,no
26,management,married,secondary,no,1810,yes,no,cellular,9,may,379,2,2,0,unknown,no
45,technician,single,secondary,no,2869,no,no,cellular,8,aug,128,5,0,0,unknown,no
25,admin.,single,secondary,no,1022,yes,yes,unknown,23,may,533,1,0,0,unknown,no
34,blue-collar,married,secondary,no,71,yes,no,unknown,29,may,88,2,0,0,unknown,no
31,technician,married,secondary,no,-446,no,no,cellular,8,may,186,1,0,0,unknown,no
53,technician,single,tertiary,no,3314,no,no,cellular,19,aug,0,10,0,0,unknown,no
48,technician,divorced,secondary,no,3374,yes,no,cellular,20,nov,43,1,4,0,unknown,no
51,retired,married,primary,no,5367,no,no,cellular,30,apr,153,1,96,0,success,yes
51,management,single,tertiary,no,-180,no,no,unknown,6,jun,160,1,0,0,unknown,no
48,management,married,secondary,no,2844,no,no,cellular,17,nov,386,1,143,1,failure,yes
34,blue-collar,married,secondary,no,-161,yes,no,cellular,9,may,69,1,0,0,unknown,no
51,blue-collar,married,primary,no,318,yes,no,unknown,3,jun,311,1,0,0,unknown,no
38,technician,single,tertiary,no,2500,yes,no,cellular,11,may,228,3,1,0,unknown,no
28,blue-collar,single,primary,no,158,yes,no,cellular,9,may,249,2,0,0,unknown,no
50,management,married,secondary,no,-504,no,no,cellular,20,may,186,1,0,0,unknown,no
33,technician,married,tertiary,no,1537,no,yes,cellular,24,jul,286,2,0,0,unknown,no
49,retired,married,secondary,no,-269,yes,yes,unknown,19,jun,396,1,0,0,unknown,no
36,technician,divorced,secondary,no,-856,yes,no,cellular,10,may,247,1,0,0,unknown,no
42,technician,single,secondary,no,373,no,no,cellular,25,aug,220,3,0,0,unknown,no
54,technician,married,secondary,no,33,no,no,cellular,19,nov,148,1,0,0,unknown,no
50,blue-collar,single,primary,no,1320,no,yes,unknown,12,jun,410,2,0,0,unknown,no
35,blue-collar,married,secondary,no,1112,yes,no,unknown,25,may,654,1,0,0,unknown,no
32,blue-collar,married,primary,no,55,yes,no,cellular,19,apr,444,2,280,0,other,no
37,blue-collar,divorced,secondary,no,1820,yes,no,unknown,9,may,307,1,0,0,unknown,no
42,admin.,single,primary,no,951,no,no,cellular,14,jul,15,1,0,0,unknown,no
35,blue-collar,divorced,secondary,no,636,no,yes,cellular,6,jul,331,1,0,0,unknown,no
27,technician,married,secondary,no,1714,yes,no,cellular,7,may,207,1,0,0,unknown,no
43,unknown,married,unknown,no,592,no,no,telephone,19,jun,155,7,0,0,unknown,no
36,management,married,tertiary,no,168,yes,no,unknown,11,jun,29,3,1,0,unknown,no
38,technician,married,secondary,no,2448,yes,no,cellular,19,may,301,4,326,3,failure,no
26,management,single,tertiary,no,1071,yes,no,cellular,27,jul,560,1,0,0,unknown,yes
