age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid,sex
28,25 - 45,Caucasian,0,2,0,0,0,8.856414794921875,3.4385900497436523,-89.58233642578125,29.441608428955078,M,0,Female
21,Less than 25,African-American,0,4,0,0,0,15.5830078125,6.3283305168151855,28.693572998046875,23.595346450805664,F,1,Female
33,Less than 25,African-American,0,2,0,0,0,-37.44287109375,3.4491748809814453,-167.05824279785156,28.408235549926758,M,1,Male
36,Greater than 45,Hispanic,0,1,0,0,7,67.90374755859375,16.001922607421875,-7.793426513671875,73.2099380493164,F,0,Male
32,25 - 45,Caucasian,0,2,0,0,1,3.38543701171875,3.875765800476074,102.2889404296875,17.405080795288086,F,1,Female
32,25 - 45,African-American,0,8,0,0,4,-9.334014892578125,13.548351287841797,91.74978637695312,21.65414810180664,F,1,Male
21,Less than 25,African-American,0,5,0,0,1,20.9556884765625,7.543246269226074,73.52792358398438,24.383068084716797,F,1,Male
28,25 - 45,African-American,0,7,0,0,3,-5.714813232421875,11.124072074890137,92.21353149414062,24.6611270904541,F,1,Male
31,25 - 45,Caucasian,0,8,0,0,3,-2.728179931640625,15.459617614746094,69.03924560546875,22.78949737548828,F,0,Female
54,Greater than 45,African-American,0,1,0,0,1,-9.995574951171875,2.708256721496582,-77.1761474609375,33.213191986083984,M,0,Male
26,25 - 45,Hispanic,0,3,0,0,6,-22.08709716796875,4.170199394226074,136.71389770507812,21.538345336914062,F,0,Male
52,Greater than 45,African-American,0,1,0,0,1,87.59866333007812,3.627840518951416,-135.00173950195312,104.14427185058594,M,0,Male
50,Greater than 45,Caucasian,0,1,0,0,1,-28.30596923828125,3.2322492599487305,-108.89466857910156,30.442575454711914,M,0,Male
35,25 - 45,African-American,0,8,0,0,7,-24.71575927734375,14.078633308410645,139.34310913085938,29.432544708251953,F,1,Male
48,Greater than 45,African-American,0,1,0,0,1,168.812744140625,7.609433174133301,-206.37159729003906,262.2424011230469,M,0,Male
