age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid,sex
54,Greater than 45,Caucasian,0,1,0,0,0,-7.525604248046875,0.9649273157119751,254.53363037109375,21.38175392150879,M,0,Female
29,25 - 45,African-American,0,2,0,0,0,0.636322021484375,2.878350257873535,-18.533966064453125,13.657971382141113,M,0,Female
27,25 - 45,African-American,0,7,0,0,6,0.2127685546875,2.570115089416504,-67.85772705078125,11.7108793258667,M,1,Male
30,25 - 45,African-American,0,9,0,0,9,-42.738433837890625,18.537189483642578,-76.71615600585938,12.662217140197754,F,1,Male
36,25 - 45,African-American,0,1,0,0,0,-0.8740234375,0.6374094486236572,133.85531616210938,15.535944938659668,M,0,Female
29,Less than 25,African-American,0,2,0,0,0,-11.114410400390625,10.278546333312988,-46.192474365234375,10.5979642868042,F,0,Male
39,25 - 45,African-American,0,1,0,0,0,-8.054901123046875,1.3419547080993652,100.29400634765625,12.48250961303711,F,0,Male
58,Greater than 45,Caucasian,0,1,0,0,0,22.969085693359375,3.187429904937744,640.5581665039062,124.49650573730469,F,0,Male
25,25 - 45,Caucasian,0,6,0,0,0,-11.8585205078125,2.2981090545654297,-30.715240478515625,11.57717514038086,F,1,Female
19,Less than 25,African-American,0,2,0,0,0,214.923583984375,2.0556650161743164,81.08319091796875,40.299957275390625,F,1,Male
60,Greater than 45,African-American,0,8,0,0,14,-23.922210693359375,39.40044403076172,46.047271728515625,13.243036270141602,F,1,Male
21,Less than 25,Caucasian,0,5,0,0,0,-13.493988037109375,3.6840529441833496,13.928802490234375,11.825547218322754,F,1,Male
94,Less than 25,Other,8,8,12,6,35,713.2935791015625,601.9542236328125,7484.56640625,7603.99951171875,F,1,Male
28,25 - 45,Hispanic,0,4,0,0,1,1.90740966796875,2.4861016273498535,-76.27171325683594,12.903790473937988,M,1,Male
21,Less than 25,African-American,0,2,0,0,0,-6.710784912109375,1.9427006244659424,-45.17381286621094,10.9539794921875,F,1,Male
27,25 - 45,Caucasian,0,8,0,0,5,-0.2430419921875,2.3164572715759277,-6.2005615234375,11.489474296569824,F,1,Male
22,Less than 25,African-American,0,4,0,0,0,26.475921630859375,3.010776996612549,-48.91917419433594,29.607038497924805,M,1,Male
30,25 - 45,Hispanic,0,6,0,0,0,-3.872711181640625,30.672582626342773,-68.64462280273438,14.382692337036133,F,1,Male
26,25 - 45,African-American,0,8,0,0,5,-21.387847900390625,34.510948181152344,-70.28790283203125,13.816376686096191,M,1,Male
32,25 - 45,Caucasian,0,5,0,0,0,-3.897705078125,20.74558448791504,-65.23112487792969,9.501591682434082,F,0,Male
21,Less than 25,Caucasian,0,2,0,0,0,-19.310638427734375,4.077559947967529,-72.1820068359375,8.988304138183594,F,1,Male
22,Less than 25,African-American,0,2,0,0,0,16.60308837890625,2.214778423309326,-36.9844970703125,16.492721557617188,F,1,Male
26,Less than 25,Other,0,2,0,0,0,8.253509521484375,2.1417272090911865,-121.089111328125,7.622711181640625,M,1,Male
29,25 - 45,African-American,0,3,0,0,1,-9.554962158203125,1.9305882453918457,-94.81364440917969,11.404266357421875,M,0,Male
21,Less than 25,African-American,0,3,0,0,0,-9.486846923828125,8.541075706481934,-35.642242431640625,11.30727481842041,F,1,Male
27,25 - 45,Caucasian,0,5,0,0,1,-15.984100341796875,6.566425800323486,10.851654052734375,10.770873069763184,F,0,Male
42,Greater than 45,Caucasian,0,1,0,0,0,-13.53424072265625,1.639587163925171,66.92703247070312,8.988531112670898,F,0,Male
36,25 - 45,African-American,0,5,0,0,1,11.56890869140625,47.99932861328125,-20.448333740234375,12.804532051086426,F,1,Male
33,25 - 45,Hispanic,0,4,0,0,2,-4.163818359375,18.58425521850586,-80.79714965820312,11.60391616821289,F,1,Male
27,25 - 45,African-American,0,6,0,1,3,62.9820556640625,4.589404106140137,-4.13970947265625,40.613365173339844,M,1,Male
20,Less than 25,African-American,0,4,0,1,0,369.20452880859375,3.100343704223633,132.1917724609375,51.8066520690918,M,1,Male
19,Less than 25,African-American,0,2,0,0,0,-6.7987060546875,0.6985640525817871,-82.66441345214844,13.474411964416504,F,1,Male
38,Greater than 45,African-American,0,4,0,0,7,-1.42333984375,2.65669846534729,-82.97860717773438,8.711152076721191,M,1,Male
33,25 - 45,African-American,0,1,0,0,0,-11.194427490234375,1.7553369998931885,-40.078643798828125,11.967863082885742,M,0,Male
36,25 - 45,Hispanic,0,5,0,0,3,-33.7105712890625,129.8226776123047,-97.95745849609375,28.870986938476562,F,0,Male
66,Greater than 45,African-American,0,2,0,0,2,55.553192138671875,13.270198822021484,431.572509765625,313.142578125,M,0,Male
35,25 - 45,African-American,0,8,0,0,5,-48.0777587890625,157.83055114746094,-103.08349609375,31.97405242919922,M,0,Male
65,Greater than 45,Hispanic,0,1,0,0,0,105.12408447265625,2.9555349349975586,990.384521484375,773.87890625,M,0,Male
29,25 - 45,Caucasian,0,8,0,0,3,2.3055419921875,2.885179281234741,15.190765380859375,12.33543586730957,F,0,Male
50,Greater than 45,Caucasian,0,1,0,0,0,0.169342041015625,2.3297016620635986,196.27886962890625,10.476723670959473,M,0,Female
26,25 - 45,Hispanic,0,2,0,0,0,-5.76953125,2.5138485431671143,-85.54609680175781,13.396455764770508,M,1,Male
