age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid,sex
32,25 - 45,Caucasian,0,1,0,0,0,14.6884765625,0.9800047874450684,64.02886962890625,44.36024856567383,M,0,Female
68,Greater than 45,Caucasian,0,7,0,0,2,100.48187255859375,12.754958152770996,99.45648193359375,24.442441940307617,F,1,Female
32,25 - 45,African-American,0,1,0,0,1,-11.0025634765625,3.1056628227233887,-171.8568878173828,17.912023544311523,F,1,Male
22,25 - 45,Caucasian,0,2,0,0,0,21.53521728515625,2.5112428665161133,-65.00949096679688,36.22946548461914,M,1,Male
30,25 - 45,African-American,0,2,0,0,2,-35.66943359375,2.9295849800109863,-156.6837158203125,21.440900802612305,F,0,Female
21,25 - 45,Caucasian,0,8,0,0,0,83.76852416992188,7.206563949584961,-42.555450439453125,39.92875671386719,M,0,Male
32,25 - 45,African-American,0,1,0,0,1,-5.103515625,2.8596606254577637,-151.987060546875,19.678274154663086,F,1,Male
30,25 - 45,African-American,0,2,0,0,1,-21.20489501953125,2.544830322265625,-159.66856384277344,22.181257247924805,F,0,Male
54,Greater than 45,Caucasian,0,7,0,0,2,54.8809814453125,19.387279510498047,86.863037109375,25.435022354125977,F,1,Female
21,Less than 25,Caucasian,0,9,0,0,1,64.4044189453125,29.730751037597656,-18.754180908203125,40.61042022705078,M,0,Male
46,Greater than 45,African-American,1,6,1,0,24,-11.032958984375,103.32711029052734,1409.7835693359375,54.82609558105469,F,1,Male
23,25 - 45,Caucasian,0,2,0,0,0,23.17999267578125,2.6869072914123535,-69.862060546875,35.45012664794922,M,1,Male
42,Greater than 45,African-American,0,5,0,0,15,-25.017852783203125,62.85465621948242,640.1283569335938,37.904842376708984,F,1,Male
23,25 - 45,Caucasian,0,2,0,0,0,21.59246826171875,2.5955798625946045,-70.99354553222656,35.269287109375,M,1,Male
33,Less than 25,African-American,0,5,0,0,4,-12.7264404296875,40.556884765625,81.70144653320312,29.01738166809082,F,0,Male
32,25 - 45,African-American,0,1,0,0,1,-3.290985107421875,2.8690593242645264,-156.80548095703125,19.524402618408203,F,1,Male
42,Greater than 45,African-American,0,5,0,0,16,-22.513336181640625,66.84688568115234,671.144775390625,38.460052490234375,F,1,Male
30,25 - 45,African-American,0,3,0,0,1,13.225921630859375,1.8772149085998535,-95.59394836425781,24.533767700195312,F,0,Male
23,25 - 45,Caucasian,0,2,0,0,0,24.004608154296875,2.647623300552368,-65.47348022460938,36.48508834838867,M,1,Male
56,Greater than 45,Hispanic,0,1,0,0,2,-9.64776611328125,6.318662166595459,-66.35293579101562,30.18037986755371,M,0,Male
21,25 - 45,Caucasian,0,6,0,0,0,70.65008544921875,4.973799705505371,-41.051605224609375,40.46153259277344,M,0,Male
21,Less than 25,Caucasian,0,9,0,0,0,101.82513427734375,12.223418235778809,-38.624725341796875,40.483516693115234,M,0,Male
24,Less than 25,African-American,0,8,0,0,2,21.656005859375,38.50655746459961,8.858612060546875,35.069637298583984,M,0,Male
22,25 - 45,Caucasian,0,2,0,0,0,21.996429443359375,2.4294755458831787,-60.4755859375,36.6788444519043,M,1,Male
23,25 - 45,Caucasian,0,2,0,0,0,20.595794677734375,2.5924887657165527,-71.64500427246094,35.024993896484375,M,1,Male
64,Greater than 45,Hispanic,0,5,0,0,5,57.203857421875,6.277041912078857,-84.77003479003906,22.226581573486328,F,1,Male
33,25 - 45,African-American,0,1,0,0,1,-17.661773681640625,2.695173978805542,-167.6416473388672,19.68280792236328,F,0,Male
48,25 - 45,Hispanic,0,1,0,0,2,-10.291900634765625,3.062317371368408,-123.48867797851562,22.47676658630371,F,0,Male
29,25 - 45,African-American,0,2,0,0,1,-32.116668701171875,2.478769540786743,-155.03878784179688,21.55013084411621,F,0,Male
20,Less than 25,Caucasian,0,9,0,0,1,112.24749755859375,26.972305297851562,-24.036834716796875,44.215213775634766,M,0,Male
40,Greater than 45,African-American,0,4,0,0,7,-31.0093994140625,46.213172912597656,199.732177734375,27.6934871673584,F,1,Male
31,25 - 45,Other,0,1,0,0,0,-40.175994873046875,4.569258689880371,-77.69949340820312,32.30105972290039,M,0,Male
33,25 - 45,African-American,0,1,0,0,1,-17.28125,2.68491268157959,-168.9394073486328,19.306396484375,F,0,Male
37,Greater than 45,Other,0,1,0,0,1,-33.22039794921875,4.316553592681885,-72.7899169921875,32.1324577331543,M,0,Male
34,25 - 45,African-American,0,2,0,0,1,-1.787200927734375,1.799670934677124,-102.16470336914062,22.392011642456055,F,0,Male
29,25 - 45,African-American,0,2,0,0,1,-33.480377197265625,2.5356831550598145,-155.3270721435547,21.457443237304688,F,0,Male
74,Greater than 45,Hispanic,0,3,0,0,4,43.94122314453125,10.196186065673828,-65.4390869140625,27.980382919311523,M,1,Male
27,25 - 45,African-American,0,2,0,0,0,9.568572998046875,2.7219862937927246,-127.34449768066406,22.510305404663086,F,1,Male
28,Less than 25,Caucasian,0,9,0,0,1,71.89395141601562,21.045194625854492,-13.66961669921875,36.72892761230469,M,0,Male
31,25 - 45,African-American,0,2,0,0,1,-35.267333984375,2.730145215988159,-156.7025604248047,21.006702423095703,F,0,Female
41,Greater than 45,African-American,0,4,0,0,10,-32.68218994140625,50.380027770996094,271.776611328125,29.336912155151367,F,1,Male
22,Less than 25,Caucasian,0,9,0,0,1,108.47369384765625,17.17173194885254,-37.3851318359375,39.902469635009766,M,0,Male
41,Greater than 45,African-American,0,4,0,0,10,-31.543975830078125,51.25341033935547,296.5421142578125,30.16338348388672,F,1,Male
47,Greater than 45,Hispanic,0,2,0,0,1,-6.669036865234375,7.944822311401367,-26.447235107421875,28.9895076751709,M,0,Male
45,Greater than 45,African-American,0,3,0,0,7,-8.8001708984375,26.180133819580078,419.75799560546875,30.792245864868164,F,1,Female
23,25 - 45,Caucasian,0,2,0,0,0,20.829010009765625,2.638080596923828,-77.13751220703125,33.264408111572266,M,1,Male
41,Greater than 45,African-American,0,4,0,0,9,-32.319671630859375,49.52323532104492,265.80267333984375,29.28433609008789,F,1,Male
71,Greater than 45,Hispanic,0,2,0,0,3,19.62066650390625,8.707898139953613,-71.16712951660156,28.708730697631836,M,1,Male
31,25 - 45,African-American,0,1,0,0,1,-4.728271484375,2.601330518722534,-160.69287109375,19.326339721679688,F,1,Male
57,Greater than 45,Hispanic,0,1,0,0,1,-10.67840576171875,5.037074565887451,-87.48777770996094,28.84197998046875,M,0,Male
