sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Male,58,25 - 45,African-American,4,5,0,0,2,38.733642578125,64.7931137084961,75.58316040039062,268.0569152832031,F,0
Male,59,25 - 45,Hispanic,4,5,1,0,0,46.90020751953125,34.350990295410156,124.14898681640625,466.1195983886719,F,0
Male,60,25 - 45,African-American,4,5,0,0,1,56.45025634765625,50.02345275878906,131.9852294921875,289.80126953125,F,0
Male,59,25 - 45,African-American,4,5,1,0,3,47.7723388671875,25.5635929107666,103.16864013671875,448.7401428222656,F,0
Male,59,25 - 45,Caucasian,4,5,0,0,0,38.041900634765625,104.81340026855469,140.71292114257812,238.5099334716797,F,0
Female,60,25 - 45,Hispanic,4,5,0,0,1,48.608551025390625,35.79654312133789,147.61602783203125,332.3401794433594,M,0
Male,57,25 - 45,African-American,4,8,0,0,1,-31.2366943359375,20.414634704589844,16.178802490234375,332.36761474609375,F,1
Male,96,Greater than 45,African-American,4,5,12,0,3,24.24468994140625,-0.9963339567184448,-299.9677429199219,7604.0,M,0
Male,58,25 - 45,African-American,4,5,0,0,1,54.63397216796875,34.32502365112305,172.10125732421875,295.1902160644531,F,0
Male,59,25 - 45,African-American,4,5,1,0,2,43.223846435546875,29.436767578125,86.07424926757812,510.8070983886719,F,0
Male,61,25 - 45,Hispanic,4,5,0,0,1,72.97921752929688,41.97113037109375,160.23159790039062,334.55853271484375,M,0
Male,61,25 - 45,African-American,4,5,0,0,1,77.8118896484375,54.338958740234375,206.41058349609375,283.1262512207031,M,0
Male,62,25 - 45,African-American,4,5,0,0,1,83.89666748046875,125.7946548461914,79.17141723632812,243.94647216796875,M,0
Male,62,25 - 45,African-American,4,5,0,0,1,65.6527099609375,53.81227111816406,307.393798828125,354.514892578125,M,0
Male,59,25 - 45,African-American,4,5,0,0,3,55.516815185546875,43.025691986083984,134.7286376953125,291.8041076660156,F,0
Male,60,25 - 45,African-American,4,5,0,0,2,57.449310302734375,69.8397445678711,218.9759521484375,345.8658142089844,F,0
Female,60,25 - 45,African-American,4,5,0,0,2,78.49050903320312,40.39095687866211,136.89901733398438,306.61962890625,M,0
Male,58,25 - 45,African-American,4,5,0,0,34,21.367431640625,27.834796905517578,176.74984741210938,236.99591064453125,F,0
Male,61,25 - 45,African-American,4,5,0,0,3,42.90838623046875,19.14395523071289,7558.8115234375,682.8555297851562,M,0
Male,59,25 - 45,African-American,4,5,0,0,1,41.595550537109375,40.9451789855957,105.60751342773438,288.358154296875,M,0
Male,63,25 - 45,Caucasian,4,5,0,0,0,53.09759521484375,595.5932006835938,101.54159545898438,194.06312561035156,F,0
Female,58,25 - 45,Caucasian,4,5,0,0,23,61.694732666015625,36.10520935058594,285.968994140625,286.3222351074219,F,1
Male,60,25 - 45,African-American,4,5,0,0,6,66.80239868164062,94.4388198852539,211.8802490234375,271.369140625,F,0
Female,57,25 - 45,African-American,4,6,1,0,2,68.02194213867188,26.063791275024414,70.89144897460938,336.45849609375,F,0
Male,57,25 - 45,African-American,4,6,0,0,11,-30.0638427734375,23.282773971557617,-21.8695068359375,400.0684814453125,F,1
Female,59,25 - 45,African-American,4,5,0,0,4,24.638458251953125,28.888729095458984,113.17596435546875,407.4881591796875,F,0
Male,58,25 - 45,Caucasian,4,5,0,0,22,-33.2208251953125,193.53311157226562,1059.7005615234375,268.5731506347656,F,1
Male,59,25 - 45,African-American,4,5,0,0,1,61.300750732421875,26.528911590576172,381.901611328125,319.7613830566406,M,0
Female,60,25 - 45,Other,4,5,2,0,1,116.8785400390625,29.58069610595703,165.17483520507812,594.7890014648438,F,0
Female,59,25 - 45,Caucasian,4,5,1,0,0,36.143707275390625,536.63720703125,70.97128295898438,310.95526123046875,F,0
Male,57,25 - 45,Hispanic,4,5,0,0,1,-4.862762451171875,3.502476215362549,-222.24874877929688,1161.6595458984375,M,1
Female,60,25 - 45,African-American,4,5,1,0,2,48.85614013671875,36.05778503417969,128.429443359375,471.0582580566406,F,0
Male,57,25 - 45,Other,4,5,0,6,0,4.862213134765625,6.962376594543457,-201.42340087890625,400.00140380859375,M,0
Male,59,25 - 45,African-American,4,5,1,0,2,38.264984130859375,24.54267120361328,98.36505126953125,492.6315002441406,F,0
Male,60,25 - 45,Hispanic,4,5,1,0,3,83.2838134765625,29.76297378540039,100.55780029296875,492.6888427734375,F,0
Male,59,25 - 45,Other,4,5,0,6,0,38.49725341796875,210.95767211914062,439.4273681640625,249.93505859375,F,0
Male,60,25 - 45,African-American,4,5,0,0,1,81.77682495117188,63.708465576171875,206.2982177734375,279.0172424316406,M,0
Male,59,25 - 45,Caucasian,4,5,0,0,4,36.6265869140625,54.12478256225586,354.227783203125,346.318603515625,F,0
Male,59,25 - 45,African-American,4,6,0,0,1,58.936859130859375,32.00474166870117,133.50531005859375,298.7344970703125,M,0
Male,61,25 - 45,African-American,4,5,1,0,0,115.8626708984375,545.2869873046875,100.796630859375,213.1381378173828,F,0
Male,59,25 - 45,African-American,4,5,0,0,13,45.347747802734375,38.503196716308594,15.859893798828125,359.7630920410156,F,1
Male,95,Greater than 45,Caucasian,4,5,12,0,2,56.797454833984375,360.3337097167969,-150.00439453125,7439.86474609375,F,0
Male,90,Greater than 45,Caucasian,4,5,11,0,9,-1.47412109375,3.8908610343933105,3349.450927734375,7550.87744140625,M,1
Male,59,25 - 45,African-American,4,6,0,0,3,26.227447509765625,38.87125778198242,336.90399169921875,279.1387023925781,M,0
Male,63,25 - 45,Hispanic,4,5,3,0,2,43.007537841796875,0.8528614044189453,-250.11192321777344,5196.787109375,M,1
Male,71,25 - 45,Other,4,5,11,6,0,88.20794677734375,1.1637203693389893,-244.37918090820312,6740.08203125,M,0
Female,60,25 - 45,African-American,4,5,0,0,1,38.7020263671875,237.66497802734375,336.31591796875,285.9963684082031,F,0
Male,59,25 - 45,Caucasian,4,5,0,0,1,62.344146728515625,20.059873580932617,-8.559844970703125,440.5694580078125,M,0
Male,60,25 - 45,African-American,4,5,1,0,2,104.26385498046875,20.136985778808594,2617.55810546875,671.4988403320312,F,0
Male,95,Greater than 45,Caucasian,4,5,12,0,7,23.516571044921875,-0.5248520374298096,885.046142578125,7603.98193359375,M,1
Male,63,25 - 45,Other,4,5,0,0,1,99.66864013671875,103.93614196777344,7273.216796875,481.8533935546875,M,0
Female,57,25 - 45,African-American,4,6,0,0,0,76.00091552734375,20.557340621948242,109.02691650390625,317.2894287109375,F,0
Male,59,25 - 45,Hispanic,4,5,1,0,2,49.962371826171875,22.341392517089844,75.87896728515625,468.206298828125,F,0
Male,59,25 - 45,African-American,4,5,0,0,2,69.70947265625,23.69161033630371,526.4852294921875,345.97369384765625,M,0
Male,59,25 - 45,African-American,4,5,0,0,1,36.59765625,31.502403259277344,162.23733520507812,268.56158447265625,M,0
Male,62,25 - 45,African-American,4,5,0,0,2,86.27386474609375,51.01082229614258,6154.6689453125,503.21429443359375,M,0
Male,61,25 - 45,African-American,4,5,0,0,1,87.27725219726562,46.93960952758789,159.033935546875,279.91033935546875,M,0
Male,57,25 - 45,African-American,4,6,0,0,0,8.986175537109375,20.680728912353516,86.98928833007812,316.2288818359375,F,0
Male,59,25 - 45,African-American,4,5,1,0,3,26.58184814453125,30.20155143737793,83.36074829101562,357.2775573730469,F,0
Male,60,25 - 45,African-American,4,5,0,0,2,54.76031494140625,39.766151428222656,152.657958984375,315.13067626953125,F,0
Male,57,25 - 45,African-American,4,8,0,0,0,5.2655029296875,19.542566299438477,-10.81689453125,255.57395935058594,F,0
Female,60,25 - 45,African-American,4,5,0,0,7,62.819244384765625,11.788471221923828,7602.9052734375,2101.048095703125,M,0
Female,58,25 - 45,African-American,4,6,0,0,4,18.52349853515625,18.529407501220703,262.4388427734375,373.0296936035156,F,0
Male,57,25 - 45,Caucasian,4,6,0,0,4,-28.532745361328125,44.5268669128418,29.5103759765625,192.18809509277344,F,1
Male,60,25 - 45,Hispanic,4,5,2,0,1,48.36602783203125,24.05082893371582,324.8424072265625,626.054931640625,F,0
Male,59,25 - 45,Hispanic,4,5,1,0,3,68.74124145507812,26.344837188720703,58.041748046875,507.2455749511719,F,0
Male,59,25 - 45,Other,4,5,0,6,15,65.32052612304688,32.435462951660156,277.076171875,250.93556213378906,M,0
Male,59,25 - 45,African-American,4,5,0,0,1,54.797882080078125,29.01328468322754,166.22552490234375,314.4832458496094,F,0
Male,59,25 - 45,African-American,4,5,3,0,1,50.834320068359375,10.079051971435547,-127.845458984375,2320.88330078125,M,0
Female,63,25 - 45,African-American,4,5,1,0,1,4.380615234375,236.88536071777344,-33.73046875,864.190673828125,M,0
Male,57,25 - 45,African-American,4,6,0,0,22,-60.414306640625,30.439393997192383,-33.859283447265625,301.4722595214844,F,1
Female,57,25 - 45,African-American,4,9,0,0,0,-105.56307983398438,7.54055118560791,-68.90087890625,179.6437225341797,F,1
Male,57,25 - 45,African-American,4,6,0,0,1,25.909454345703125,10.59788703918457,-93.49821472167969,442.3851013183594,M,1
Male,60,25 - 45,African-American,4,5,0,0,2,41.38525390625,32.31928253173828,172.92489624023438,341.6960754394531,F,0
Male,57,25 - 45,African-American,4,9,0,0,0,-68.957275390625,8.783519744873047,-29.42901611328125,145.49391174316406,F,1
Male,59,25 - 45,Hispanic,4,5,0,0,3,90.25881958007812,26.77660369873047,176.73501586914062,360.53790283203125,M,0
Male,60,25 - 45,Hispanic,4,5,0,0,1,81.58868408203125,36.42018508911133,150.40277099609375,291.4029846191406,M,0
Male,60,25 - 45,African-American,4,5,1,0,2,64.1009521484375,26.29383659362793,294.6463623046875,633.9973754882812,F,0
Male,57,25 - 45,African-American,4,8,0,0,9,-26.487457275390625,17.318212509155273,-111.35287475585938,52.81804275512695,F,1
Male,60,25 - 45,African-American,4,5,1,0,1,93.9002685546875,149.12156677246094,126.4171142578125,317.3055114746094,F,0
Male,58,25 - 45,African-American,4,5,0,0,2,41.676788330078125,26.117218017578125,30.88751220703125,288.8859558105469,F,0
Male,60,25 - 45,African-American,4,5,0,0,1,49.4813232421875,36.271026611328125,151.30178833007812,339.2674255371094,M,0
Male,59,25 - 45,African-American,4,5,1,0,4,119.05224609375,26.675966262817383,384.31787109375,518.9562377929688,F,0
Male,60,25 - 45,African-American,4,5,0,0,1,65.10018920898438,33.01764678955078,179.8468017578125,324.4582214355469,F,0
Male,62,25 - 45,African-American,4,5,0,0,1,80.72262573242188,69.546875,202.022705078125,278.5327453613281,M,0
Male,58,Greater than 45,Caucasian,4,5,0,0,29,-106.15811157226562,0.6943050622940063,-264.1051025390625,349.5574035644531,M,1
Male,59,25 - 45,Hispanic,4,5,1,0,1,54.832244873046875,22.976102828979492,115.9486083984375,496.4271240234375,F,0
Male,59,25 - 45,African-American,4,5,0,0,6,-5.478179931640625,17.3975887298584,5098.490234375,585.6251220703125,F,1
Male,95,Greater than 45,Caucasian,4,5,12,0,14,90.35101318359375,39.856292724609375,-267.2317199707031,7603.935546875,F,1
Female,58,25 - 45,African-American,4,7,1,0,0,-0.831695556640625,20.519962310791016,39.741241455078125,367.7928161621094,F,0
Male,59,25 - 45,African-American,4,6,0,0,0,68.31472778320312,27.486900329589844,148.15939331054688,291.56048583984375,M,0
Male,59,25 - 45,African-American,4,5,1,0,2,40.838714599609375,32.3218879699707,162.90859985351562,379.0917053222656,F,0
Female,57,25 - 45,Caucasian,4,5,0,0,35,-152.89697265625,23.738550186157227,-42.585845947265625,224.3373260498047,F,1
Male,58,25 - 45,Caucasian,4,5,0,0,7,-50.735809326171875,21.054790496826172,2004.529541015625,324.7369689941406,M,1
Female,79,Greater than 45,Caucasian,4,5,5,0,2,60.531768798828125,9.200855255126953,-146.1238250732422,3870.669921875,M,0
Female,57,25 - 45,Caucasian,4,5,0,0,26,-118.23944091796875,1.7420926094055176,-257.1577453613281,299.607421875,M,1
Female,60,25 - 45,African-American,4,5,0,0,1,58.845062255859375,186.24240112304688,150.43411254882812,228.43704223632812,M,0
Female,57,25 - 45,Caucasian,4,6,0,0,3,-4.09326171875,37.06211853027344,24.563140869140625,231.63121032714844,F,1
Male,57,25 - 45,African-American,4,5,0,0,3,94.33688354492188,54.5416145324707,343.20367431640625,299.6976318359375,F,0
Male,58,25 - 45,African-American,4,6,0,0,3,12.6175537109375,29.409523010253906,85.41290283203125,319.34033203125,F,1
Male,89,Greater than 45,Caucasian,4,5,8,0,2,19.086578369140625,2.9267096519470215,-63.30143737792969,7153.3251953125,M,0
Male,59,25 - 45,African-American,4,5,0,0,1,62.1282958984375,29.65703582763672,140.87850952148438,329.10955810546875,F,0
Male,57,25 - 45,African-American,4,9,0,0,1,-64.10250854492188,14.667141914367676,-45.58952331542969,266.19549560546875,F,1
Male,57,25 - 45,Caucasian,4,5,0,0,3,-9.0963134765625,14.818904876708984,918.240966796875,355.48638916015625,F,1
Male,57,25 - 45,African-American,4,9,0,0,0,-59.636962890625,14.826973915100098,-24.541351318359375,235.82997131347656,F,1
Male,58,25 - 45,Caucasian,4,6,0,0,1,-5.0302734375,11.245644569396973,-142.9559783935547,1036.8795166015625,M,1
Female,58,25 - 45,Other,4,5,0,4,1,36.884918212890625,8.12325382232666,5790.8232421875,393.24505615234375,M,0
Male,58,25 - 45,African-American,4,5,0,0,1,40.484130859375,44.3453254699707,130.59396362304688,289.2655334472656,F,0
Male,58,25 - 45,African-American,4,5,1,0,1,38.25439453125,25.39671516418457,104.53421020507812,397.7028503417969,F,0
Male,59,25 - 45,African-American,4,5,0,0,2,31.97625732421875,27.206769943237305,151.72998046875,315.54742431640625,F,0
Female,57,25 - 45,Caucasian,4,5,0,0,35,-224.5961456298828,0.4413480758666992,-222.8389892578125,1039.5615234375,F,1
Male,61,25 - 45,African-American,4,5,0,0,1,57.897552490234375,202.3491973876953,121.84292602539062,253.1727294921875,F,0
Female,61,25 - 45,Hispanic,4,5,1,0,1,59.14337158203125,27.650720596313477,226.2274169921875,495.794189453125,F,0
Male,58,25 - 45,Caucasian,4,5,1,0,3,26.630523681640625,28.640247344970703,69.23025512695312,475.7127380371094,F,0
Female,60,25 - 45,African-American,4,5,2,0,2,44.510589599609375,33.35053634643555,105.10513305664062,514.7411499023438,F,0
Male,57,25 - 45,African-American,4,6,0,0,22,-80.80923461914062,24.27638053894043,8.880035400390625,376.39019775390625,F,1
Male,61,25 - 45,Hispanic,4,5,0,1,1,85.76809692382812,45.93534469604492,157.31268310546875,288.1578369140625,M,0
Male,57,25 - 45,Caucasian,4,5,0,0,2,22.571868896484375,27.8819522857666,120.06585693359375,278.3446350097656,F,0
Male,58,25 - 45,Other,4,5,0,1,0,41.551300048828125,16.554704666137695,72.3656005859375,277.7373046875,F,0
Female,57,25 - 45,African-American,4,6,0,0,2,-9.068695068359375,18.028095245361328,4.754058837890625,327.28302001953125,F,1
Female,60,25 - 45,African-American,4,5,0,0,1,95.66290283203125,69.5707778930664,172.39141845703125,287.1951599121094,F,0
Male,57,25 - 45,African-American,4,9,0,0,1,-73.71148681640625,12.991633415222168,-34.80987548828125,192.02198791503906,F,1
Male,61,25 - 45,Asian,4,5,0,0,0,58.12469482421875,600.4698486328125,105.02764892578125,160.5109100341797,F,0
Male,59,25 - 45,Caucasian,4,5,0,0,35,13.86407470703125,305.0559997558594,3677.5078125,314.6040344238281,F,1
Female,60,25 - 45,Hispanic,4,5,1,0,3,71.27734375,30.28310203552246,118.5721435546875,351.84466552734375,F,0
Male,60,25 - 45,African-American,4,5,1,0,2,40.3941650390625,45.89031219482422,138.1171875,363.68743896484375,F,0
Male,60,25 - 45,Caucasian,4,5,1,0,13,-109.42843627929688,0.43602871894836426,-264.92779541015625,5367.79833984375,M,1
Male,63,25 - 45,African-American,4,5,0,0,3,5.734344482421875,15.41677474975586,7602.0400390625,1207.8841552734375,M,0
Male,57,25 - 45,African-American,4,6,0,3,0,90.21694946289062,17.443342208862305,18.01617431640625,168.90841674804688,F,0
Female,62,25 - 45,African-American,4,5,0,0,1,45.36639404296875,21.807748794555664,5559.43212890625,1042.296630859375,M,0
Male,60,25 - 45,Other,4,5,0,1,1,44.566802978515625,54.43790817260742,95.41387939453125,250.80593872070312,M,0
Female,60,25 - 45,African-American,4,5,1,0,1,57.89447021484375,28.038118362426758,147.3807373046875,542.700439453125,F,0
