age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
46,blue-collar,married,tertiary,no,572,yes,no,cellular,7,jul,196,1,-1,0,unknown,no
32,management,married,secondary,no,205,yes,no,cellular,22,may,138,0,0,0,unknown,no
41,admin.,married,primary,yes,7673,yes,no,unknown,9,may,207,1,267,0,failure,yes
38,admin.,single,secondary,no,-324,no,no,cellular,16,jun,167,1,0,0,unknown,no
36,admin.,single,secondary,no,-220,no,no,cellular,19,jun,169,1,0,0,unknown,no
45,admin.,married,secondary,no,6672,yes,no,unknown,10,may,141,0,-1,0,unknown,no
31,management,married,secondary,no,242,yes,no,cellular,7,may,127,0,-1,0,unknown,no
32,services,married,primary,yes,7975,no,no,telephone,29,nov,565,4,145,6,other,yes
39,technician,single,secondary,no,-549,no,yes,unknown,13,aug,122,1,0,0,unknown,no
39,technician,divorced,secondary,no,-608,no,yes,unknown,13,aug,114,1,0,0,unknown,no
32,management,married,secondary,no,262,yes,no,cellular,7,may,153,0,0,0,unknown,no
42,retired,married,primary,yes,5866,no,no,unknown,10,may,180,2,331,3,failure,yes
43,admin.,married,secondary,no,7589,yes,no,unknown,11,may,202,1,-1,0,unknown,no
37,admin.,single,secondary,no,-28,yes,no,cellular,28,jun,189,1,0,0,unknown,no
48,blue-collar,married,tertiary,no,516,yes,no,cellular,5,jul,191,1,284,0,unknown,no
35,management,married,secondary,no,304,yes,no,cellular,8,jul,164,0,0,0,unknown,no
42,retired,married,primary,yes,2844,no,no,unknown,10,may,167,2,118,4,failure,yes
44,retired,married,primary,yes,3141,no,no,unknown,18,may,184,2,67,4,failure,yes
39,technician,single,secondary,no,-485,no,yes,unknown,13,aug,130,1,0,0,unknown,no
38,technician,single,secondary,no,-488,no,yes,unknown,14,jun,147,1,0,0,unknown,no
35,management,single,secondary,no,283,yes,no,cellular,28,jun,208,1,0,0,unknown,no
48,blue-collar,married,tertiary,no,525,yes,no,cellular,6,feb,634,1,264,1,failure,no
46,blue-collar,married,tertiary,no,534,yes,no,cellular,9,apr,472,3,41,1,failure,no
48,blue-collar,married,tertiary,no,491,yes,no,cellular,7,jul,651,1,295,0,unknown,no
40,technician,divorced,secondary,no,-625,no,yes,unknown,13,aug,110,1,0,0,unknown,no
38,admin.,married,tertiary,no,584,yes,no,unknown,1,may,212,1,261,0,failure,no
38,technician,single,secondary,no,-322,no,yes,unknown,14,aug,144,1,0,0,unknown,no
36,management,single,secondary,no,-31,yes,no,cellular,21,jun,193,1,0,0,unknown,no
39,admin.,single,secondary,no,399,no,yes,unknown,14,aug,170,1,0,0,unknown,no
44,retired,married,primary,yes,3813,no,no,unknown,18,may,142,3,343,4,failure,yes
38,technician,single,secondary,no,-422,no,yes,unknown,14,jun,140,1,0,0,unknown,no
48,management,married,tertiary,no,540,yes,no,cellular,8,jul,185,1,0,0,unknown,no
48,management,married,secondary,no,497,yes,no,cellular,8,jul,193,1,-1,0,unknown,no
47,admin.,single,secondary,no,1628,yes,no,unknown,10,may,273,1,-1,0,unknown,no
46,blue-collar,married,tertiary,no,495,yes,no,cellular,8,apr,492,1,164,2,failure,no
39,technician,divorced,secondary,no,-609,no,yes,unknown,13,aug,121,1,0,0,unknown,no
44,services,married,tertiary,no,686,yes,no,cellular,10,sep,505,4,7,17,success,no
42,retired,married,tertiary,yes,5350,yes,no,unknown,9,may,210,1,264,2,failure,yes
42,management,married,secondary,no,547,yes,no,cellular,6,jul,202,1,-1,0,unknown,no
49,blue-collar,married,tertiary,no,509,yes,no,cellular,7,feb,665,1,335,0,failure,no
41,blue-collar,married,tertiary,yes,5989,yes,no,unknown,3,may,196,1,303,2,failure,yes
34,admin.,married,secondary,no,749,yes,no,cellular,26,may,81,1,0,0,unknown,no
33,management,married,secondary,no,309,yes,no,cellular,8,jul,156,1,-1,0,unknown,no
33,management,married,secondary,no,890,yes,no,cellular,29,may,97,1,0,0,unknown,no
39,technician,divorced,secondary,no,-525,no,yes,unknown,13,aug,128,1,0,0,unknown,no
33,management,married,secondary,no,348,yes,no,cellular,8,may,153,0,-1,0,unknown,no
39,management,married,secondary,no,441,yes,no,cellular,8,jul,176,1,-1,0,unknown,no
38,admin.,single,secondary,no,-150,no,no,cellular,27,jun,168,1,-1,0,unknown,no
42,entrepreneur,married,primary,yes,5173,no,no,unknown,10,may,165,3,339,2,failure,yes
47,unemployed,married,primary,yes,8921,no,no,telephone,29,may,168,4,143,6,other,yes
