,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,-226,10,355,0,0,0,technician,single,unknown,no,no,no,cellular,sep,unknown,0,no
1,70,6,382,3,86,3,management,married,tertiary,no,no,no,cellular,may,failure,0,no
2,1465,20,197,2,105,1,services,divorced,secondary,no,yes,no,cellular,nov,unknown,0,no
3,1261,29,294,3,0,0,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,0,no
4,2948,5,129,4,32,3,admin.,single,tertiary,no,no,no,cellular,jun,failure,0,no
5,2040,1,279,0,-1,0,services,married,secondary,no,no,no,unknown,jun,unknown,0,no
6,2281,12,880,3,0,0,management,married,tertiary,no,no,no,cellular,dec,unknown,0,yes
7,222,28,85,16,0,0,unknown,single,secondary,no,no,no,cellular,aug,unknown,0,no
8,1237,8,153,2,-1,0,technician,married,secondary,no,yes,no,unknown,may,unknown,0,no
9,5090,2,47,5,-1,0,unknown,married,secondary,no,no,no,unknown,apr,unknown,0,no
10,1344,2,127,1,-1,0,technician,single,tertiary,no,no,no,cellular,feb,unknown,0,no
11,991,6,252,2,347,0,management,married,tertiary,no,no,no,cellular,may,unknown,0,yes
12,129,7,162,1,-1,0,management,married,tertiary,no,yes,no,cellular,aug,unknown,0,no
13,176,18,88,2,-1,0,retired,married,tertiary,no,no,no,cellular,jul,unknown,0,no
14,1644,6,128,3,345,11,management,married,secondary,no,yes,no,telephone,may,other,0,no
15,-44,11,77,2,0,0,services,married,primary,no,no,no,cellular,jul,unknown,0,no
16,2501,28,158,1,0,0,admin.,single,secondary,no,yes,no,unknown,may,unknown,0,no
17,-34,2,46,1,0,0,management,married,tertiary,no,no,no,cellular,feb,unknown,0,no
18,1683,19,39,3,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,0,no
19,1378,7,6,0,-1,0,management,single,tertiary,no,yes,no,unknown,jun,unknown,0,no
20,201,28,144,1,-1,0,technician,married,secondary,no,yes,no,cellular,aug,unknown,0,no
21,761,19,85,7,-1,0,blue-collar,married,secondary,no,no,no,cellular,aug,unknown,0,no
22,1826,9,163,1,0,0,housemaid,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
23,7,18,55,2,280,2,management,single,tertiary,no,no,yes,cellular,jul,failure,0,no
24,199,25,39,1,331,1,student,single,secondary,no,no,no,cellular,may,other,0,no
25,243,29,111,6,0,0,unemployed,single,tertiary,no,no,no,cellular,jul,unknown,0,no
26,1847,1,101,0,-1,0,technician,single,primary,no,yes,no,cellular,jun,unknown,0,no
27,218,19,178,2,146,1,self-employed,married,unknown,no,no,no,cellular,nov,other,0,no
28,178,4,139,6,0,0,management,single,tertiary,no,no,no,cellular,apr,unknown,0,no
29,1690,21,266,1,0,0,technician,single,secondary,no,yes,no,unknown,may,unknown,0,no
30,242,2,74,1,191,3,blue-collar,married,secondary,no,no,no,cellular,feb,failure,0,no
31,5624,12,473,0,174,1,technician,single,primary,no,yes,no,cellular,may,failure,0,no
32,-728,17,441,6,-1,0,unknown,married,secondary,no,yes,yes,cellular,jul,unknown,0,no
33,212,6,69,0,0,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,0,no
34,210,28,236,1,-1,0,management,single,tertiary,no,no,no,cellular,apr,unknown,0,no
35,19,2,89,3,-1,0,technician,married,secondary,no,yes,no,unknown,jun,unknown,0,no
36,24,11,261,1,78,3,management,single,tertiary,no,yes,no,cellular,jun,other,0,no
37,1129,7,94,0,-1,0,blue-collar,married,primary,no,no,no,cellular,may,unknown,0,no
38,48,20,98,5,-1,0,management,married,tertiary,no,no,no,cellular,nov,unknown,0,no
39,1506,26,260,5,0,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
40,111,20,129,1,-1,0,management,married,tertiary,no,no,no,unknown,may,unknown,0,no
41,410,30,117,2,-1,0,services,married,tertiary,no,no,no,cellular,jul,unknown,0,no
42,261,20,82,1,0,0,blue-collar,single,secondary,no,no,no,cellular,apr,unknown,0,no
43,1555,3,100,1,-1,0,management,married,tertiary,no,yes,no,cellular,feb,unknown,0,no
44,1515,16,319,1,168,1,blue-collar,single,tertiary,no,yes,no,cellular,apr,other,0,yes
45,26,5,630,0,166,2,unemployed,single,tertiary,no,no,no,cellular,feb,failure,0,no
46,549,4,122,0,-1,0,technician,single,secondary,no,yes,no,cellular,jun,unknown,0,no
47,72,3,83,0,-1,0,student,single,secondary,no,no,no,unknown,may,unknown,0,no
48,1131,5,658,0,0,0,retired,married,unknown,no,no,no,unknown,apr,unknown,0,no
49,444,4,121,2,-1,0,admin.,married,unknown,no,no,no,unknown,jun,unknown,0,no
50,293,8,182,0,-1,0,blue-collar,married,primary,no,yes,yes,unknown,may,unknown,0,no
51,330,28,104,3,-1,0,housemaid,single,secondary,no,yes,yes,unknown,may,unknown,0,no
52,269,22,315,1,205,2,management,married,tertiary,no,no,no,cellular,sep,success,0,yes
53,548,29,726,1,0,0,technician,single,secondary,no,yes,no,unknown,oct,unknown,0,yes
54,4568,7,623,0,-1,0,management,married,tertiary,no,yes,no,cellular,may,unknown,0,yes
55,327,4,371,0,0,0,blue-collar,married,secondary,no,yes,yes,cellular,may,unknown,0,no
56,656,5,86,0,-1,0,blue-collar,married,secondary,no,no,no,cellular,may,unknown,0,no
57,47,20,326,2,0,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,0,no
58,37,13,506,1,0,0,blue-collar,single,primary,no,yes,yes,telephone,apr,unknown,0,no
59,1447,30,196,0,0,0,blue-collar,married,secondary,no,no,no,telephone,jul,unknown,0,no
60,54,6,146,0,0,0,services,married,secondary,no,no,no,cellular,may,unknown,0,no
61,59,3,276,1,-1,0,management,single,tertiary,no,no,no,cellular,jun,unknown,0,no
62,75,1,180,1,-1,0,housemaid,married,primary,no,yes,yes,unknown,jun,unknown,0,no
63,6250,4,119,6,352,2,services,married,unknown,no,yes,no,cellular,apr,failure,0,no
64,73,19,95,4,-1,0,management,divorced,secondary,no,yes,no,cellular,nov,unknown,0,no
65,1406,20,305,2,204,0,management,married,secondary,no,no,no,cellular,dec,other,0,no
66,172,10,111,0,-1,0,technician,married,secondary,no,no,no,telephone,jul,unknown,0,no
67,127,19,115,2,-1,0,management,single,secondary,no,yes,no,cellular,nov,unknown,0,no
68,38,27,247,1,-1,0,management,single,tertiary,no,no,no,cellular,jul,unknown,0,no
69,236,14,285,5,-1,0,housemaid,single,tertiary,no,yes,yes,cellular,jul,unknown,0,no
70,5633,11,236,1,-1,0,management,single,secondary,no,no,no,cellular,jul,unknown,0,no
71,503,4,350,3,-1,0,housemaid,married,primary,no,no,yes,unknown,jun,unknown,0,no
72,2571,27,282,3,81,8,admin.,married,secondary,no,yes,no,cellular,apr,other,0,no
73,805,5,328,2,37,4,management,divorced,secondary,no,no,no,telephone,sep,other,0,yes
74,-212,3,140,3,-1,0,management,married,secondary,no,yes,no,unknown,feb,unknown,0,no
75,1032,15,237,3,-1,0,services,single,tertiary,no,yes,yes,cellular,sep,unknown,0,no
76,1387,19,113,0,-1,0,technician,married,tertiary,no,no,no,cellular,may,unknown,0,no
77,1100,3,114,1,-1,0,technician,married,tertiary,no,yes,no,cellular,feb,unknown,0,no
78,593,20,195,5,-1,0,management,married,unknown,no,yes,no,cellular,aug,unknown,0,no
79,53,19,77,0,0,0,services,married,secondary,no,yes,no,unknown,may,unknown,0,no
80,-30,19,2377,2,-1,0,entrepreneur,married,tertiary,no,no,no,cellular,jul,unknown,0,no
81,548,5,164,3,-1,0,blue-collar,single,secondary,no,no,no,cellular,jul,unknown,0,no
82,1093,28,472,1,0,0,technician,single,secondary,no,yes,no,unknown,may,unknown,0,no
83,-27,28,83,6,0,0,technician,single,secondary,no,yes,yes,unknown,may,unknown,0,no
84,501,5,173,2,-1,0,technician,married,tertiary,no,no,no,cellular,feb,unknown,0,no
85,251,19,151,0,0,0,technician,married,primary,no,no,no,unknown,may,unknown,0,no
86,-136,2,44,1,-1,0,entrepreneur,single,secondary,no,no,no,telephone,jul,unknown,0,no
87,13,22,871,7,-1,0,technician,single,secondary,no,no,no,cellular,aug,unknown,0,no
88,549,27,159,0,0,0,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,0,no
89,164,13,345,2,283,2,management,married,primary,no,no,yes,cellular,apr,failure,0,yes
90,145,6,153,0,-1,0,management,married,tertiary,no,yes,no,cellular,may,unknown,0,no
91,85,10,185,1,0,0,entrepreneur,single,tertiary,no,yes,yes,cellular,jul,unknown,0,no
92,119,30,17,1,0,0,technician,married,secondary,no,no,no,telephone,jul,unknown,0,no
93,198,17,56,0,-1,0,blue-collar,married,tertiary,no,yes,yes,cellular,may,unknown,0,no
94,137,20,157,1,0,0,housemaid,married,primary,no,no,no,unknown,jun,unknown,0,no
95,310,6,848,2,356,1,entrepreneur,married,tertiary,no,yes,no,cellular,may,failure,0,no
96,43,18,14,6,0,0,management,single,tertiary,no,no,no,unknown,jun,unknown,0,no
97,177,14,245,1,0,0,technician,married,unknown,no,no,no,telephone,may,unknown,0,no
98,-99,20,244,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
99,1016,8,104,0,332,3,technician,married,primary,no,no,no,cellular,may,failure,0,no
100,1136,10,135,1,-1,0,management,single,secondary,no,yes,no,cellular,aug,unknown,0,no
101,273,11,107,0,-1,0,technician,married,tertiary,no,yes,no,unknown,may,unknown,0,no
102,-149,20,234,2,0,0,technician,single,secondary,no,no,no,cellular,jul,unknown,0,no
103,90,4,165,2,0,0,management,married,tertiary,no,yes,no,unknown,jun,unknown,0,no
104,337,30,201,6,-1,0,technician,married,secondary,no,yes,no,cellular,jan,unknown,0,no
105,100,2,224,0,0,0,self-employed,married,secondary,no,no,yes,cellular,feb,unknown,0,no
106,183,10,245,0,0,0,entrepreneur,divorced,tertiary,no,no,no,cellular,may,unknown,0,no
107,1601,11,391,2,0,0,management,single,tertiary,no,yes,no,cellular,aug,unknown,0,no
