,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,937,18,76,1,0,0,services,married,secondary,no,yes,no,cellular,may,unknown,0,no
1,-114,18,104,7,-1,0,admin.,married,primary,no,yes,no,telephone,nov,unknown,0,no
2,123,15,82,1,0,0,technician,married,secondary,no,yes,no,unknown,may,unknown,0,no
3,-83,6,155,2,-1,0,management,divorced,tertiary,no,yes,no,unknown,may,unknown,0,no
4,3,4,76,5,0,0,management,divorced,tertiary,no,yes,no,unknown,jun,unknown,0,no
5,-655,19,101,2,-1,0,self-employed,married,tertiary,no,no,no,unknown,may,unknown,0,no
6,1206,14,30,3,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
7,3903,19,8,5,0,0,technician,married,tertiary,no,yes,no,cellular,aug,unknown,0,no
8,236,5,57,1,0,0,unemployed,married,secondary,no,no,no,cellular,may,unknown,0,no
9,2474,1,202,0,0,0,unemployed,single,secondary,no,yes,no,cellular,jun,unknown,0,no
10,1528,29,506,2,-1,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,0,no
11,1721,26,254,3,0,0,admin.,single,secondary,no,no,no,cellular,mar,unknown,0,no
12,-53,6,159,2,0,0,management,divorced,secondary,no,yes,no,unknown,may,unknown,0,no
13,184,15,45,10,-1,0,management,married,tertiary,no,yes,yes,unknown,may,unknown,0,no
14,1442,6,138,2,363,1,entrepreneur,married,tertiary,no,no,no,cellular,may,failure,0,no
15,115,30,128,1,-1,0,technician,married,secondary,no,no,yes,cellular,jan,unknown,0,no
16,1747,14,110,1,-1,0,services,married,secondary,no,yes,no,unknown,may,unknown,0,no
17,123,20,128,1,-1,0,management,single,secondary,no,yes,no,unknown,may,unknown,0,no
18,14050,16,319,3,0,0,housemaid,married,tertiary,no,no,yes,cellular,nov,unknown,0,no
19,175,5,140,3,-1,0,entrepreneur,single,secondary,no,yes,no,unknown,may,unknown,0,no
20,555,20,224,1,0,0,management,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
21,42,3,118,2,-1,0,admin.,single,secondary,no,yes,no,unknown,jun,unknown,0,no
22,415,11,152,1,-1,0,admin.,married,primary,no,yes,no,cellular,may,unknown,0,no
23,4899,20,46,1,-1,0,management,single,tertiary,no,yes,no,cellular,jul,unknown,0,no
24,225,26,159,6,0,0,technician,married,tertiary,no,no,no,cellular,jul,unknown,0,no
