,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,-728,1,404,1,-1,0,blue-collar,single,secondary,yes,yes,yes,cellular,dec,unknown,0,no
1,118,21,119,1,0,0,technician,married,secondary,no,no,yes,cellular,jul,unknown,0,no
2,46,21,921,6,-1,0,self-employed,divorced,secondary,no,no,no,cellular,aug,unknown,0,yes
3,-234,20,1253,1,-1,0,management,married,tertiary,no,yes,no,cellular,jul,unknown,0,yes
4,2954,19,851,3,-1,0,blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,0,no
5,400,27,51,13,-1,0,blue-collar,divorced,secondary,no,no,yes,cellular,aug,unknown,0,no
6,414,1,108,1,-1,0,technician,married,tertiary,yes,yes,no,cellular,feb,unknown,0,yes
7,209,5,124,1,-1,0,technician,married,secondary,no,yes,no,cellular,may,unknown,0,no
8,-17,26,59,16,0,0,management,divorced,tertiary,no,yes,no,cellular,aug,unknown,0,no
9,150,8,339,0,-1,0,services,married,secondary,no,no,yes,unknown,may,unknown,0,no
10,645,25,826,2,0,0,management,divorced,secondary,no,yes,no,unknown,may,unknown,0,no
11,67,27,112,11,-1,0,management,married,tertiary,no,no,no,cellular,aug,unknown,0,no
12,-727,30,116,6,0,0,management,single,secondary,no,yes,no,unknown,may,unknown,0,no
13,604,29,600,1,-1,0,admin.,married,primary,no,yes,yes,unknown,jul,unknown,0,no
14,278,18,548,1,-1,0,blue-collar,single,secondary,no,yes,yes,cellular,may,unknown,0,yes
15,47,16,110,1,0,0,blue-collar,single,secondary,no,yes,no,cellular,may,unknown,0,no
16,1601,13,66,1,-1,0,technician,divorced,secondary,no,yes,no,cellular,aug,unknown,0,no
17,-238,27,253,1,-1,0,student,single,tertiary,no,no,no,cellular,may,unknown,0,no
18,1003,12,231,1,0,0,management,single,tertiary,no,yes,no,cellular,may,unknown,0,no
19,35,17,264,2,-1,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,0,no
20,414,5,38,2,0,0,admin.,single,tertiary,no,no,no,cellular,jun,unknown,0,no
21,660,14,132,3,0,0,technician,married,secondary,no,yes,no,unknown,may,unknown,0,no
22,249,8,73,1,-1,0,services,married,secondary,no,no,no,cellular,aug,unknown,0,no
23,1446,6,158,0,-1,0,blue-collar,married,secondary,no,no,no,cellular,may,unknown,0,no
24,135,14,101,2,0,0,technician,married,tertiary,no,yes,no,cellular,mar,unknown,0,no
25,363,21,54,2,0,0,management,married,tertiary,no,yes,no,cellular,nov,unknown,0,no
26,5328,28,448,2,0,0,services,single,secondary,no,yes,no,unknown,may,unknown,0,no
27,516,4,193,1,-1,0,unemployed,married,secondary,no,yes,yes,cellular,jun,unknown,0,yes
28,1208,11,538,0,-1,0,admin.,married,secondary,no,no,no,cellular,aug,unknown,0,no
29,1203,14,36,5,352,1,technician,married,secondary,no,yes,yes,cellular,may,other,0,no
30,416,27,122,2,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
31,2565,8,238,0,-1,0,blue-collar,divorced,unknown,no,yes,no,unknown,may,unknown,0,no
32,70,28,107,1,0,0,housemaid,single,secondary,no,yes,no,cellular,jan,unknown,0,no
33,543,2,113,0,-1,0,unemployed,divorced,secondary,no,no,no,cellular,feb,unknown,0,no
34,2967,21,51,3,-1,0,admin.,married,secondary,no,no,no,cellular,jul,unknown,0,no
35,893,15,110,1,-1,0,student,married,unknown,no,yes,no,unknown,may,unknown,0,no
36,1333,2,276,0,-1,0,services,married,secondary,no,yes,no,cellular,jun,unknown,0,no
37,242,27,170,0,-1,0,management,married,tertiary,no,no,no,cellular,jan,unknown,0,no
38,-41,11,174,1,-1,0,blue-collar,married,primary,no,yes,no,cellular,may,unknown,0,no
39,97,6,69,0,0,0,technician,married,tertiary,no,yes,no,cellular,may,unknown,0,no
40,1624,4,97,0,-1,0,management,single,tertiary,no,no,no,unknown,jun,unknown,0,no
41,1410,21,9,0,-1,0,management,single,tertiary,no,yes,no,unknown,may,unknown,0,no
42,182,14,86,7,-1,0,admin.,married,tertiary,yes,yes,no,cellular,mar,unknown,0,no
43,1248,28,104,3,-1,0,blue-collar,married,secondary,no,no,no,cellular,may,success,0,no
44,-260,27,605,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
45,82,21,285,3,0,0,blue-collar,married,primary,no,yes,no,telephone,nov,unknown,0,no
46,129,20,44,7,-1,0,admin.,divorced,primary,no,yes,no,cellular,nov,unknown,0,no
47,1365,4,110,1,-1,0,management,married,tertiary,no,yes,no,unknown,jun,unknown,0,yes
48,3910,7,19,0,-1,0,self-employed,single,tertiary,no,yes,no,unknown,jul,unknown,0,no
49,1514,8,338,0,-1,0,management,married,primary,no,no,no,cellular,aug,unknown,0,no
