age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid,sex,race
62,Greater than 45,0,1,0,0,4,137.0745849609375,38.85986328125,357.62786865234375,107.74793243408203,M,1,Male,Other
26,25 - 45,0,2,0,0,1,-19.181304931640625,10.583187103271484,15.32171630859375,26.740562438964844,F,1,Male,Caucasian
62,Greater than 45,0,1,0,0,3,-37.228912353515625,10.964760780334473,-101.51228332519531,29.47922706604004,M,0,Male,Caucasian
29,25 - 45,0,3,0,0,1,21.606536865234375,23.355825424194336,506.312744140625,76.4050064086914,F,1,Male,Other
23,Less than 25,0,8,0,0,5,141.67254638671875,42.622283935546875,286.67327880859375,98.30458068847656,F,1,Male,Other
26,25 - 45,0,3,0,0,1,-37.7847900390625,9.141192436218262,-26.3897705078125,22.630186080932617,F,0,Male,Caucasian
48,Greater than 45,0,3,0,0,4,-21.414947509765625,11.879941940307617,23.189056396484375,19.778440475463867,M,0,Male,Other
29,25 - 45,0,4,0,0,1,5.106048583984375,20.435569763183594,488.31634521484375,56.469749450683594,F,1,Female,Other
26,25 - 45,0,3,0,0,1,5.886749267578125,12.12026596069336,53.212738037109375,30.588064193725586,F,1,Male,Caucasian
24,25 - 45,0,5,0,0,1,-43.3707275390625,9.411185264587402,-87.17735290527344,25.2797908782959,F,0,Male,Caucasian
58,Greater than 45,0,1,0,0,3,-58.94683837890625,7.290343284606934,-101.21221923828125,14.363656044006348,M,0,Male,Other
22,Less than 25,0,9,0,0,5,86.894287109375,34.19423294067383,521.5877075195312,55.80281448364258,F,1,Male,Other
22,Less than 25,0,9,0,0,5,84.18759155273438,34.468017578125,533.7619018554688,56.27961730957031,F,1,Female,Other
28,25 - 45,0,6,0,0,2,-147.0350341796875,5.111563682556152,-10.9608154296875,8.070733070373535,M,0,Male,Other
25,Less than 25,0,7,0,0,2,0.80352783203125,15.904287338256836,-48.997833251953125,40.90615463256836,F,1,Male,Other
53,Greater than 45,0,1,0,0,2,-26.61541748046875,8.017441749572754,-172.75473022460938,23.894254684448242,M,0,Male,Caucasian
23,Less than 25,0,9,0,0,4,42.379180908203125,23.914215087890625,296.79315185546875,40.72735595703125,F,1,Male,Other
26,25 - 45,0,8,0,0,2,-61.015289306640625,11.321499824523926,68.68502807617188,19.088844299316406,F,0,Male,Other
28,25 - 45,0,4,0,0,1,-145.61441040039062,4.847662448883057,-62.6754150390625,9.13243293762207,M,0,Male,Other
29,25 - 45,0,5,0,0,1,-96.72097778320312,6.800549507141113,22.680084228515625,12.06168270111084,M,0,Male,Other
27,25 - 45,0,6,0,0,2,-121.69857788085938,6.313073635101318,-11.794586181640625,10.569863319396973,F,0,Male,Other
63,Greater than 45,0,1,0,0,4,68.42333984375,22.39508819580078,174.60562133789062,48.627899169921875,M,0,Male,Other
25,25 - 45,0,2,0,0,1,196.4075927734375,43.18263244628906,853.2696533203125,163.35426330566406,F,1,Male,Caucasian
25,25 - 45,0,2,0,0,1,7.4521484375,11.412018775939941,17.74884033203125,28.67043113708496,F,1,Male,Caucasian
62,Greater than 45,0,1,0,0,4,-1.32427978515625,13.014277458190918,32.800018310546875,23.179731369018555,M,0,Male,Other
35,25 - 45,0,1,0,0,1,-135.303955078125,3.5025839805603027,-193.954345703125,9.399160385131836,M,0,Male,Caucasian
25,25 - 45,0,7,0,0,2,-70.0814208984375,9.240480422973633,-6.136016845703125,18.85089683532715,F,0,Male,Other
25,25 - 45,0,2,0,0,1,36.965911865234375,14.402323722839355,114.27587890625,37.319942474365234,F,1,Male,Caucasian
29,Less than 25,0,6,0,0,5,75.79190063476562,29.107200622558594,179.42709350585938,57.45870590209961,F,1,Male,Other
28,25 - 45,0,3,0,0,1,-89.64443969726562,7.457184791564941,-32.116851806640625,17.5730037689209,M,0,Male,Other
28,25 - 45,0,4,0,0,1,-134.18197631835938,4.8938117027282715,-82.093017578125,10.164445877075195,M,0,Male,Other
22,Less than 25,0,8,0,0,3,49.56103515625,23.882478713989258,196.74285888671875,48.17647933959961,F,1,Male,Other
