age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid,sex,race
24,25 - 45,0,6,0,0,4,78.00396728515625,7.145804405212402,30.59356689453125,27.631166458129883,M,1,Male,Other
46,25 - 45,0,1,0,0,0,-96.21444702148438,8.672082901000977,169.04739379882812,15.891507148742676,F,1,Male,Caucasian
58,Greater than 45,0,1,0,0,0,34.29669189453125,26.192138671875,-68.27766418457031,17.438167572021484,F,0,Male,Caucasian
28,Less than 25,0,5,0,0,1,-121.67388916015625,5.36428689956665,110.10540771484375,32.62557601928711,F,0,Female,Other
29,Less than 25,0,4,0,0,1,-125.38504028320312,5.516661643981934,99.57870483398438,32.9394416809082,F,0,Female,Other
58,Greater than 45,0,1,0,0,0,35.54278564453125,26.212158203125,-59.77394104003906,16.76307487487793,F,0,Male,Caucasian
29,25 - 45,0,3,0,0,0,109.55224609375,4.590158939361572,-145.16476440429688,30.073869705200195,F,0,Male,Other
22,Less than 25,0,9,0,0,12,38.8052978515625,8.961286544799805,387.89599609375,27.95182991027832,M,1,Male,Other
58,Greater than 45,0,1,0,0,0,36.820831298828125,25.864261627197266,-67.95123291015625,17.291318893432617,F,0,Male,Caucasian
52,Greater than 45,0,1,0,0,0,19.827545166015625,21.718578338623047,-11.497344970703125,17.517030715942383,F,0,Male,Caucasian
28,Less than 25,0,5,0,0,1,-137.69979858398438,4.945531368255615,133.45822143554688,33.373863220214844,F,0,Female,Other
26,25 - 45,0,3,0,0,1,122.12164306640625,4.95967435836792,-119.22114562988281,28.696720123291016,M,1,Male,Other
28,25 - 45,0,3,0,0,0,19.40277099609375,5.900355815887451,-85.19351196289062,30.935693740844727,F,0,Male,Other
24,25 - 45,0,6,0,0,4,74.008056640625,6.476248264312744,9.6021728515625,26.329479217529297,M,1,Male,Other
29,25 - 45,0,4,0,0,1,-38.1015625,6.079974174499512,-21.0352783203125,31.05036163330078,F,0,Female,Other
48,25 - 45,0,1,0,0,0,-56.417877197265625,12.408876419067383,111.97195434570312,16.92646598815918,F,1,Male,Caucasian
22,Less than 25,0,9,0,0,12,39.08306884765625,8.688292503356934,370.371826171875,27.246824264526367,M,1,Male,Other
29,25 - 45,0,4,0,0,1,-96.90902709960938,5.902710437774658,46.02301025390625,32.147186279296875,F,0,Female,Other
22,Less than 25,0,8,0,0,9,37.7567138671875,9.126168251037598,330.20794677734375,30.99257469177246,M,1,Male,Other
28,Less than 25,0,5,0,0,1,-130.3668212890625,5.247207164764404,121.31179809570312,32.99042892456055,F,0,Female,Other
27,25 - 45,0,3,0,0,0,153.48681640625,4.209501266479492,-159.9940643310547,28.65456771850586,M,0,Male,Other
24,25 - 45,0,8,0,0,9,43.646209716796875,9.162415504455566,261.42327880859375,29.033472061157227,M,1,Male,Other
30,25 - 45,0,3,0,6,0,-54.866363525390625,81.01422119140625,166.79598999023438,248.23519897460938,F,1,Male,Caucasian
58,Greater than 45,0,1,0,0,0,23.715850830078125,26.277679443359375,-67.75149536132812,18.280275344848633,F,0,Male,Caucasian
29,25 - 45,0,4,0,0,1,-70.31512451171875,6.160914897918701,0.525634765625,31.761032104492188,F,0,Female,Other
57,Greater than 45,0,1,0,0,0,16.465667724609375,25.89504623413086,-60.828399658203125,18.49465560913086,F,0,Male,Caucasian
28,25 - 45,0,3,0,0,0,131.909423828125,4.384105682373047,-155.73147583007812,29.746862411499023,F,0,Male,Other
37,25 - 45,0,1,0,1,0,-135.26068115234375,15.827371597290039,244.93157958984375,63.782901763916016,F,1,Male,Caucasian
23,25 - 45,0,8,0,0,11,28.42681884765625,8.915155410766602,324.6883544921875,26.949050903320312,M,1,Male,Other
29,Less than 25,0,5,0,0,1,-130.9224853515625,5.428981781005859,111.338623046875,33.18282699584961,F,0,Female,Other
22,Less than 25,0,8,0,0,10,41.41192626953125,8.316117286682129,395.58172607421875,31.202421188354492,M,1,Male,Other
28,25 - 45,0,3,0,0,0,137.23431396484375,4.410881996154785,-153.81051635742188,29.361839294433594,M,0,Male,Other
41,25 - 45,0,1,0,0,1,-139.32952880859375,7.675817489624023,284.08856201171875,17.50388526916504,F,1,Male,Caucasian
24,25 - 45,0,8,0,0,10,40.16497802734375,9.450488090515137,276.0589599609375,28.240312576293945,M,1,Male,Other
24,25 - 45,0,6,0,0,3,86.0811767578125,6.301194667816162,-15.511199951171875,27.053068161010742,M,1,Male,Other
22,Less than 25,0,8,0,0,5,45.518829345703125,11.293249130249023,199.85134887695312,36.36588668823242,M,1,Male,Other
57,Greater than 45,0,1,0,0,0,38.4818115234375,24.993953704833984,-66.78465270996094,17.288373947143555,F,0,Male,Caucasian
23,25 - 45,0,8,0,0,12,39.753387451171875,8.974494934082031,356.28277587890625,29.69179344177246,M,1,Male,Other
22,Less than 25,0,8,0,0,8,38.33575439453125,9.066452026367188,315.912109375,31.33952522277832,M,1,Male,Other
24,25 - 45,0,6,0,0,5,73.73373413085938,7.465522766113281,48.966156005859375,27.305744171142578,M,1,Male,Other
28,Less than 25,0,5,0,0,1,-133.26382446289062,4.989542007446289,132.50079345703125,33.13637161254883,F,0,Female,Other
22,Less than 25,0,8,0,0,8,32.34600830078125,9.477084159851074,295.37225341796875,27.27787208557129,M,1,Male,Other
22,Less than 25,0,8,0,4,2,86.16323852539062,24.304882049560547,23.4617919921875,71.39586639404297,M,1,Male,Other
