sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Male,96.0,25 - 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,M,1
Male,27.0,25 - 45,Other,0.0,3.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,F,0
Male,30.0,25 - 45,Other,0.0,7.0,0.0,0.0,9.0,-1.0,-1.0,0.0,7604.0,F,1
Male,32.0,25 - 45,Other,0.0,2.0,0.0,0.0,0.0,1001.0,-1.0,0.0,0.0,F,1
Male,27.0,25 - 45,Other,0.0,6.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,M,0
Male,28.0,Less than 25,Other,0.0,1.0,0.0,0.0,2.0,-2.0,1.0,0.0,1.0,F,0
Male,96.0,25 - 45,Other,0.0,1.0,0.0,0.0,0.0,1001.0,-1.0,1.0,0.0,F,0
Male,21.0,25 - 45,Other,0.0,4.0,0.0,0.0,0.0,-1.0,7.0,1.0,1.0,F,1
Male,26.0,25 - 45,Caucasian,0.0,4.0,0.0,0.0,1.0,-1.0,0.0,0.0,2.0,F,0
Male,33.0,25 - 45,Caucasian,0.0,1.0,0.0,0.0,7.0,-1.0,33.0,0.0,1.0,F,0
Female,38.0,25 - 45,Other,0.0,5.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,F,1
Male,26.0,Less than 25,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,M,0
Male,24.0,Less than 25,Other,0.0,2.0,0.0,0.0,7.0,-414.0,63.757084,0.0,1.0,F,0
Male,28.0,25 - 45,Caucasian,0.0,2.0,0.0,0.0,38.0,-6.0,109.938095,0.0,7604.0,F,1
Male,33.0,25 - 45,Other,0.0,3.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,M,0
Male,26.0,Less than 25,Other,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.00957352,1.0,M,0
Female,29.0,Less than 25,Caucasian,0.0,5.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,F,0
Male,24.0,Less than 25,Other,0.0,10.0,0.0,0.0,0.0,-1.0,749.0,0.0,1.0,F,0
Male,27.0,25 - 45,Other,0.0,4.0,0.0,0.0,38.0,-1.0,1.0,0.0,215.65602,F,0
Male,29.0,25 - 45,Caucasian,0.0,9.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,M,1
Female,24.0,Less than 25,Other,0.0,10.0,0.0,0.0,38.0,-1.0,1.0,0.0,1.0,F,1
Male,30.0,Less than 25,Other,0.0,10.0,0.0,0.0,19.0,-1.0,-1.0,0.0,1.0,M,1
Male,24.0,25 - 45,Caucasian,0.0,3.0,0.0,0.0,38.0,430.11594,5.0,0.0,1.0,F,1
Male,37.0,25 - 45,Other,0.0,5.0,0.0,0.0,0.0,-414.0,1.0,0.0,1.0,F,0
Male,56.0,25 - 45,Other,0.0,3.0,0.0,0.0,0.0,-414.0,0.0,0.0,1.0,M,0
Male,31.0,25 - 45,Caucasian,0.0,3.0,0.0,0.0,3.0,-49.0,0.0,0.0,1.0,M,1
Female,33.0,Greater than 45,Other,0.0,1.0,0.0,0.0,1.0,-414.0,1.0,0.0,7604.0,F,0
Male,23.0,Less than 25,Caucasian,0.0,2.0,0.0,0.0,12.0,-1.0,749.0,0.0,7604.0,M,0
Male,27.0,25 - 45,Other,0.0,2.0,0.0,0.0,0.0,-1.0,749.0,0.0,1.0,F,1
Male,96.0,Less than 25,Other,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,F,0
Male,28.0,25 - 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,7603.0,0.0,F,1
Male,59.0,Greater than 45,Caucasian,0.0,4.0,0.0,7.0,10.0,-1.0,-1.0,0.0,1.0,M,1
Male,23.0,25 - 45,Caucasian,0.0,8.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,M,1
Female,22.0,Less than 25,Other,0.0,5.0,0.0,0.0,0.0,-1.0,36.0,0.0,1.0,F,1
Male,22.0,Less than 25,Other,0.0,5.0,0.0,0.0,4.0,-1.0,0.0,0.0,1.0,F,1
Female,29.0,25 - 45,Caucasian,0.0,6.0,0.0,0.0,38.0,-13.0,10.0,1.0,1.0,F,1
Male,43.0,25 - 45,Other,0.0,4.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,M,0
Male,24.0,Less than 25,Caucasian,0.0,10.0,0.0,0.0,7.0,1001.0,-1.0,0.0,1.0,F,1
Male,37.0,Greater than 45,Caucasian,0.0,1.0,0.0,0.0,0.0,0.0,46.277107,0.0,1.0,F,1
Male,26.0,Greater than 45,Other,0.0,9.0,0.0,0.0,38.0,-1.0,749.0,0.0,1.0,F,1
Male,40.935234,25 - 45,Caucasian,0.0,2.0,0.0,0.0,9.0,-2.0,1.0,0.0,43.0,F,1
Male,26.0,Less than 25,Other,0.0,10.0,0.0,0.0,38.0,-1.0,749.0,0.0,1.0,F,1
Male,27.0,25 - 45,Caucasian,0.0,3.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,M,0
Male,52.0,25 - 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,38.99158,F,1
Male,39.0,25 - 45,Caucasian,0.0,4.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,F,0
Male,30.0,Greater than 45,Other,0.0,6.0,0.0,0.0,38.0,-34.054047,4.0,32.384052,18.0,M,1
Male,36.0,25 - 45,Other,0.0,10.0,0.0,0.0,21.0,-1.0,-1.0,0.0,1.0,M,0
Female,29.0,Less than 25,Caucasian,0.0,5.0,0.0,0.0,17.0,-1.0,2.0,0.0,1.0,F,0
Male,34.0,Greater than 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,F,0
Male,54.0,25 - 45,Caucasian,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,F,0
Male,27.0,25 - 45,Other,0.0,3.0,0.0,0.0,0.0,-1.0,0.0,7603.0,0.0,F,0
Male,43.0,25 - 45,Caucasian,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,M,0
Male,19.0,25 - 45,Other,0.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,M,1
Male,26.0,25 - 45,Other,0.0,7.0,0.0,0.0,0.0,-1.0,749.0,0.0,0.0,F,1
Male,22.0,Greater than 45,Caucasian,0.0,7.0,0.0,0.0,2.0,0.0,-1.0,0.0,1.0,F,0
Male,27.0,25 - 45,Other,0.0,3.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,F,1
Male,20.0,25 - 45,Caucasian,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,0
Male,62.0,Greater than 45,Caucasian,0.0,7.0,0.0,0.0,5.0,-1.0,0.0,0.0,0.0,F,1
Male,28.0,25 - 45,Other,0.0,1.0,0.0,0.0,0.0,1001.0,0.0,1.0,0.0,M,0
Male,96.0,Greater than 45,Other,0.0,2.0,0.0,0.0,0.0,-3.0,749.0,0.0,7604.0,F,0
Female,25.0,25 - 45,Other,0.0,3.0,0.0,0.0,0.0,-1.0,21.276054,0.0,3.0,F,1
Female,32.0,Greater than 45,Other,0.0,2.0,0.0,0.0,3.0,1001.0,1.0,-300.0,0.0,M,0
Male,28.0,Less than 25,Other,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,7603.0,0.0,M,0
Male,29.0,25 - 45,Other,0.0,10.0,0.0,0.0,8.0,1001.0,29.0,0.0,0.0,F,1
Female,32.0,Less than 25,Caucasian,0.0,4.0,0.0,0.0,2.0,-1.0,29.0,0.0,1.0,F,1
Male,35.0,25 - 45,Other,0.0,3.0,0.0,0.0,0.0,1001.0,-1.0,0.0,0.0,M,1
Male,27.0,25 - 45,Other,0.0,4.0,0.0,0.0,4.0,-1.0,749.0,0.0,7604.0,M,1
Male,24.0,Less than 25,Caucasian,0.0,6.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,M,1
Male,24.0,Less than 25,Other,0.0,4.0,0.0,0.0,3.0,-1.0,0.0,0.0,1.0,F,1
Female,34.0,Greater than 45,Other,0.0,2.0,0.0,0.0,0.0,-414.0,1.0,0.0,1.0,F,1
Male,28.0,Less than 25,Other,0.0,5.0,0.0,0.0,5.0,-1.0,1.0,0.0,1.0,F,1
Male,23.0,Greater than 45,Caucasian,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,0
Male,39.0,25 - 45,Other,0.0,4.0,0.0,0.0,0.0,-96.365814,0.0,0.0,2.0,F,0
Male,38.0,25 - 45,Caucasian,0.0,5.0,0.0,0.0,2.0,-2.0,0.0,1.0,1.0,F,0
Female,40.0,25 - 45,Other,0.0,5.0,0.0,0.0,3.0,-1.0,-1.0,0.0,1.0,F,0
Male,66.0,Greater than 45,Caucasian,0.0,2.0,0.0,0.0,0.0,-4.0,-1.0,0.0,1.0,F,1
Male,83.27292,25 - 45,Caucasian,0.0,2.0,0.0,0.0,0.0,-414.0,1.0,0.0,1.0,M,0
Male,39.0,25 - 45,Caucasian,0.0,2.0,0.0,0.0,0.0,-1.0,3.0,0.0,1.0,M,0
Male,30.0,Less than 25,Other,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,316.01724,1.0,M,0
Male,33.0,Less than 25,Other,0.0,10.0,0.0,0.0,38.0,-1.0,1.0,0.0,7604.0,F,1
Male,37.0,25 - 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-414.0,14.305481,0.0,2.0,F,0
Male,18.0,Less than 25,Caucasian,0.0,5.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,F,1
Male,29.0,25 - 45,Other,0.0,5.0,0.0,0.0,2.0,-49.0,0.0,0.0,1.0,F,1
Male,38.0,Less than 25,Other,0.0,9.0,0.0,0.0,4.0,-5.0,0.0,0.0,3.9717531,F,0
Male,28.0,Less than 25,Caucasian,0.0,1.0,0.0,0.0,0.0,1001.0,0.0,1.0,0.0,M,0
Female,35.0,Less than 25,Other,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,1
Male,52.0,25 - 45,Other,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,F,0
Male,50.0,25 - 45,Other,0.0,1.0,0.0,0.0,0.0,-11.864889,20.0,0.0,7604.0,F,0
Male,29.0,25 - 45,Other,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,M,0
Male,96.0,25 - 45,Caucasian,0.0,6.0,0.0,0.0,0.0,-1.0,0.0,7603.0,1.0,M,0
Male,38.0,Less than 25,Caucasian,0.0,9.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,F,1
Female,26.0,25 - 45,Other,0.0,4.0,0.0,0.0,2.0,-1.0,-1.0,-300.0,1.0,M,1
Male,47.256905,25 - 45,Other,0.0,1.0,0.0,0.0,3.0,-1.0,2.0,0.0,1.0,F,1
Male,37.0,25 - 45,Other,0.0,5.0,0.0,0.0,1.0,-414.0,0.0,0.0,1.0,M,0
Male,26.0,25 - 45,Other,0.0,3.0,0.0,0.0,38.0,-3.2134423,20.0,1.0,30.634012,F,1
Male,23.0,25 - 45,Caucasian,0.0,2.0,0.0,0.0,1.0,-1.0,27.0,0.0,1.0,M,0
Male,26.0,Less than 25,Other,0.0,3.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,M,0
Male,32.0,25 - 45,Other,0.0,7.0,0.0,7.0,38.0,0.0,1.0,0.0,1.0,F,1
Male,21.0,25 - 45,Other,0.0,4.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,M,0
Female,37.0,Less than 25,Other,0.0,6.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,M,0
Male,29.0,25 - 45,Caucasian,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,M,0
Female,25.0,25 - 45,Other,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,7603.0,10.0,M,0
Male,30.0,Greater than 45,Other,0.0,1.0,0.0,0.0,38.0,-1.0,8.0,0.0,7604.0,F,0
Male,28.0,25 - 45,Other,0.0,7.0,0.0,0.0,3.0,-1.0,1.0,7603.0,0.0,M,1
Male,28.0,Less than 25,Other,0.0,9.0,0.0,0.0,38.0,-9.215633,1.0,0.0,0.0,F,0
Male,48.0,25 - 45,Caucasian,0.0,7.0,0.0,0.0,5.0,-414.0,0.0,0.0,1.0,F,1
Male,26.0,Less than 25,Caucasian,0.0,5.0,0.0,0.0,38.0,0.0,1.0,0.0,1.0,F,0
Male,36.0,Greater than 45,Other,0.0,4.0,0.0,0.0,0.0,-1.0,2.0,0.0,1.0,F,0
Male,21.0,Less than 25,Caucasian,0.0,9.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,F,1
Male,39.0,25 - 45,Other,0.0,3.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,M,0
Male,28.0,Less than 25,Caucasian,0.0,2.0,0.0,0.0,0.0,-20.105522,749.0,0.0,97.03688,F,1
Male,26.0,25 - 45,Other,0.0,5.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,M,0
Male,28.0,Less than 25,Caucasian,0.0,5.0,0.0,0.0,3.0,-1.0,2.0,0.0,45.408752,M,0
Male,31.0,25 - 45,Caucasian,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,F,1
Male,36.0,25 - 45,Other,0.0,10.0,0.0,0.0,2.0,-414.0,1.0,0.0,7604.0,F,0
Male,32.0,25 - 45,Other,0.0,2.0,0.0,0.0,4.0,0.0,80.73012,0.0,1.0,M,0
Male,28.0,Less than 25,Other,0.0,7.0,0.0,0.0,1.0,-1.0,0.0,0.0,8.153303,F,1
Male,27.0,Greater than 45,Other,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,M,0
Male,36.0,25 - 45,Other,0.0,3.0,0.0,0.0,23.0,-1.0,0.0,0.0,1.0,F,1
Female,27.0,25 - 45,Other,0.0,3.0,0.0,0.0,7.0,-1.0,26.004173,0.0,1.0,F,1
Male,40.0,25 - 45,Other,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,0
Female,24.0,Less than 25,Other,0.0,10.0,0.0,0.0,6.0,-1.0,749.0,0.0,1.0,F,0
Male,43.0,Less than 25,Caucasian,0.0,2.0,0.0,0.0,0.0,-3.0,-1.0,0.0,1.0,M,0
Male,27.0,Less than 25,Other,0.0,2.0,0.0,0.0,2.0,-1.0,33.0,0.0,1.0,F,1
Male,36.0,25 - 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,5.0,7603.0,1.0,F,0
Female,29.0,25 - 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,124.91838,0.0,F,0
Female,27.0,25 - 45,Other,0.0,10.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,F,1
Male,96.0,Greater than 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,F,0
Male,25.0,25 - 45,Other,0.0,10.0,0.0,0.0,15.0,-1.0,1.0,0.0,1.0,F,1
Female,24.0,Less than 25,Caucasian,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,F,0
Male,29.0,25 - 45,Caucasian,0.0,4.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,F,0
Male,36.0,Less than 25,Other,0.0,5.0,0.0,0.0,0.0,-1.0,749.0,0.0,0.0,F,0
Female,37.0,25 - 45,Other,0.0,1.0,0.0,0.0,0.0,-1.0,2.0,0.0,2.0,M,0
Male,23.0,Less than 25,Other,0.0,5.0,0.0,0.0,3.0,-414.0,28.0,0.0,7604.0,M,1
Male,96.0,Greater than 45,Caucasian,0.0,5.0,0.0,0.0,0.0,-414.0,-1.0,0.0,7604.0,M,0
Female,24.0,25 - 45,Other,0.0,2.0,0.0,0.0,6.0,-1.0,1.0,0.0,1.0,F,1
Male,26.0,25 - 45,Other,0.0,7.0,0.0,0.0,12.0,1001.0,-1.0,-300.0,1.0,F,1
Male,23.0,Less than 25,Other,0.0,3.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,F,0
Male,26.0,25 - 45,Caucasian,0.0,3.0,0.0,0.0,1.0,-2.0,0.0,0.0,7604.0,F,0
Male,26.0,Less than 25,Caucasian,0.0,3.0,0.0,0.0,1.0,-1.0,0.0,7603.0,1.0,M,0
Male,34.0,25 - 45,Caucasian,0.0,10.0,0.0,0.0,23.0,0.0,1.0,0.0,1.0,M,0
Female,38.0,25 - 45,Caucasian,0.0,2.0,0.0,0.0,0.0,-4.0,0.0,0.0,1.0,F,0
Female,29.0,25 - 45,Other,0.0,1.0,0.0,0.0,0.0,28.84032,1.0,0.0,0.0,M,1
Male,42.0,25 - 45,Caucasian,0.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,F,0
Male,26.0,25 - 45,Caucasian,0.0,10.0,0.0,0.0,3.0,-1.0,-1.0,0.0,1.0,M,1
Male,40.0,25 - 45,Other,0.0,3.0,0.0,0.0,0.0,-27.402666,-1.0,0.0,1.0,F,0
Female,41.0,Less than 25,Caucasian,0.0,6.0,0.0,0.0,0.0,-1.0,7.0,1.0,0.0,F,1
Male,30.0,25 - 45,Other,0.0,4.0,0.0,0.0,6.0,-1.0,17.0,0.0,1.0,F,1
Female,40.0,Greater than 45,Caucasian,0.0,5.0,0.0,0.0,2.0,-414.0,0.0,0.0,24.0,F,0
Male,26.0,25 - 45,Other,0.0,2.0,0.0,0.0,38.0,-28.619757,749.0,0.0,7604.0,F,1
Male,34.0,25 - 45,Other,0.0,5.0,0.0,0.0,9.0,1001.0,-1.0,-300.0,1.0,F,1
Male,33.0,25 - 45,Other,0.0,4.0,0.0,0.0,0.0,1001.0,-1.0,-300.0,1.0,M,1
Male,34.0,Greater than 45,Other,0.0,1.0,0.0,7.0,12.0,1001.0,2.0,0.0,1.0,F,1
Male,43.0,25 - 45,Caucasian,0.0,4.0,0.0,0.0,1.0,-1.0,749.0,0.0,1.0,M,1
Male,23.0,25 - 45,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,1
Male,40.0,25 - 45,Other,0.0,4.0,0.0,0.0,38.0,-5.0,2.0,0.0,1.0,F,0
Male,36.0,25 - 45,Other,0.0,1.0,0.0,0.0,0.0,0.20843875,2.0,0.0,0.0,M,0
Female,30.0,Greater than 45,Caucasian,0.0,4.0,0.0,0.0,38.0,-1.0,2.0,0.0,1.0,M,1
Male,26.660717,25 - 45,Caucasian,0.0,1.0,0.0,0.0,1.0,-1.0,749.0,0.0,2.0,M,1
Male,96.0,Greater than 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,9.0,0.0,81.09122,M,0
Male,28.0,Less than 25,Caucasian,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,M,0
Male,18.0,25 - 45,Other,0.0,10.0,0.0,0.0,38.0,-1.0,1.0,0.0,1.0,F,1
Female,36.0,Less than 25,Caucasian,0.0,1.0,0.0,0.0,38.0,-1.0,182.53543,0.0,7604.0,F,1
Female,26.0,25 - 45,Other,0.0,8.0,0.0,7.0,38.0,1001.0,0.0,0.0,1.0,F,1
Female,38.0,25 - 45,Other,0.0,4.0,0.0,0.0,3.0,-414.0,-1.0,0.0,7604.0,F,0
Male,28.0,25 - 45,Caucasian,0.0,4.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,F,1
Male,24.0,25 - 45,Other,0.0,10.0,0.0,0.0,38.0,-1.0,0.0,0.0,1.0,F,1
Female,23.0,Less than 25,Other,0.0,10.0,0.0,0.0,3.0,-44.844635,4.0,7603.0,1.0,F,1
Male,22.0,25 - 45,Caucasian,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,7603.0,0.0,M,0
