fnlwgt,hours-per-week,capital-gain,capital-loss,education-num,age,workclass,education,marital-status,occupation,relationship,race,native-country,sex,income
94393,39,0,0,9,31,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
255566,17,0,0,9,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Philippines,Male,unpref
230801,40,4845,1927,9,44,Self-emp-inc,11th,Divorced,Exec-managerial,Own-child,Other,Scotland,Male,>50K
245224,40,0,0,8,51,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
11000,48,0,0,9,29,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Philippines,Male,unpref
144874,40,0,0,9,40,Private,Assoc-voc,Never-married,Sales,Not-in-family,White,United-States,Male,unpref
239647,40,0,0,15,37,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,unpref
126148,51,0,0,10,30,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
128266,39,0,0,12,50,Local-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,United-States,unpriv,unpref
241336,40,0,0,9,40,Private,HS-grad,Never-married,Craft-repair,Not-in-family,Black,United-States,Male,unpref
232490,40,0,0,8,36,Private,HS-grad,Married-civ-spouse,Sales,Not-in-family,White,United-States,Male,unpref
239237,39,0,0,9,31,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Black,United-States,unpriv,unpref
251500,44,0,0,10,36,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
263596,39,0,0,5,24,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,United-States,Male,unpref
363864,51,0,0,8,27,Private,HS-grad,Never-married,Sales,Not-in-family,White,Mexico,Male,unpref
244172,39,0,0,9,38,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,United-States,Male,unpref
206483,39,0,1925,7,48,Private,11th,Divorced,Other-service,Unmarried,White,Mexico,unpriv,unpref
141552,39,0,1983,9,17,Private,Masters,Never-married,Other-service,Not-in-family,White,Peru,unpriv,unpref
275168,24,0,0,9,41,Self-emp-not-inc,Some-college,Divorced,Prof-specialty,Not-in-family,White,United-States,Male,unpref
12883,40,2805,0,7,41,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Not-in-family,White,United-States,Male,>50K
187914,39,0,0,9,45,Self-emp-not-inc,HS-grad,Divorced,Prof-specialty,Not-in-family,White,United-States,Male,unpref
147969,46,0,0,9,36,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
187467,39,0,0,13,47,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,>50K
176305,50,0,0,10,48,Private,9th,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
74546,40,0,0,10,57,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
54489,39,0,0,9,31,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,United-States,Male,unpref
88343,39,0,0,9,47,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
259282,39,0,0,10,40,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,United-States,Male,unpref
193421,39,0,0,10,25,Private,Some-college,Never-married,Craft-repair,Own-child,White,Mexico,Male,unpref
177231,39,0,0,3,40,Private,Assoc-acdm,Divorced,Exec-managerial,Not-in-family,White,?,unpriv,unpref
121894,12,0,0,5,17,Private,11th,Never-married,Prof-specialty,Not-in-family,White,United-States,Male,unpref
56627,46,0,0,10,47,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
107738,40,0,0,9,23,Private,HS-grad,Never-married,Sales,Own-child,White,United-States,Male,>50K
34806,23,0,0,9,70,Self-emp-not-inc,11th,Married-civ-spouse,Other-service,Husband,White,United-States,Male,unpref
245479,23,0,0,10,20,Private,11th,Never-married,Other-service,Own-child,White,United-States,Male,unpref
206609,33,0,0,13,23,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,United-States,unpriv,unpref
113486,40,0,0,8,45,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,unpref
44607,39,0,0,8,51,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,United-States,Male,unpref
190232,40,0,0,9,40,Private,HS-grad,Never-married,Other-service,Not-in-family,White,United-States,unpriv,unpref
392856,53,15259,2209,6,59,State-gov,10th,Widowed,Handlers-cleaners,Own-child,Asian-Pac-Islander,Germany,Male,>50K
77227,50,0,0,9,18,Private,HS-grad,Never-married,Sales,Not-in-family,White,United-States,unpriv,unpref
129667,39,0,0,12,38,Private,Bachelors,Divorced,Adm-clerical,Not-in-family,White,United-States,unpriv,unpref
211190,39,0,0,9,51,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,United-States,unpriv,unpref
214409,51,0,0,9,40,Private,HS-grad,Married-civ-spouse,Exec-managerial,Unmarried,White,United-States,Male,>50K
230276,39,0,0,10,21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,United-States,unpriv,unpref
269555,40,0,0,10,42,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
223391,13,4871,0,9,32,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
37114,15,0,0,9,31,Private,Some-college,Never-married,Other-service,Not-in-family,White,United-States,unpriv,unpref
312925,40,0,0,8,28,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
244538,22,0,0,8,22,Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,United-States,unpriv,unpref
104468,26,0,0,9,19,Private,Some-college,Never-married,Sales,Own-child,White,United-States,Male,unpref
120854,40,0,0,5,46,Private,10th,Divorced,Adm-clerical,Unmarried,White,Mexico,unpriv,unpref
184016,39,0,0,9,56,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
161217,40,0,0,14,45,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,>50K
257561,39,0,0,9,23,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Mexico,unpriv,unpref
142903,39,0,0,10,47,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
203931,40,0,0,12,29,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
183136,40,0,0,10,25,Private,11th,Never-married,Other-service,Own-child,White,United-States,Male,unpref
369195,48,6200,0,9,47,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Mexico,Male,>50K
191383,51,2360,1926,14,40,Private,Masters,Married-civ-spouse,Transport-moving,Husband,White,United-States,Male,>50K
179650,40,0,0,8,35,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
225432,21,0,0,8,18,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,United-States,unpriv,unpref
35649,40,0,0,8,42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
245188,40,0,0,9,40,Local-gov,HS-grad,Divorced,Exec-managerial,Unmarried,White,United-States,Male,unpref
107652,40,0,0,12,30,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
134909,48,0,0,9,35,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
367643,53,0,0,8,51,Private,HS-grad,Widowed,Craft-repair,Not-in-family,White,United-States,Male,unpref
293585,58,0,0,10,46,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Philippines,Male,>50K
132845,10,0,0,9,50,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,United-States,unpriv,>50K
212911,39,0,0,9,50,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
137069,39,0,0,10,24,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Nicaragua,unpriv,unpref
345392,39,0,0,9,25,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,United-States,unpriv,unpref
253266,39,0,0,8,34,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
215132,37,0,0,8,34,Private,Bachelors,Never-married,Other-service,Husband,White,United-States,Male,>50K
307584,46,4050,0,12,62,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
37202,50,0,0,12,35,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
179305,33,0,0,10,19,Private,Some-college,Never-married,Adm-clerical,Own-child,White,United-States,unpriv,unpref
188607,39,0,0,8,27,Private,HS-grad,Married-civ-spouse,Adm-clerical,Own-child,White,United-States,unpriv,unpref
213481,26,0,0,9,47,Private,Assoc-voc,Divorced,Prof-specialty,Unmarried,Black,Philippines,unpriv,unpref
112754,39,0,0,10,17,Private,HS-grad,Never-married,Other-service,Own-child,White,United-States,Male,unpref
215053,40,0,0,12,30,Private,Bachelors,Never-married,Prof-specialty,Husband,White,Mexico,Male,>50K
161344,31,0,0,8,48,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
34365,39,0,0,8,48,Private,7th-8th,Divorced,Other-service,Not-in-family,White,United-States,unpriv,unpref
50222,40,0,0,9,38,Private,HS-grad,Never-married,Other-service,Own-child,White,Mexico,Male,unpref
217590,39,0,0,5,56,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,Black,Jamaica,Male,unpref
131633,49,0,0,10,31,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
27079,40,2838,0,9,17,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,United-States,Male,unpref
289337,10,0,0,9,46,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,unpriv,>50K
210474,39,0,0,9,19,Private,HS-grad,Never-married,Craft-repair,Own-child,White,United-States,Male,unpref
166767,39,0,0,2,19,Private,Assoc-acdm,Never-married,Other-service,Own-child,Black,United-States,unpriv,unpref
188595,39,0,0,8,37,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
240698,39,0,0,8,32,Private,HS-grad,Married-civ-spouse,Craft-repair,Not-in-family,White,United-States,Male,unpref
254623,53,0,0,8,51,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Mexico,Male,>50K
230788,39,0,0,13,51,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Mexico,Male,>50K
121803,14,0,0,9,48,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,United-States,unpriv,unpref
260543,43,0,0,8,27,Private,HS-grad,Never-married,Exec-managerial,Husband,White,United-States,Male,unpref
122666,39,0,0,12,16,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,United-States,Male,unpref
162155,26,0,0,6,18,Self-emp-not-inc,HS-grad,Never-married,Other-service,Not-in-family,White,United-States,Male,unpref
20072,40,0,0,8,41,Local-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,United-States,unpriv,unpref
261656,40,0,0,13,41,Self-emp-inc,Bachelors,Never-married,Prof-specialty,Own-child,White,Mexico,Male,>50K
191696,18,0,0,10,20,Private,Some-college,Never-married,Adm-clerical,Own-child,White,United-States,Male,unpref
70612,40,0,0,9,41,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Poland,Male,unpref
171711,44,0,0,9,23,Private,Some-college,Never-married,Other-service,Not-in-family,White,Mexico,unpriv,unpref
226936,49,0,0,9,41,Private,HS-grad,Divorced,Sales,Not-in-family,White,United-States,unpriv,unpref
408006,39,0,0,13,32,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
381866,39,0,0,12,56,Private,HS-grad,Divorced,Sales,Not-in-family,White,Mexico,unpriv,unpref
143430,40,0,0,8,46,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
248867,39,0,0,12,20,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Mexico,unpriv,unpref
213974,52,0,0,9,58,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,Black,United-States,Male,>50K
222126,40,0,0,9,36,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Mexico,Male,unpref
84941,19,3959,0,9,41,Self-emp-not-inc,HS-grad,Married-civ-spouse,?,Wife,White,Puerto-Rico,Male,>50K
141883,40,0,0,9,27,Local-gov,Some-college,Never-married,Adm-clerical,Not-in-family,Black,United-States,unpriv,unpref
31993,18,0,0,13,30,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Mexico,unpriv,unpref
215297,39,0,0,12,33,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,United-States,unpriv,>50K
274884,39,0,1922,13,18,Local-gov,Assoc-voc,Divorced,Prof-specialty,Husband,White,United-States,Male,unpref
264933,39,0,0,4,21,Private,11th,Never-married,Machine-op-inspct,Own-child,White,United-States,unpriv,unpref
172688,39,0,0,14,44,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,>50K
207994,34,0,0,8,45,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
71797,40,0,0,9,33,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Not-in-family,White,Mexico,Male,unpref
112575,47,0,0,13,37,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Philippines,Male,unpref
363510,46,0,0,13,38,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,United-States,Male,unpref
435434,11,0,0,8,25,Private,11th,Never-married,Other-service,Own-child,White,Mexico,Male,unpref
275496,40,0,0,10,23,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Mexico,Male,unpref
192146,39,0,0,5,40,Private,11th,Divorced,Adm-clerical,Unmarried,White,Mexico,unpriv,unpref
372578,49,0,0,9,30,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
135834,18,0,0,10,29,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,United-States,Male,unpref
147778,50,0,0,9,44,Private,HS-grad,Never-married,Sales,Not-in-family,Black,United-States,unpriv,unpref
226628,53,0,0,9,40,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
77236,22,0,0,14,51,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
237908,39,0,0,12,48,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,United-States,Male,unpref
265974,35,5519,0,15,46,Private,Masters,Married-AF-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,India,Male,>50K
190089,39,0,0,12,60,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Mexico,unpriv,>50K
135636,40,0,0,10,37,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
161684,40,0,0,8,20,Private,HS-grad,Never-married,Sales,Own-child,White,United-States,Male,unpref
183785,40,0,0,9,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
151398,40,0,0,9,29,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,United-States,Male,>50K
101585,39,0,0,9,41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
30695,40,0,0,8,40,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
211737,40,0,0,12,64,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
210546,40,0,0,9,38,Private,HS-grad,Never-married,Craft-repair,Husband,White,United-States,Male,unpref
121398,37,0,0,8,22,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,United-States,unpriv,unpref
70833,39,0,0,9,25,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,United-States,unpriv,unpref
113317,39,0,0,13,31,Private,Bachelors,Divorced,Adm-clerical,Not-in-family,White,Philippines,unpriv,unpref
37844,40,0,0,9,59,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
254038,52,0,0,9,48,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,?,Male,unpref
109784,36,0,0,13,25,Private,Bachelors,Never-married,Other-service,Own-child,White,United-States,unpriv,unpref
63052,22,0,0,10,25,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
15949,58,0,0,13,48,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,unpref
