fnlwgt,hours-per-week,capital-gain,capital-loss,education-num,age,workclass,education,marital-status,occupation,relationship,race,native-country,sex,income
139313,11,6285,0,9,45,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
156122,40,0,0,15,31,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Black,?,Male,unpref
158466,40,0,0,13,28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,>50K
125217,40,4921,0,12,48,Local-gov,Masters,Married-civ-spouse,Farming-fishing,Husband,Black,El-Salvador,Male,>50K
140005,40,0,0,9,43,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
227907,40,0,0,9,25,Private,Some-college,Married-civ-spouse,Sales,Husband,White,United-States,Male,unpref
77692,40,0,0,9,35,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Mexico,Male,unpref
166823,8,0,0,8,74,Private,HS-grad,Married-civ-spouse,Other-service,Not-in-family,White,United-States,Male,unpref
439396,40,0,0,4,17,Private,HS-grad,Married-civ-spouse,Craft-repair,Not-in-family,White,Mexico,Male,unpref
94496,40,0,0,3,36,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Mexico,Male,unpref
137063,40,0,0,9,42,Private,HS-grad,Married-civ-spouse,Craft-repair,Not-in-family,White,United-States,unpriv,unpref
376512,44,0,0,8,24,Local-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Mexico,Male,>50K
18180,26,3360,0,7,17,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
228846,40,0,0,8,45,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
223417,39,0,0,14,46,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,>50K
88164,45,0,0,9,45,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
127851,40,0,0,9,25,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,Male,unpref
141288,40,0,0,8,42,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
52474,39,0,0,12,48,Local-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,United-States,unpriv,unpref
138908,33,0,0,9,19,Private,Some-college,Never-married,Other-service,Not-in-family,White,United-States,unpriv,unpref
264019,39,0,0,9,20,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,United-States,unpriv,unpref
231027,53,0,0,9,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Mexico,Male,unpref
339771,39,0,0,12,58,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,United-States,Male,unpref
221987,39,0,0,13,18,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Mexico,unpriv,unpref
250084,40,0,0,9,30,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,United-States,unpriv,unpref
261274,52,0,0,13,36,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Philippines,Male,unpref
42200,40,0,0,9,28,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Black,Mexico,Male,>50K
222038,42,14225,1450,13,51,Private,Masters,Divorced,Transport-moving,Husband,White,United-States,unpriv,>50K
248141,39,0,0,9,40,Private,11th,Divorced,Prof-specialty,Not-in-family,White,United-States,unpriv,>50K
101329,40,0,0,8,50,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Mexico,Male,unpref
73519,51,0,0,10,47,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
172607,44,0,0,8,44,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,United-States,Male,>50K
25548,26,0,0,9,28,Private,Assoc-voc,Separated,Other-service,Unmarried,Black,United-States,unpriv,unpref
93696,12,0,0,10,21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,United-States,Male,unpref
232630,31,0,0,10,43,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
