age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
39,blue-collar,married,secondary,no,5179,no,no,cellular,28,may,568,6,109,7,unknown,no
41,admin.,married,secondary,no,5176,yes,no,cellular,7,aug,600,7,103,6,unknown,no
50,blue-collar,single,secondary,no,4273,no,no,unknown,28,may,498,6,86,6,unknown,no
92,admin.,single,secondary,yes,102087,yes,yes,unknown,18,may,4916,49,853,57,failure,yes
43,management,single,tertiary,no,7795,yes,no,unknown,14,jul,753,7,118,9,failure,no
39,blue-collar,married,secondary,no,4623,no,no,cellular,28,may,593,7,103,7,unknown,no
57,blue-collar,single,secondary,no,102037,yes,no,unknown,23,may,4914,49,853,57,failure,no
39,admin.,married,secondary,no,4634,yes,no,cellular,11,aug,585,6,93,6,unknown,no
92,admin.,single,secondary,yes,102088,yes,yes,unknown,17,may,4915,49,853,57,failure,yes
39,blue-collar,married,secondary,no,5078,no,no,cellular,28,may,591,6,93,6,unknown,no
41,management,single,tertiary,no,7559,yes,no,unknown,12,jul,764,8,135,8,failure,no
40,technician,married,secondary,no,5027,yes,no,cellular,4,aug,635,7,105,7,unknown,no
38,management,married,tertiary,no,5486,yes,no,cellular,7,jun,590,6,99,6,unknown,no
38,technician,married,tertiary,no,5030,yes,no,cellular,4,nov,624,6,98,6,unknown,no
40,admin.,married,secondary,no,5032,yes,no,cellular,9,aug,534,6,95,6,unknown,no
38,admin.,married,secondary,no,4160,no,no,cellular,22,may,559,6,97,6,unknown,no
38,admin.,married,secondary,no,4909,no,no,cellular,22,may,579,7,98,6,unknown,no
39,blue-collar,married,secondary,no,4873,no,no,cellular,28,may,542,6,82,5,unknown,no
40,admin.,married,secondary,no,4351,yes,no,cellular,10,aug,581,6,97,6,unknown,no
41,admin.,married,secondary,no,3960,yes,no,cellular,9,aug,567,6,99,6,unknown,no
38,admin.,married,secondary,no,3903,yes,no,cellular,19,aug,544,6,95,6,unknown,no
38,blue-collar,married,secondary,no,4825,no,no,cellular,26,may,566,6,99,6,unknown,no
39,admin.,married,secondary,no,4383,no,no,cellular,20,aug,538,6,92,6,unknown,no
38,blue-collar,married,secondary,no,3873,no,no,cellular,26,may,587,6,99,6,unknown,no
38,blue-collar,married,secondary,no,5897,no,no,cellular,27,may,539,7,105,7,unknown,no
41,blue-collar,single,secondary,no,5163,no,no,cellular,28,may,572,7,94,6,unknown,no
38,technician,married,tertiary,no,4730,yes,no,cellular,6,jun,592,6,100,7,unknown,no
39,admin.,married,secondary,no,4177,yes,no,cellular,8,aug,548,6,88,6,unknown,no
