sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Female,28,25 - 45,Caucasian,0,1,0,0,1,37.033599853515625,19.513893127441406,295.89276123046875,41.46725845336914,M,0
Male,80,Greater than 45,Caucasian,0,1,0,0,0,-175.80067443847656,35.40359115600586,-68.74873352050781,38.18516540527344,F,0
Male,42,25 - 45,African-American,0,8,0,0,1,362.94146728515625,7.351728439331055,35.1190185546875,51.04658126831055,M,0
Male,48,25 - 45,African-American,0,4,0,0,2,96.56396484375,10.826530456542969,271.08062744140625,37.68117141723633,F,1
Male,20,Less than 25,Caucasian,0,9,0,0,0,-59.780975341796875,11.52417278289795,22.5543212890625,19.445085525512695,F,0
Male,20,Less than 25,African-American,0,3,0,0,0,-47.699951171875,30.49988555908203,714.0341186523438,37.22385787963867,F,1
Male,23,25 - 45,Caucasian,0,3,0,0,0,-94.02645874023438,11.668498039245605,-98.87791442871094,46.52670669555664,M,0
Male,34,25 - 45,African-American,0,9,0,0,13,-108.59439086914062,49.290592193603516,-143.7904510498047,27.899707794189453,F,1
Male,35,25 - 45,African-American,0,9,0,0,12,-24.990386962890625,25.155471801757812,-49.1923828125,24.480966567993164,F,1
Female,24,25 - 45,African-American,0,5,0,0,1,20.80328369140625,7.900575637817383,-21.28070068359375,34.284637451171875,M,0
Male,24,25 - 45,Caucasian,0,1,0,0,0,-136.100341796875,9.975241661071777,-81.906005859375,40.389015197753906,M,0
Female,67,25 - 45,Hispanic,0,1,0,0,13,9.9915771484375,5.157525062561035,118.36651611328125,66.2339859008789,F,0
Male,22,Greater than 45,African-American,0,9,0,0,2,-96.7252197265625,20.54669952392578,-37.489715576171875,47.836551666259766,M,0
Female,39,25 - 45,Caucasian,0,5,0,0,1,202.45465087890625,2.081724166870117,1311.8170166015625,19.34288215637207,F,0
Male,22,25 - 45,African-American,0,9,0,0,0,-65.72698974609375,8.509123802185059,-88.71324157714844,18.461795806884766,F,1
Male,27,25 - 45,African-American,0,4,0,0,0,130.7135009765625,12.212762832641602,-70.05448913574219,64.43034362792969,M,0
Male,84,Greater than 45,Caucasian,0,1,0,0,1,-187.2364959716797,32.40912628173828,-152.748291015625,35.7225227355957,F,0
